year,week,loc,state,country,loc_type,number,event
1918,18,ABERDEEN,WA,US,CITY,1,CASES
1918,27,ABERDEEN,WA,US,CITY,1,CASES
1919,30,ABERDEEN,WA,US,CITY,4,CASES
1919,40,ABERDEEN,WA,US,CITY,1,CASES
1919,45,ABERDEEN,WA,US,CITY,6,CASES
1919,47,ABERDEEN,WA,US,CITY,2,CASES
1919,48,ABERDEEN,WA,US,CITY,1,CASES
1920,3,ABERDEEN,WA,US,CITY,1,CASES
1920,13,ABERDEEN,WA,US,CITY,1,CASES
1920,15,ABERDEEN,WA,US,CITY,1,CASES
1920,17,ABERDEEN,WA,US,CITY,2,CASES
1920,19,ABERDEEN,WA,US,CITY,2,CASES
1920,44,ABERDEEN,WA,US,CITY,1,CASES
1920,45,ABERDEEN,WA,US,CITY,1,CASES
1921,29,ABERDEEN,WA,US,CITY,2,CASES
1921,43,ABERDEEN,WA,US,CITY,1,CASES
1922,6,ABERDEEN,WA,US,CITY,1,CASES
1922,34,ABERDEEN,WA,US,CITY,1,CASES
1922,35,ABERDEEN,WA,US,CITY,1,CASES
1922,49,ABERDEEN,WA,US,CITY,1,CASES
1923,7,ABERDEEN,WA,US,CITY,1,CASES
1923,18,ABERDEEN,WA,US,CITY,2,CASES
1923,38,ABERDEEN,WA,US,CITY,1,CASES
1923,52,ABERDEEN,WA,US,CITY,1,CASES
