year,week,loc,state,country,loc_type,number,event
1911,16,AKRON,OH,US,CITY,2,CASES
1915,16,AKRON,OH,US,CITY,8,CASES
1915,17,AKRON,OH,US,CITY,3,CASES
1915,20,AKRON,OH,US,CITY,1,CASES
1915,22,AKRON,OH,US,CITY,1,CASES
1915,23,AKRON,OH,US,CITY,1,CASES
1915,24,AKRON,OH,US,CITY,14,CASES
1915,25,AKRON,OH,US,CITY,7,CASES
1915,27,AKRON,OH,US,CITY,1,CASES
1915,28,AKRON,OH,US,CITY,2,CASES
1915,33,AKRON,OH,US,CITY,4,CASES
1917,6,AKRON,OH,US,CITY,3,CASES
1917,9,AKRON,OH,US,CITY,2,CASES
1917,13,AKRON,OH,US,CITY,2,CASES
1917,21,AKRON,OH,US,CITY,12,CASES
1917,22,AKRON,OH,US,CITY,16,CASES
1917,24,AKRON,OH,US,CITY,13,CASES
1917,25,AKRON,OH,US,CITY,22,CASES
1917,26,AKRON,OH,US,CITY,3,CASES
1917,28,AKRON,OH,US,CITY,10,CASES
1917,29,AKRON,OH,US,CITY,1,CASES
1917,31,AKRON,OH,US,CITY,6,CASES
1917,32,AKRON,OH,US,CITY,1,CASES
1917,33,AKRON,OH,US,CITY,3,CASES
1917,34,AKRON,OH,US,CITY,3,CASES
1917,35,AKRON,OH,US,CITY,4,CASES
1917,36,AKRON,OH,US,CITY,1,CASES
1917,37,AKRON,OH,US,CITY,3,CASES
1917,38,AKRON,OH,US,CITY,3,CASES
1917,39,AKRON,OH,US,CITY,2,CASES
1917,41,AKRON,OH,US,CITY,1,CASES
1917,42,AKRON,OH,US,CITY,3,CASES
1917,43,AKRON,OH,US,CITY,10,CASES
1917,45,AKRON,OH,US,CITY,12,CASES
1917,48,AKRON,OH,US,CITY,28,CASES
1917,49,AKRON,OH,US,CITY,5,CASES
1917,50,AKRON,OH,US,CITY,17,CASES
1917,52,AKRON,OH,US,CITY,18,CASES
1918,1,AKRON,OH,US,CITY,36,CASES
1918,2,AKRON,OH,US,CITY,47,CASES
1918,3,AKRON,OH,US,CITY,28,CASES
1918,4,AKRON,OH,US,CITY,39,CASES
1918,5,AKRON,OH,US,CITY,33,CASES
1918,6,AKRON,OH,US,CITY,18,CASES
1918,7,AKRON,OH,US,CITY,13,CASES
1918,8,AKRON,OH,US,CITY,20,CASES
1918,9,AKRON,OH,US,CITY,38,CASES
1918,10,AKRON,OH,US,CITY,28,CASES
1918,11,AKRON,OH,US,CITY,22,CASES
1918,12,AKRON,OH,US,CITY,26,CASES
1918,13,AKRON,OH,US,CITY,65,CASES
1918,14,AKRON,OH,US,CITY,29,CASES
1918,15,AKRON,OH,US,CITY,17,CASES
1918,17,AKRON,OH,US,CITY,17,CASES
1918,19,AKRON,OH,US,CITY,10,CASES
1918,20,AKRON,OH,US,CITY,25,CASES
1918,21,AKRON,OH,US,CITY,18,CASES
1918,22,AKRON,OH,US,CITY,3,CASES
1918,23,AKRON,OH,US,CITY,7,CASES
1918,24,AKRON,OH,US,CITY,2,CASES
1918,26,AKRON,OH,US,CITY,10,CASES
1918,27,AKRON,OH,US,CITY,2,CASES
1918,28,AKRON,OH,US,CITY,3,CASES
1918,29,AKRON,OH,US,CITY,3,CASES
1918,30,AKRON,OH,US,CITY,2,CASES
1918,31,AKRON,OH,US,CITY,3,CASES
1918,33,AKRON,OH,US,CITY,4,CASES
1918,34,AKRON,OH,US,CITY,5,CASES
1918,38,AKRON,OH,US,CITY,2,CASES
1919,2,AKRON,OH,US,CITY,3,CASES
1919,3,AKRON,OH,US,CITY,1,CASES
1919,4,AKRON,OH,US,CITY,1,CASES
1919,8,AKRON,OH,US,CITY,2,CASES
1919,12,AKRON,OH,US,CITY,5,CASES
1919,13,AKRON,OH,US,CITY,3,CASES
1919,19,AKRON,OH,US,CITY,2,CASES
1919,20,AKRON,OH,US,CITY,6,CASES
1919,23,AKRON,OH,US,CITY,1,CASES
1920,1,AKRON,OH,US,CITY,1,CASES
1920,2,AKRON,OH,US,CITY,2,CASES
1920,3,AKRON,OH,US,CITY,6,CASES
1920,4,AKRON,OH,US,CITY,12,CASES
1920,5,AKRON,OH,US,CITY,3,CASES
1920,6,AKRON,OH,US,CITY,16,CASES
1920,7,AKRON,OH,US,CITY,13,CASES
1920,8,AKRON,OH,US,CITY,8,CASES
1920,9,AKRON,OH,US,CITY,7,CASES
1920,10,AKRON,OH,US,CITY,9,CASES
1920,11,AKRON,OH,US,CITY,17,CASES
1920,12,AKRON,OH,US,CITY,6,CASES
1920,14,AKRON,OH,US,CITY,4,CASES
1920,15,AKRON,OH,US,CITY,12,CASES
1920,16,AKRON,OH,US,CITY,13,CASES
1920,17,AKRON,OH,US,CITY,8,CASES
1920,18,AKRON,OH,US,CITY,9,CASES
1920,19,AKRON,OH,US,CITY,9,CASES
1920,20,AKRON,OH,US,CITY,5,CASES
1920,21,AKRON,OH,US,CITY,16,CASES
1920,22,AKRON,OH,US,CITY,7,CASES
1920,23,AKRON,OH,US,CITY,7,CASES
1920,24,AKRON,OH,US,CITY,17,CASES
1920,25,AKRON,OH,US,CITY,13,CASES
1920,26,AKRON,OH,US,CITY,6,CASES
1920,27,AKRON,OH,US,CITY,6,CASES
1920,28,AKRON,OH,US,CITY,5,CASES
1920,30,AKRON,OH,US,CITY,5,CASES
1920,31,AKRON,OH,US,CITY,8,CASES
1920,32,AKRON,OH,US,CITY,2,CASES
1920,33,AKRON,OH,US,CITY,4,CASES
1920,34,AKRON,OH,US,CITY,3,CASES
1920,35,AKRON,OH,US,CITY,2,CASES
1920,36,AKRON,OH,US,CITY,6,CASES
1920,37,AKRON,OH,US,CITY,5,CASES
1920,39,AKRON,OH,US,CITY,4,CASES
1920,40,AKRON,OH,US,CITY,2,CASES
1920,41,AKRON,OH,US,CITY,14,CASES
1920,42,AKRON,OH,US,CITY,18,CASES
1920,43,AKRON,OH,US,CITY,9,CASES
1920,44,AKRON,OH,US,CITY,16,CASES
1920,45,AKRON,OH,US,CITY,19,CASES
1920,46,AKRON,OH,US,CITY,11,CASES
1920,47,AKRON,OH,US,CITY,6,CASES
1920,48,AKRON,OH,US,CITY,10,CASES
1920,49,AKRON,OH,US,CITY,6,CASES
1920,50,AKRON,OH,US,CITY,6,CASES
1920,51,AKRON,OH,US,CITY,5,CASES
1920,52,AKRON,OH,US,CITY,9,CASES
1921,1,AKRON,OH,US,CITY,9,CASES
1921,2,AKRON,OH,US,CITY,11,CASES
1921,3,AKRON,OH,US,CITY,7,CASES
1921,4,AKRON,OH,US,CITY,6,CASES
1921,5,AKRON,OH,US,CITY,13,CASES
1921,6,AKRON,OH,US,CITY,5,CASES
1921,7,AKRON,OH,US,CITY,14,CASES
1921,8,AKRON,OH,US,CITY,8,CASES
1921,9,AKRON,OH,US,CITY,17,CASES
1921,10,AKRON,OH,US,CITY,4,CASES
1921,11,AKRON,OH,US,CITY,4,CASES
1921,12,AKRON,OH,US,CITY,9,CASES
1921,13,AKRON,OH,US,CITY,3,CASES
1921,14,AKRON,OH,US,CITY,9,CASES
1921,15,AKRON,OH,US,CITY,2,CASES
1921,16,AKRON,OH,US,CITY,14,CASES
1921,17,AKRON,OH,US,CITY,1,CASES
1921,18,AKRON,OH,US,CITY,7,CASES
1921,19,AKRON,OH,US,CITY,9,CASES
1921,21,AKRON,OH,US,CITY,2,CASES
1921,22,AKRON,OH,US,CITY,4,CASES
1921,23,AKRON,OH,US,CITY,1,CASES
1921,25,AKRON,OH,US,CITY,2,CASES
1921,26,AKRON,OH,US,CITY,1,CASES
1921,31,AKRON,OH,US,CITY,1,CASES
1922,1,AKRON,OH,US,CITY,1,CASES
1922,11,AKRON,OH,US,CITY,1,CASES
1922,12,AKRON,OH,US,CITY,2,CASES
1922,14,AKRON,OH,US,CITY,1,CASES
1922,17,AKRON,OH,US,CITY,1,CASES
1922,48,AKRON,OH,US,CITY,1,CASES
1920,29,AKRON,OH,US,CITY,4,CASES
