year,week,loc,state,country,loc_type,number,event
1918,30,ALBANY,GA,US,CITY,1,CASES
1918,34,ALBANY,GA,US,CITY,1,CASES
1920,15,ALBANY,GA,US,CITY,6,CASES
1920,16,ALBANY,GA,US,CITY,7,CASES
1920,19,ALBANY,GA,US,CITY,4,CASES
1921,43,ALBANY,GA,US,CITY,1,CASES
1921,51,ALBANY,GA,US,CITY,1,CASES
1922,3,ALBANY,GA,US,CITY,1,CASES
1922,5,ALBANY,GA,US,CITY,1,CASES
1922,7,ALBANY,GA,US,CITY,1,CASES
1922,32,ALBANY,GA,US,CITY,2,CASES
1922,33,ALBANY,GA,US,CITY,2,CASES
1922,42,ALBANY,GA,US,CITY,1,CASES
1922,47,ALBANY,GA,US,CITY,1,CASES
1922,48,ALBANY,GA,US,CITY,1,CASES
1922,49,ALBANY,GA,US,CITY,1,CASES
1923,11,ALBANY,GA,US,CITY,2,CASES
