year,week,loc,state,country,loc_type,number,event
1920,13,ALBANY,NY,US,CITY,26,CASES
1920,47,ALBANY,NY,US,CITY,1,CASES
1920,48,ALBANY,NY,US,CITY,2,CASES
1920,49,ALBANY,NY,US,CITY,1,CASES
1920,52,ALBANY,NY,US,CITY,2,CASES
1921,1,ALBANY,NY,US,CITY,8,CASES
1921,2,ALBANY,NY,US,CITY,11,CASES
1921,4,ALBANY,NY,US,CITY,3,CASES
1921,5,ALBANY,NY,US,CITY,5,CASES
1921,6,ALBANY,NY,US,CITY,4,CASES
1921,7,ALBANY,NY,US,CITY,9,CASES
1921,8,ALBANY,NY,US,CITY,1,CASES
1921,10,ALBANY,NY,US,CITY,1,CASES
1921,12,ALBANY,NY,US,CITY,3,CASES
1921,14,ALBANY,NY,US,CITY,5,CASES
1921,16,ALBANY,NY,US,CITY,3,CASES
1921,18,ALBANY,NY,US,CITY,1,CASES
1921,20,ALBANY,NY,US,CITY,2,CASES
1921,22,ALBANY,NY,US,CITY,1,CASES
1921,31,ALBANY,NY,US,CITY,3,CASES
1921,37,ALBANY,NY,US,CITY,1,CASES
1921,44,ALBANY,NY,US,CITY,5,CASES
1921,46,ALBANY,NY,US,CITY,7,CASES
1921,47,ALBANY,NY,US,CITY,3,CASES
1921,48,ALBANY,NY,US,CITY,2,CASES
1921,49,ALBANY,NY,US,CITY,8,CASES
1921,50,ALBANY,NY,US,CITY,14,CASES
1921,51,ALBANY,NY,US,CITY,8,CASES
1922,1,ALBANY,NY,US,CITY,4,CASES
1921,52,ALBANY,NY,US,CITY,11,CASES
1922,2,ALBANY,NY,US,CITY,5,CASES
1922,3,ALBANY,NY,US,CITY,6,CASES
1922,4,ALBANY,NY,US,CITY,10,CASES
1922,5,ALBANY,NY,US,CITY,23,CASES
1922,6,ALBANY,NY,US,CITY,45,CASES
1922,7,ALBANY,NY,US,CITY,114,CASES
1922,8,ALBANY,NY,US,CITY,138,CASES
1922,9,ALBANY,NY,US,CITY,141,CASES
1922,10,ALBANY,NY,US,CITY,119,CASES
1922,11,ALBANY,NY,US,CITY,86,CASES
1922,12,ALBANY,NY,US,CITY,37,CASES
1922,13,ALBANY,NY,US,CITY,36,CASES
1922,14,ALBANY,NY,US,CITY,16,CASES
1922,15,ALBANY,NY,US,CITY,5,CASES
1922,16,ALBANY,NY,US,CITY,2,CASES
1922,17,ALBANY,NY,US,CITY,2,CASES
1922,20,ALBANY,NY,US,CITY,1,CASES
1922,21,ALBANY,NY,US,CITY,1,CASES
1922,31,ALBANY,NY,US,CITY,1,CASES
1922,40,ALBANY,NY,US,CITY,1,CASES
1922,41,ALBANY,NY,US,CITY,4,CASES
1922,47,ALBANY,NY,US,CITY,4,CASES
1922,49,ALBANY,NY,US,CITY,1,CASES
1922,50,ALBANY,NY,US,CITY,1,CASES
1922,52,ALBANY,NY,US,CITY,4,CASES
1923,1,ALBANY,NY,US,CITY,8,CASES
1923,2,ALBANY,NY,US,CITY,18,CASES
1923,3,ALBANY,NY,US,CITY,9,CASES
1923,4,ALBANY,NY,US,CITY,46,CASES
1923,5,ALBANY,NY,US,CITY,167,CASES
1923,6,ALBANY,NY,US,CITY,259,CASES
1923,7,ALBANY,NY,US,CITY,221,CASES
1923,9,ALBANY,NY,US,CITY,117,CASES
1923,10,ALBANY,NY,US,CITY,53,CASES
1923,11,ALBANY,NY,US,CITY,35,CASES
1923,12,ALBANY,NY,US,CITY,29,CASES
1923,13,ALBANY,NY,US,CITY,4,CASES
1923,14,ALBANY,NY,US,CITY,9,CASES
1923,16,ALBANY,NY,US,CITY,10,CASES
1923,18,ALBANY,NY,US,CITY,4,CASES
1923,21,ALBANY,NY,US,CITY,2,CASES
