year,week,loc,state,country,loc_type,number,event
1914,18,ALBANY,NY,US,CITY,2,CASES
1914,21,ALBANY,NY,US,CITY,3,CASES
1914,22,ALBANY,NY,US,CITY,4,CASES
1914,23,ALBANY,NY,US,CITY,4,CASES
1914,24,ALBANY,NY,US,CITY,1,CASES
1914,25,ALBANY,NY,US,CITY,2,CASES
1914,34,ALBANY,NY,US,CITY,1,CASES
1914,36,ALBANY,NY,US,CITY,1,CASES
1915,49,ALBANY,NY,US,CITY,22,CASES
1915,50,ALBANY,NY,US,CITY,18,CASES
1915,51,ALBANY,NY,US,CITY,33,CASES
1916,26,ALBANY,NY,US,CITY,19,CASES
1916,27,ALBANY,NY,US,CITY,13,CASES
1916,28,ALBANY,NY,US,CITY,8,CASES
1916,29,ALBANY,NY,US,CITY,8,CASES
1916,30,ALBANY,NY,US,CITY,1,CASES
1916,52,ALBANY,NY,US,CITY,31,CASES
1917,5,ALBANY,NY,US,CITY,4,CASES
1917,6,ALBANY,NY,US,CITY,2,CASES
1917,7,ALBANY,NY,US,CITY,4,CASES
1917,8,ALBANY,NY,US,CITY,6,CASES
1917,9,ALBANY,NY,US,CITY,2,CASES
1917,10,ALBANY,NY,US,CITY,6,CASES
1917,11,ALBANY,NY,US,CITY,12,CASES
1917,12,ALBANY,NY,US,CITY,11,CASES
1917,13,ALBANY,NY,US,CITY,30,CASES
1917,14,ALBANY,NY,US,CITY,13,CASES
1917,15,ALBANY,NY,US,CITY,27,CASES
1917,16,ALBANY,NY,US,CITY,39,CASES
1917,17,ALBANY,NY,US,CITY,27,CASES
1917,18,ALBANY,NY,US,CITY,37,CASES
1917,19,ALBANY,NY,US,CITY,31,CASES
1917,20,ALBANY,NY,US,CITY,41,CASES
1917,21,ALBANY,NY,US,CITY,68,CASES
1917,22,ALBANY,NY,US,CITY,40,CASES
1917,23,ALBANY,NY,US,CITY,49,CASES
1917,24,ALBANY,NY,US,CITY,30,CASES
1917,25,ALBANY,NY,US,CITY,36,CASES
1917,26,ALBANY,NY,US,CITY,19,CASES
1917,27,ALBANY,NY,US,CITY,20,CASES
1917,28,ALBANY,NY,US,CITY,11,CASES
1917,29,ALBANY,NY,US,CITY,14,CASES
1917,30,ALBANY,NY,US,CITY,15,CASES
1917,31,ALBANY,NY,US,CITY,5,CASES
1917,32,ALBANY,NY,US,CITY,2,CASES
