year,week,loc,state,country,loc_type,number,event
1915,13,ALLENTOWN,PA,US,CITY,1,CASES
1916,13,ALLENTOWN,PA,US,CITY,2,CASES
1916,15,ALLENTOWN,PA,US,CITY,1,CASES
1916,16,ALLENTOWN,PA,US,CITY,1,CASES
1916,33,ALLENTOWN,PA,US,CITY,1,CASES
1916,44,ALLENTOWN,PA,US,CITY,1,CASES
1917,4,ALLENTOWN,PA,US,CITY,1,CASES
1917,5,ALLENTOWN,PA,US,CITY,1,CASES
1917,6,ALLENTOWN,PA,US,CITY,1,CASES
1917,7,ALLENTOWN,PA,US,CITY,2,CASES
1917,8,ALLENTOWN,PA,US,CITY,1,CASES
1917,9,ALLENTOWN,PA,US,CITY,3,CASES
1917,10,ALLENTOWN,PA,US,CITY,3,CASES
1917,12,ALLENTOWN,PA,US,CITY,1,CASES
1917,13,ALLENTOWN,PA,US,CITY,1,CASES
1917,16,ALLENTOWN,PA,US,CITY,1,CASES
1917,17,ALLENTOWN,PA,US,CITY,2,CASES
1917,18,ALLENTOWN,PA,US,CITY,3,CASES
1917,32,ALLENTOWN,PA,US,CITY,1,CASES
1917,43,ALLENTOWN,PA,US,CITY,1,CASES
1917,47,ALLENTOWN,PA,US,CITY,1,CASES
1917,49,ALLENTOWN,PA,US,CITY,1,CASES
1917,50,ALLENTOWN,PA,US,CITY,2,CASES
1918,6,ALLENTOWN,PA,US,CITY,1,CASES
1918,9,ALLENTOWN,PA,US,CITY,6,CASES
1918,10,ALLENTOWN,PA,US,CITY,7,CASES
