year,week,loc,state,country,loc_type,number,event
1919,3,ALLIANCE,OH,US,CITY,2,CASES
1919,4,ALLIANCE,OH,US,CITY,1,CASES
1919,7,ALLIANCE,OH,US,CITY,5,CASES
1919,8,ALLIANCE,OH,US,CITY,1,CASES
1919,13,ALLIANCE,OH,US,CITY,1,CASES
1919,23,ALLIANCE,OH,US,CITY,6,CASES
1919,24,ALLIANCE,OH,US,CITY,1,CASES
1919,26,ALLIANCE,OH,US,CITY,1,CASES
1920,9,ALLIANCE,OH,US,CITY,2,CASES
1920,14,ALLIANCE,OH,US,CITY,1,CASES
1920,17,ALLIANCE,OH,US,CITY,1,CASES
1920,18,ALLIANCE,OH,US,CITY,4,CASES
1920,21,ALLIANCE,OH,US,CITY,2,CASES
1920,22,ALLIANCE,OH,US,CITY,1,CASES
1920,28,ALLIANCE,OH,US,CITY,8,CASES
1920,31,ALLIANCE,OH,US,CITY,4,CASES
1920,35,ALLIANCE,OH,US,CITY,1,CASES
1920,36,ALLIANCE,OH,US,CITY,1,CASES
1920,37,ALLIANCE,OH,US,CITY,1,CASES
1920,42,ALLIANCE,OH,US,CITY,1,CASES
1920,44,ALLIANCE,OH,US,CITY,1,CASES
1920,50,ALLIANCE,OH,US,CITY,1,CASES
1920,52,ALLIANCE,OH,US,CITY,1,CASES
1921,4,ALLIANCE,OH,US,CITY,1,CASES
1921,18,ALLIANCE,OH,US,CITY,1,CASES
1921,20,ALLIANCE,OH,US,CITY,4,CASES
1922,3,ALLIANCE,OH,US,CITY,1,CASES
1922,13,ALLIANCE,OH,US,CITY,1,CASES
1922,16,ALLIANCE,OH,US,CITY,3,CASES
1922,17,ALLIANCE,OH,US,CITY,1,CASES
1922,22,ALLIANCE,OH,US,CITY,1,CASES
1922,26,ALLIANCE,OH,US,CITY,1,CASES
1920,29,ALLIANCE,OH,US,CITY,5,CASES
