year,week,loc,state,country,loc_type,number,event
1921,5,AMBRIDGE,PA,US,CITY,1,CASES
1921,11,AMBRIDGE,PA,US,CITY,1,CASES
1921,15,AMBRIDGE,PA,US,CITY,1,CASES
1921,16,AMBRIDGE,PA,US,CITY,1,CASES
1921,18,AMBRIDGE,PA,US,CITY,1,CASES
1921,22,AMBRIDGE,PA,US,CITY,2,CASES
1921,42,AMBRIDGE,PA,US,CITY,2,CASES
1921,45,AMBRIDGE,PA,US,CITY,1,CASES
1922,37,AMBRIDGE,PA,US,CITY,1,CASES
1922,41,AMBRIDGE,PA,US,CITY,2,CASES
1922,42,AMBRIDGE,PA,US,CITY,1,CASES
1922,44,AMBRIDGE,PA,US,CITY,3,CASES
1922,45,AMBRIDGE,PA,US,CITY,1,CASES
1922,46,AMBRIDGE,PA,US,CITY,6,CASES
1922,47,AMBRIDGE,PA,US,CITY,4,CASES
1922,48,AMBRIDGE,PA,US,CITY,2,CASES
1922,52,AMBRIDGE,PA,US,CITY,1,CASES
1923,4,AMBRIDGE,PA,US,CITY,1,CASES
1923,11,AMBRIDGE,PA,US,CITY,1,CASES
1923,12,AMBRIDGE,PA,US,CITY,1,CASES
1923,14,AMBRIDGE,PA,US,CITY,1,CASES
1923,15,AMBRIDGE,PA,US,CITY,2,CASES
1923,16,AMBRIDGE,PA,US,CITY,1,CASES
1923,19,AMBRIDGE,PA,US,CITY,1,CASES
1923,20,AMBRIDGE,PA,US,CITY,2,CASES
1923,21,AMBRIDGE,PA,US,CITY,1,CASES
1923,22,AMBRIDGE,PA,US,CITY,4,CASES
1923,24,AMBRIDGE,PA,US,CITY,5,CASES
1923,26,AMBRIDGE,PA,US,CITY,3,CASES
1923,27,AMBRIDGE,PA,US,CITY,1,CASES
1923,29,AMBRIDGE,PA,US,CITY,2,CASES
1923,36,AMBRIDGE,PA,US,CITY,1,CASES
1923,37,AMBRIDGE,PA,US,CITY,2,CASES
1923,39,AMBRIDGE,PA,US,CITY,2,CASES
1923,41,AMBRIDGE,PA,US,CITY,5,CASES
1923,42,AMBRIDGE,PA,US,CITY,6,CASES
1923,43,AMBRIDGE,PA,US,CITY,10,CASES
1923,44,AMBRIDGE,PA,US,CITY,14,CASES
1923,45,AMBRIDGE,PA,US,CITY,12,CASES
1923,46,AMBRIDGE,PA,US,CITY,5,CASES
1923,48,AMBRIDGE,PA,US,CITY,21,CASES
1923,49,AMBRIDGE,PA,US,CITY,15,CASES
1923,50,AMBRIDGE,PA,US,CITY,9,CASES
1923,51,AMBRIDGE,PA,US,CITY,10,CASES
1923,52,AMBRIDGE,PA,US,CITY,6,CASES
