year,week,loc,state,country,loc_type,number,event
1920,4,ANACONDA,MT,US,CITY,1,CASES
1920,16,ANACONDA,MT,US,CITY,1,CASES
1920,17,ANACONDA,MT,US,CITY,1,CASES
1920,18,ANACONDA,MT,US,CITY,3,CASES
1920,19,ANACONDA,MT,US,CITY,1,CASES
1920,21,ANACONDA,MT,US,CITY,10,CASES
1920,22,ANACONDA,MT,US,CITY,6,CASES
1920,23,ANACONDA,MT,US,CITY,3,CASES
1920,24,ANACONDA,MT,US,CITY,12,CASES
1920,25,ANACONDA,MT,US,CITY,4,CASES
1920,26,ANACONDA,MT,US,CITY,1,CASES
1920,27,ANACONDA,MT,US,CITY,4,CASES
1920,29,ANACONDA,MT,US,CITY,1,CASES
1920,37,ANACONDA,MT,US,CITY,1,CASES
1920,41,ANACONDA,MT,US,CITY,1,CASES
1920,43,ANACONDA,MT,US,CITY,4,CASES
1920,45,ANACONDA,MT,US,CITY,2,CASES
1920,47,ANACONDA,MT,US,CITY,6,CASES
1920,48,ANACONDA,MT,US,CITY,2,CASES
1920,49,ANACONDA,MT,US,CITY,2,CASES
1920,50,ANACONDA,MT,US,CITY,1,CASES
1920,52,ANACONDA,MT,US,CITY,1,CASES
1923,32,ANACONDA,MT,US,CITY,3,CASES
1923,34,ANACONDA,MT,US,CITY,2,CASES
1923,36,ANACONDA,MT,US,CITY,13,CASES
1923,37,ANACONDA,MT,US,CITY,2,CASES
1923,39,ANACONDA,MT,US,CITY,30,CASES
1923,40,ANACONDA,MT,US,CITY,75,CASES
1923,41,ANACONDA,MT,US,CITY,70,CASES
1923,42,ANACONDA,MT,US,CITY,21,CASES
1923,43,ANACONDA,MT,US,CITY,12,CASES
1923,44,ANACONDA,MT,US,CITY,12,CASES
1923,47,ANACONDA,MT,US,CITY,6,CASES
1923,50,ANACONDA,MT,US,CITY,2,CASES
