year,week,loc,state,country,loc_type,number,event
1906,40,ANN ARBOR,MI,US,CITY,2,CASES
1906,41,ANN ARBOR,MI,US,CITY,3,CASES
1906,42,ANN ARBOR,MI,US,CITY,3,CASES
1906,43,ANN ARBOR,MI,US,CITY,3,CASES
1906,44,ANN ARBOR,MI,US,CITY,2,CASES
1906,45,ANN ARBOR,MI,US,CITY,1,CASES
1906,46,ANN ARBOR,MI,US,CITY,1,CASES
1906,47,ANN ARBOR,MI,US,CITY,1,CASES
1906,49,ANN ARBOR,MI,US,CITY,2,CASES
1906,50,ANN ARBOR,MI,US,CITY,2,CASES
1906,51,ANN ARBOR,MI,US,CITY,2,CASES
1906,52,ANN ARBOR,MI,US,CITY,4,CASES
1907,1,ANN ARBOR,MI,US,CITY,4,CASES
1907,2,ANN ARBOR,MI,US,CITY,1,CASES
1907,7,ANN ARBOR,MI,US,CITY,1,CASES
1907,8,ANN ARBOR,MI,US,CITY,1,CASES
1907,9,ANN ARBOR,MI,US,CITY,1,CASES
1907,10,ANN ARBOR,MI,US,CITY,1,CASES
1907,12,ANN ARBOR,MI,US,CITY,1,CASES
1907,14,ANN ARBOR,MI,US,CITY,1,CASES
1907,40,ANN ARBOR,MI,US,CITY,1,CASES
1908,6,ANN ARBOR,MI,US,CITY,2,CASES
1908,8,ANN ARBOR,MI,US,CITY,2,CASES
1908,9,ANN ARBOR,MI,US,CITY,1,CASES
1908,10,ANN ARBOR,MI,US,CITY,1,CASES
1908,13,ANN ARBOR,MI,US,CITY,1,CASES
1908,14,ANN ARBOR,MI,US,CITY,1,CASES
1908,18,ANN ARBOR,MI,US,CITY,1,CASES
1908,20,ANN ARBOR,MI,US,CITY,1,CASES
1908,21,ANN ARBOR,MI,US,CITY,1,CASES
1908,23,ANN ARBOR,MI,US,CITY,1,CASES
1908,26,ANN ARBOR,MI,US,CITY,2,CASES
1908,43,ANN ARBOR,MI,US,CITY,1,CASES
1908,45,ANN ARBOR,MI,US,CITY,1,CASES
1908,46,ANN ARBOR,MI,US,CITY,1,CASES
1908,47,ANN ARBOR,MI,US,CITY,2,CASES
1909,1,ANN ARBOR,MI,US,CITY,5,CASES
1909,3,ANN ARBOR,MI,US,CITY,1,CASES
1909,6,ANN ARBOR,MI,US,CITY,1,CASES
1909,14,ANN ARBOR,MI,US,CITY,2,CASES
1909,19,ANN ARBOR,MI,US,CITY,1,CASES
1909,25,ANN ARBOR,MI,US,CITY,1,CASES
1909,26,ANN ARBOR,MI,US,CITY,1,CASES
1909,32,ANN ARBOR,MI,US,CITY,1,CASES
1909,33,ANN ARBOR,MI,US,CITY,1,CASES
1909,49,ANN ARBOR,MI,US,CITY,1,CASES
1910,1,ANN ARBOR,MI,US,CITY,1,CASES
1910,3,ANN ARBOR,MI,US,CITY,1,CASES
1910,5,ANN ARBOR,MI,US,CITY,1,CASES
1910,8,ANN ARBOR,MI,US,CITY,1,CASES
1910,11,ANN ARBOR,MI,US,CITY,1,CASES
1910,12,ANN ARBOR,MI,US,CITY,1,CASES
1910,17,ANN ARBOR,MI,US,CITY,1,CASES
1910,32,ANN ARBOR,MI,US,CITY,1,CASES
1910,50,ANN ARBOR,MI,US,CITY,1,CASES
1910,52,ANN ARBOR,MI,US,CITY,2,CASES
