year,week,loc,state,country,loc_type,number,event
1916,21,ARLINGTON,MA,US,CITY,10,CASES
1918,19,ARLINGTON,MA,US,CITY,1,CASES
1918,21,ARLINGTON,MA,US,CITY,1,CASES
1918,22,ARLINGTON,MA,US,CITY,3,CASES
1918,25,ARLINGTON,MA,US,CITY,3,CASES
1919,5,ARLINGTON,MA,US,CITY,1,CASES
1919,38,ARLINGTON,MA,US,CITY,1,CASES
1919,44,ARLINGTON,MA,US,CITY,1,CASES
1919,51,ARLINGTON,MA,US,CITY,3,CASES
1920,1,ARLINGTON,MA,US,CITY,2,CASES
1920,2,ARLINGTON,MA,US,CITY,2,CASES
1920,3,ARLINGTON,MA,US,CITY,1,CASES
1920,4,ARLINGTON,MA,US,CITY,11,CASES
1920,5,ARLINGTON,MA,US,CITY,6,CASES
1920,6,ARLINGTON,MA,US,CITY,8,CASES
1920,7,ARLINGTON,MA,US,CITY,19,CASES
1920,8,ARLINGTON,MA,US,CITY,9,CASES
1920,9,ARLINGTON,MA,US,CITY,6,CASES
1920,10,ARLINGTON,MA,US,CITY,6,CASES
1920,11,ARLINGTON,MA,US,CITY,4,CASES
1920,12,ARLINGTON,MA,US,CITY,11,CASES
1920,13,ARLINGTON,MA,US,CITY,3,CASES
1920,14,ARLINGTON,MA,US,CITY,4,CASES
1920,15,ARLINGTON,MA,US,CITY,6,CASES
1920,16,ARLINGTON,MA,US,CITY,7,CASES
1920,17,ARLINGTON,MA,US,CITY,7,CASES
1920,18,ARLINGTON,MA,US,CITY,9,CASES
1920,19,ARLINGTON,MA,US,CITY,11,CASES
1920,20,ARLINGTON,MA,US,CITY,9,CASES
1920,21,ARLINGTON,MA,US,CITY,9,CASES
1920,22,ARLINGTON,MA,US,CITY,9,CASES
1920,23,ARLINGTON,MA,US,CITY,4,CASES
1920,24,ARLINGTON,MA,US,CITY,2,CASES
1920,25,ARLINGTON,MA,US,CITY,4,CASES
1920,26,ARLINGTON,MA,US,CITY,2,CASES
1920,27,ARLINGTON,MA,US,CITY,2,CASES
1920,29,ARLINGTON,MA,US,CITY,1,CASES
1920,40,ARLINGTON,MA,US,CITY,1,CASES
1920,41,ARLINGTON,MA,US,CITY,1,CASES
1920,44,ARLINGTON,MA,US,CITY,1,CASES
1920,46,ARLINGTON,MA,US,CITY,4,CASES
1920,47,ARLINGTON,MA,US,CITY,1,CASES
1921,1,ARLINGTON,MA,US,CITY,1,CASES
1921,5,ARLINGTON,MA,US,CITY,4,CASES
1921,11,ARLINGTON,MA,US,CITY,1,CASES
1921,12,ARLINGTON,MA,US,CITY,1,CASES
1921,13,ARLINGTON,MA,US,CITY,4,CASES
1921,14,ARLINGTON,MA,US,CITY,1,CASES
1921,15,ARLINGTON,MA,US,CITY,6,CASES
1921,16,ARLINGTON,MA,US,CITY,3,CASES
1921,17,ARLINGTON,MA,US,CITY,21,CASES
1921,18,ARLINGTON,MA,US,CITY,5,CASES
1921,19,ARLINGTON,MA,US,CITY,4,CASES
1921,20,ARLINGTON,MA,US,CITY,3,CASES
1921,21,ARLINGTON,MA,US,CITY,4,CASES
1921,22,ARLINGTON,MA,US,CITY,1,CASES
1921,23,ARLINGTON,MA,US,CITY,1,CASES
1921,24,ARLINGTON,MA,US,CITY,7,CASES
1921,25,ARLINGTON,MA,US,CITY,6,CASES
1921,26,ARLINGTON,MA,US,CITY,8,CASES
1921,27,ARLINGTON,MA,US,CITY,12,CASES
1921,28,ARLINGTON,MA,US,CITY,4,CASES
1921,29,ARLINGTON,MA,US,CITY,11,CASES
1921,31,ARLINGTON,MA,US,CITY,1,CASES
1921,35,ARLINGTON,MA,US,CITY,1,CASES
1921,44,ARLINGTON,MA,US,CITY,1,CASES
1921,49,ARLINGTON,MA,US,CITY,2,CASES
1921,51,ARLINGTON,MA,US,CITY,2,CASES
1922,2,ARLINGTON,MA,US,CITY,2,CASES
1922,3,ARLINGTON,MA,US,CITY,2,CASES
1922,4,ARLINGTON,MA,US,CITY,2,CASES
1922,5,ARLINGTON,MA,US,CITY,1,CASES
1922,6,ARLINGTON,MA,US,CITY,4,CASES
1922,11,ARLINGTON,MA,US,CITY,3,CASES
1922,12,ARLINGTON,MA,US,CITY,2,CASES
1922,13,ARLINGTON,MA,US,CITY,4,CASES
1922,14,ARLINGTON,MA,US,CITY,5,CASES
1922,17,ARLINGTON,MA,US,CITY,1,CASES
1922,18,ARLINGTON,MA,US,CITY,3,CASES
1922,19,ARLINGTON,MA,US,CITY,2,CASES
1922,20,ARLINGTON,MA,US,CITY,2,CASES
