year,week,loc,state,country,loc_type,number,event
1918,19,ARLINGTON,MA,US,CITY,2,CASES
1918,21,ARLINGTON,MA,US,CITY,1,CASES
1918,51,ARLINGTON,MA,US,CITY,1,CASES
1919,3,ARLINGTON,MA,US,CITY,2,CASES
1919,52,ARLINGTON,MA,US,CITY,1,CASES
1920,5,ARLINGTON,MA,US,CITY,2,CASES
1920,6,ARLINGTON,MA,US,CITY,1,CASES
1920,10,ARLINGTON,MA,US,CITY,1,CASES
1920,12,ARLINGTON,MA,US,CITY,1,CASES
1920,15,ARLINGTON,MA,US,CITY,1,CASES
1920,18,ARLINGTON,MA,US,CITY,1,CASES
1920,21,ARLINGTON,MA,US,CITY,2,CASES
1920,22,ARLINGTON,MA,US,CITY,1,CASES
1920,27,ARLINGTON,MA,US,CITY,1,CASES
1920,36,ARLINGTON,MA,US,CITY,1,CASES
1920,38,ARLINGTON,MA,US,CITY,1,CASES
1920,48,ARLINGTON,MA,US,CITY,1,CASES
1920,49,ARLINGTON,MA,US,CITY,11,CASES
1920,50,ARLINGTON,MA,US,CITY,2,CASES
1921,1,ARLINGTON,MA,US,CITY,1,CASES
1921,27,ARLINGTON,MA,US,CITY,1,CASES
1921,33,ARLINGTON,MA,US,CITY,1,CASES
1922,3,ARLINGTON,MA,US,CITY,3,CASES
1922,4,ARLINGTON,MA,US,CITY,1,CASES
1922,8,ARLINGTON,MA,US,CITY,2,CASES
1922,11,ARLINGTON,MA,US,CITY,2,CASES
1922,12,ARLINGTON,MA,US,CITY,2,CASES
1922,13,ARLINGTON,MA,US,CITY,1,CASES
1922,14,ARLINGTON,MA,US,CITY,4,CASES
1922,16,ARLINGTON,MA,US,CITY,3,CASES
1922,17,ARLINGTON,MA,US,CITY,1,CASES
1922,20,ARLINGTON,MA,US,CITY,1,CASES
1922,24,ARLINGTON,MA,US,CITY,1,CASES
1922,29,ARLINGTON,MA,US,CITY,1,CASES
1922,43,ARLINGTON,MA,US,CITY,1,CASES
1922,47,ARLINGTON,MA,US,CITY,1,CASES
1922,48,ARLINGTON,MA,US,CITY,3,CASES
1922,51,ARLINGTON,MA,US,CITY,2,CASES
1923,1,ARLINGTON,MA,US,CITY,2,CASES
1923,2,ARLINGTON,MA,US,CITY,1,CASES
1923,6,ARLINGTON,MA,US,CITY,2,CASES
1923,7,ARLINGTON,MA,US,CITY,5,CASES
1923,24,ARLINGTON,MA,US,CITY,1,CASES
1923,32,ARLINGTON,MA,US,CITY,2,CASES
1923,33,ARLINGTON,MA,US,CITY,1,CASES
1923,47,ARLINGTON,MA,US,CITY,1,CASES
