year,week,loc,state,country,loc_type,number,event
1920,3,ASBURY PARK,NJ,US,CITY,2,CASES
1920,4,ASBURY PARK,NJ,US,CITY,20,CASES
1920,5,ASBURY PARK,NJ,US,CITY,23,CASES
1920,6,ASBURY PARK,NJ,US,CITY,28,CASES
1920,7,ASBURY PARK,NJ,US,CITY,6,CASES
1920,10,ASBURY PARK,NJ,US,CITY,1,CASES
1920,11,ASBURY PARK,NJ,US,CITY,1,CASES
1921,9,ASBURY PARK,NJ,US,CITY,4,CASES
1922,5,ASBURY PARK,NJ,US,CITY,1,CASES
1922,6,ASBURY PARK,NJ,US,CITY,4,CASES
1922,7,ASBURY PARK,NJ,US,CITY,2,CASES
1922,8,ASBURY PARK,NJ,US,CITY,1,CASES
1922,9,ASBURY PARK,NJ,US,CITY,1,CASES
1923,4,ASBURY PARK,NJ,US,CITY,1,CASES
