year,week,loc,state,country,loc_type,number,event
1918,16,ASBURY PARK,NJ,US,CITY,2,CASES
1918,17,ASBURY PARK,NJ,US,CITY,6,CASES
1918,19,ASBURY PARK,NJ,US,CITY,22,CASES
1918,20,ASBURY PARK,NJ,US,CITY,3,CASES
1918,21,ASBURY PARK,NJ,US,CITY,15,CASES
1918,22,ASBURY PARK,NJ,US,CITY,3,CASES
1918,23,ASBURY PARK,NJ,US,CITY,9,CASES
1918,24,ASBURY PARK,NJ,US,CITY,14,CASES
1918,25,ASBURY PARK,NJ,US,CITY,7,CASES
1918,26,ASBURY PARK,NJ,US,CITY,4,CASES
1918,27,ASBURY PARK,NJ,US,CITY,7,CASES
1918,28,ASBURY PARK,NJ,US,CITY,2,CASES
1918,29,ASBURY PARK,NJ,US,CITY,1,CASES
1918,30,ASBURY PARK,NJ,US,CITY,2,CASES
1918,32,ASBURY PARK,NJ,US,CITY,1,CASES
1918,40,ASBURY PARK,NJ,US,CITY,1,CASES
1919,4,ASBURY PARK,NJ,US,CITY,1,CASES
1919,5,ASBURY PARK,NJ,US,CITY,1,CASES
1919,12,ASBURY PARK,NJ,US,CITY,1,CASES
1919,14,ASBURY PARK,NJ,US,CITY,3,CASES
1919,15,ASBURY PARK,NJ,US,CITY,1,CASES
1919,16,ASBURY PARK,NJ,US,CITY,1,CASES
1919,17,ASBURY PARK,NJ,US,CITY,3,CASES
1919,18,ASBURY PARK,NJ,US,CITY,2,CASES
1919,20,ASBURY PARK,NJ,US,CITY,2,CASES
1919,21,ASBURY PARK,NJ,US,CITY,2,CASES
1919,22,ASBURY PARK,NJ,US,CITY,9,CASES
1919,23,ASBURY PARK,NJ,US,CITY,19,CASES
1919,24,ASBURY PARK,NJ,US,CITY,4,CASES
1919,26,ASBURY PARK,NJ,US,CITY,3,CASES
1919,47,ASBURY PARK,NJ,US,CITY,1,CASES
1920,3,ASBURY PARK,NJ,US,CITY,1,CASES
1920,4,ASBURY PARK,NJ,US,CITY,4,CASES
1920,5,ASBURY PARK,NJ,US,CITY,1,CASES
1920,6,ASBURY PARK,NJ,US,CITY,2,CASES
1920,8,ASBURY PARK,NJ,US,CITY,3,CASES
1920,9,ASBURY PARK,NJ,US,CITY,2,CASES
1920,10,ASBURY PARK,NJ,US,CITY,3,CASES
1920,11,ASBURY PARK,NJ,US,CITY,3,CASES
1920,12,ASBURY PARK,NJ,US,CITY,3,CASES
1920,13,ASBURY PARK,NJ,US,CITY,2,CASES
1920,14,ASBURY PARK,NJ,US,CITY,3,CASES
1920,15,ASBURY PARK,NJ,US,CITY,2,CASES
1920,16,ASBURY PARK,NJ,US,CITY,5,CASES
1920,17,ASBURY PARK,NJ,US,CITY,5,CASES
1920,18,ASBURY PARK,NJ,US,CITY,4,CASES
1920,19,ASBURY PARK,NJ,US,CITY,4,CASES
1920,20,ASBURY PARK,NJ,US,CITY,14,CASES
1920,21,ASBURY PARK,NJ,US,CITY,12,CASES
1920,22,ASBURY PARK,NJ,US,CITY,16,CASES
1920,23,ASBURY PARK,NJ,US,CITY,11,CASES
1920,24,ASBURY PARK,NJ,US,CITY,21,CASES
1920,25,ASBURY PARK,NJ,US,CITY,15,CASES
1920,26,ASBURY PARK,NJ,US,CITY,11,CASES
1920,27,ASBURY PARK,NJ,US,CITY,3,CASES
1920,28,ASBURY PARK,NJ,US,CITY,4,CASES
1920,29,ASBURY PARK,NJ,US,CITY,2,CASES
1920,30,ASBURY PARK,NJ,US,CITY,1,CASES
1920,51,ASBURY PARK,NJ,US,CITY,1,CASES
1921,14,ASBURY PARK,NJ,US,CITY,1,CASES
1921,17,ASBURY PARK,NJ,US,CITY,1,CASES
1921,19,ASBURY PARK,NJ,US,CITY,1,CASES
1921,20,ASBURY PARK,NJ,US,CITY,1,CASES
1921,25,ASBURY PARK,NJ,US,CITY,1,CASES
1921,28,ASBURY PARK,NJ,US,CITY,1,CASES
1921,48,ASBURY PARK,NJ,US,CITY,1,CASES
1922,1,ASBURY PARK,NJ,US,CITY,1,CASES
1922,8,ASBURY PARK,NJ,US,CITY,1,CASES
1922,15,ASBURY PARK,NJ,US,CITY,1,CASES
1922,16,ASBURY PARK,NJ,US,CITY,1,CASES
1922,18,ASBURY PARK,NJ,US,CITY,1,CASES
1922,19,ASBURY PARK,NJ,US,CITY,2,CASES
1922,20,ASBURY PARK,NJ,US,CITY,12,CASES
1922,21,ASBURY PARK,NJ,US,CITY,12,CASES
1922,22,ASBURY PARK,NJ,US,CITY,8,CASES
1922,23,ASBURY PARK,NJ,US,CITY,4,CASES
