year,week,loc,state,country,loc_type,number,event
1907,10,ASHTABULA,OH,US,CITY,2,CASES
1907,21,ASHTABULA,OH,US,CITY,1,CASES
1907,31,ASHTABULA,OH,US,CITY,2,CASES
1908,6,ASHTABULA,OH,US,CITY,2,CASES
1909,9,ASHTABULA,OH,US,CITY,1,CASES
1909,11,ASHTABULA,OH,US,CITY,1,CASES
1909,14,ASHTABULA,OH,US,CITY,1,CASES
1909,15,ASHTABULA,OH,US,CITY,1,CASES
1909,22,ASHTABULA,OH,US,CITY,1,CASES
1909,24,ASHTABULA,OH,US,CITY,1,CASES
1909,46,ASHTABULA,OH,US,CITY,1,CASES
1909,48,ASHTABULA,OH,US,CITY,1,CASES
1909,50,ASHTABULA,OH,US,CITY,1,CASES
1909,51,ASHTABULA,OH,US,CITY,1,CASES
1910,20,ASHTABULA,OH,US,CITY,1,CASES
1910,21,ASHTABULA,OH,US,CITY,1,CASES
1910,34,ASHTABULA,OH,US,CITY,1,CASES
1910,37,ASHTABULA,OH,US,CITY,1,CASES
1910,51,ASHTABULA,OH,US,CITY,3,CASES
1911,6,ASHTABULA,OH,US,CITY,1,CASES
1918,17,ASHTABULA,OH,US,CITY,5,CASES
1918,42,ASHTABULA,OH,US,CITY,1,CASES
1919,4,ASHTABULA,OH,US,CITY,1,CASES
1919,9,ASHTABULA,OH,US,CITY,1,CASES
1919,12,ASHTABULA,OH,US,CITY,3,CASES
1919,18,ASHTABULA,OH,US,CITY,2,CASES
1919,19,ASHTABULA,OH,US,CITY,4,CASES
1919,21,ASHTABULA,OH,US,CITY,9,CASES
1919,22,ASHTABULA,OH,US,CITY,7,CASES
1919,23,ASHTABULA,OH,US,CITY,3,CASES
1919,24,ASHTABULA,OH,US,CITY,1,CASES
1919,26,ASHTABULA,OH,US,CITY,1,CASES
1919,27,ASHTABULA,OH,US,CITY,1,CASES
1919,28,ASHTABULA,OH,US,CITY,4,CASES
1919,45,ASHTABULA,OH,US,CITY,1,CASES
1919,46,ASHTABULA,OH,US,CITY,1,CASES
1919,47,ASHTABULA,OH,US,CITY,1,CASES
1919,53,ASHTABULA,OH,US,CITY,1,CASES
1920,1,ASHTABULA,OH,US,CITY,1,CASES
1920,19,ASHTABULA,OH,US,CITY,1,CASES
1920,20,ASHTABULA,OH,US,CITY,1,CASES
1920,30,ASHTABULA,OH,US,CITY,1,CASES
1920,31,ASHTABULA,OH,US,CITY,1,CASES
1920,32,ASHTABULA,OH,US,CITY,1,CASES
1920,37,ASHTABULA,OH,US,CITY,1,CASES
1920,39,ASHTABULA,OH,US,CITY,1,CASES
1920,41,ASHTABULA,OH,US,CITY,1,CASES
1920,44,ASHTABULA,OH,US,CITY,1,CASES
1920,50,ASHTABULA,OH,US,CITY,1,CASES
1920,51,ASHTABULA,OH,US,CITY,1,CASES
1920,52,ASHTABULA,OH,US,CITY,6,CASES
1921,51,ASHTABULA,OH,US,CITY,1,CASES
1922,4,ASHTABULA,OH,US,CITY,2,CASES
1922,7,ASHTABULA,OH,US,CITY,1,CASES
1922,9,ASHTABULA,OH,US,CITY,2,CASES
1922,12,ASHTABULA,OH,US,CITY,1,CASES
1922,16,ASHTABULA,OH,US,CITY,1,CASES
1922,41,ASHTABULA,OH,US,CITY,1,CASES
1923,13,ASHTABULA,OH,US,CITY,2,CASES
1923,16,ASHTABULA,OH,US,CITY,3,CASES
1923,17,ASHTABULA,OH,US,CITY,7,CASES
1923,18,ASHTABULA,OH,US,CITY,3,CASES
1923,20,ASHTABULA,OH,US,CITY,1,CASES
1923,21,ASHTABULA,OH,US,CITY,1,CASES
1923,33,ASHTABULA,OH,US,CITY,3,CASES
1923,39,ASHTABULA,OH,US,CITY,1,CASES
1923,40,ASHTABULA,OH,US,CITY,5,CASES
1923,42,ASHTABULA,OH,US,CITY,1,CASES
1923,43,ASHTABULA,OH,US,CITY,1,CASES
1923,44,ASHTABULA,OH,US,CITY,1,CASES
1923,45,ASHTABULA,OH,US,CITY,3,CASES
1923,48,ASHTABULA,OH,US,CITY,1,CASES
1923,49,ASHTABULA,OH,US,CITY,1,CASES
1923,51,ASHTABULA,OH,US,CITY,1,CASES
