year,week,loc,state,country,loc_type,number,event
1920,3,ATLANTIC CITY,NJ,US,CITY,28,CASES
1920,4,ATLANTIC CITY,NJ,US,CITY,50,CASES
1920,6,ATLANTIC CITY,NJ,US,CITY,39,CASES
1920,7,ATLANTIC CITY,NJ,US,CITY,22,CASES
1920,8,ATLANTIC CITY,NJ,US,CITY,15,CASES
1920,9,ATLANTIC CITY,NJ,US,CITY,8,CASES
1920,10,ATLANTIC CITY,NJ,US,CITY,4,CASES
1920,11,ATLANTIC CITY,NJ,US,CITY,2,CASES
1920,12,ATLANTIC CITY,NJ,US,CITY,1,CASES
1920,18,ATLANTIC CITY,NJ,US,CITY,1,CASES
1921,5,ATLANTIC CITY,NJ,US,CITY,1,CASES
1921,9,ATLANTIC CITY,NJ,US,CITY,1,CASES
1921,46,ATLANTIC CITY,NJ,US,CITY,1,CASES
1922,12,ATLANTIC CITY,NJ,US,CITY,1,CASES
1923,16,ATLANTIC CITY,NJ,US,CITY,1,CASES
