year,week,loc,state,country,loc_type,number,event
1911,5,ATLANTIC CITY,NJ,US,CITY,1,CASES
1911,7,ATLANTIC CITY,NJ,US,CITY,1,CASES
1911,8,ATLANTIC CITY,NJ,US,CITY,2,CASES
1911,11,ATLANTIC CITY,NJ,US,CITY,1,CASES
1911,13,ATLANTIC CITY,NJ,US,CITY,2,CASES
1911,17,ATLANTIC CITY,NJ,US,CITY,7,CASES
1911,18,ATLANTIC CITY,NJ,US,CITY,4,CASES
1911,19,ATLANTIC CITY,NJ,US,CITY,1,CASES
1911,20,ATLANTIC CITY,NJ,US,CITY,5,CASES
1911,21,ATLANTIC CITY,NJ,US,CITY,2,CASES
1911,22,ATLANTIC CITY,NJ,US,CITY,4,CASES
1911,23,ATLANTIC CITY,NJ,US,CITY,6,CASES
1911,24,ATLANTIC CITY,NJ,US,CITY,3,CASES
1911,25,ATLANTIC CITY,NJ,US,CITY,3,CASES
1911,36,ATLANTIC CITY,NJ,US,CITY,1,CASES
1911,42,ATLANTIC CITY,NJ,US,CITY,2,CASES
1911,44,ATLANTIC CITY,NJ,US,CITY,1,CASES
1911,46,ATLANTIC CITY,NJ,US,CITY,2,CASES
1911,51,ATLANTIC CITY,NJ,US,CITY,2,CASES
1912,6,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,7,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,10,ATLANTIC CITY,NJ,US,CITY,2,CASES
1912,12,ATLANTIC CITY,NJ,US,CITY,2,CASES
1912,15,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,16,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,18,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,20,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,26,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,28,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,32,ATLANTIC CITY,NJ,US,CITY,1,CASES
1912,33,ATLANTIC CITY,NJ,US,CITY,2,CASES
1912,35,ATLANTIC CITY,NJ,US,CITY,2,CASES
1913,3,ATLANTIC CITY,NJ,US,CITY,2,CASES
1913,5,ATLANTIC CITY,NJ,US,CITY,1,CASES
1913,6,ATLANTIC CITY,NJ,US,CITY,2,CASES
1913,7,ATLANTIC CITY,NJ,US,CITY,3,CASES
1913,9,ATLANTIC CITY,NJ,US,CITY,4,CASES
1913,10,ATLANTIC CITY,NJ,US,CITY,8,CASES
1913,11,ATLANTIC CITY,NJ,US,CITY,18,CASES
1913,12,ATLANTIC CITY,NJ,US,CITY,5,CASES
1913,13,ATLANTIC CITY,NJ,US,CITY,36,CASES
1913,14,ATLANTIC CITY,NJ,US,CITY,26,CASES
1913,15,ATLANTIC CITY,NJ,US,CITY,44,CASES
1913,16,ATLANTIC CITY,NJ,US,CITY,46,CASES
1913,17,ATLANTIC CITY,NJ,US,CITY,69,CASES
1913,18,ATLANTIC CITY,NJ,US,CITY,38,CASES
1913,19,ATLANTIC CITY,NJ,US,CITY,80,CASES
1913,20,ATLANTIC CITY,NJ,US,CITY,35,CASES
1913,21,ATLANTIC CITY,NJ,US,CITY,41,CASES
1913,22,ATLANTIC CITY,NJ,US,CITY,43,CASES
1913,23,ATLANTIC CITY,NJ,US,CITY,18,CASES
1913,24,ATLANTIC CITY,NJ,US,CITY,29,CASES
1913,25,ATLANTIC CITY,NJ,US,CITY,20,CASES
1913,26,ATLANTIC CITY,NJ,US,CITY,7,CASES
1913,27,ATLANTIC CITY,NJ,US,CITY,15,CASES
1913,28,ATLANTIC CITY,NJ,US,CITY,4,CASES
1913,29,ATLANTIC CITY,NJ,US,CITY,7,CASES
1913,30,ATLANTIC CITY,NJ,US,CITY,2,CASES
1913,32,ATLANTIC CITY,NJ,US,CITY,1,CASES
1913,34,ATLANTIC CITY,NJ,US,CITY,1,CASES
1913,35,ATLANTIC CITY,NJ,US,CITY,2,CASES
1913,36,ATLANTIC CITY,NJ,US,CITY,1,CASES
1913,37,ATLANTIC CITY,NJ,US,CITY,1,CASES
1914,6,ATLANTIC CITY,NJ,US,CITY,1,CASES
1914,7,ATLANTIC CITY,NJ,US,CITY,1,CASES
1914,8,ATLANTIC CITY,NJ,US,CITY,1,CASES
1914,9,ATLANTIC CITY,NJ,US,CITY,1,CASES
1914,10,ATLANTIC CITY,NJ,US,CITY,2,CASES
1914,11,ATLANTIC CITY,NJ,US,CITY,3,CASES
1914,12,ATLANTIC CITY,NJ,US,CITY,5,CASES
1914,13,ATLANTIC CITY,NJ,US,CITY,2,CASES
1914,14,ATLANTIC CITY,NJ,US,CITY,3,CASES
1914,15,ATLANTIC CITY,NJ,US,CITY,7,CASES
1914,16,ATLANTIC CITY,NJ,US,CITY,5,CASES
1914,17,ATLANTIC CITY,NJ,US,CITY,6,CASES
1914,18,ATLANTIC CITY,NJ,US,CITY,12,CASES
1914,19,ATLANTIC CITY,NJ,US,CITY,18,CASES
1914,20,ATLANTIC CITY,NJ,US,CITY,11,CASES
1914,21,ATLANTIC CITY,NJ,US,CITY,7,CASES
1914,22,ATLANTIC CITY,NJ,US,CITY,3,CASES
1914,24,ATLANTIC CITY,NJ,US,CITY,5,CASES
1914,25,ATLANTIC CITY,NJ,US,CITY,10,CASES
1914,26,ATLANTIC CITY,NJ,US,CITY,3,CASES
1914,27,ATLANTIC CITY,NJ,US,CITY,2,CASES
1914,28,ATLANTIC CITY,NJ,US,CITY,2,CASES
1914,29,ATLANTIC CITY,NJ,US,CITY,2,CASES
1914,30,ATLANTIC CITY,NJ,US,CITY,1,CASES
1914,33,ATLANTIC CITY,NJ,US,CITY,1,CASES
1914,42,ATLANTIC CITY,NJ,US,CITY,1,CASES
1914,46,ATLANTIC CITY,NJ,US,CITY,2,CASES
1915,4,ATLANTIC CITY,NJ,US,CITY,7,CASES
1915,7,ATLANTIC CITY,NJ,US,CITY,11,CASES
1915,8,ATLANTIC CITY,NJ,US,CITY,18,CASES
1915,9,ATLANTIC CITY,NJ,US,CITY,9,CASES
1915,10,ATLANTIC CITY,NJ,US,CITY,15,CASES
1915,11,ATLANTIC CITY,NJ,US,CITY,20,CASES
1915,12,ATLANTIC CITY,NJ,US,CITY,10,CASES
1915,13,ATLANTIC CITY,NJ,US,CITY,9,CASES
1915,14,ATLANTIC CITY,NJ,US,CITY,8,CASES
1915,15,ATLANTIC CITY,NJ,US,CITY,27,CASES
1915,16,ATLANTIC CITY,NJ,US,CITY,13,CASES
1915,17,ATLANTIC CITY,NJ,US,CITY,23,CASES
1915,18,ATLANTIC CITY,NJ,US,CITY,39,CASES
1915,19,ATLANTIC CITY,NJ,US,CITY,15,CASES
1915,20,ATLANTIC CITY,NJ,US,CITY,19,CASES
1915,21,ATLANTIC CITY,NJ,US,CITY,18,CASES
1915,22,ATLANTIC CITY,NJ,US,CITY,22,CASES
1915,23,ATLANTIC CITY,NJ,US,CITY,22,CASES
1915,24,ATLANTIC CITY,NJ,US,CITY,21,CASES
1915,25,ATLANTIC CITY,NJ,US,CITY,14,CASES
1915,27,ATLANTIC CITY,NJ,US,CITY,5,CASES
1915,28,ATLANTIC CITY,NJ,US,CITY,11,CASES
1915,29,ATLANTIC CITY,NJ,US,CITY,6,CASES
1915,31,ATLANTIC CITY,NJ,US,CITY,2,CASES
1915,35,ATLANTIC CITY,NJ,US,CITY,2,CASES
1915,36,ATLANTIC CITY,NJ,US,CITY,1,CASES
1915,37,ATLANTIC CITY,NJ,US,CITY,2,CASES
1915,41,ATLANTIC CITY,NJ,US,CITY,1,CASES
1915,45,ATLANTIC CITY,NJ,US,CITY,1,CASES
1915,47,ATLANTIC CITY,NJ,US,CITY,1,CASES
1915,48,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,3,ATLANTIC CITY,NJ,US,CITY,2,CASES
1916,4,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,6,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,8,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,9,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,11,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,13,ATLANTIC CITY,NJ,US,CITY,2,CASES
1916,14,ATLANTIC CITY,NJ,US,CITY,3,CASES
1916,16,ATLANTIC CITY,NJ,US,CITY,11,CASES
1916,17,ATLANTIC CITY,NJ,US,CITY,3,CASES
1916,18,ATLANTIC CITY,NJ,US,CITY,15,CASES
1916,19,ATLANTIC CITY,NJ,US,CITY,5,CASES
1916,20,ATLANTIC CITY,NJ,US,CITY,7,CASES
1916,21,ATLANTIC CITY,NJ,US,CITY,10,CASES
1916,22,ATLANTIC CITY,NJ,US,CITY,13,CASES
1916,23,ATLANTIC CITY,NJ,US,CITY,12,CASES
1916,24,ATLANTIC CITY,NJ,US,CITY,13,CASES
1916,25,ATLANTIC CITY,NJ,US,CITY,11,CASES
1916,27,ATLANTIC CITY,NJ,US,CITY,8,CASES
1916,28,ATLANTIC CITY,NJ,US,CITY,5,CASES
1916,29,ATLANTIC CITY,NJ,US,CITY,2,CASES
1916,30,ATLANTIC CITY,NJ,US,CITY,7,CASES
1916,31,ATLANTIC CITY,NJ,US,CITY,4,CASES
1916,32,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,33,ATLANTIC CITY,NJ,US,CITY,4,CASES
1916,34,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,35,ATLANTIC CITY,NJ,US,CITY,4,CASES
1916,36,ATLANTIC CITY,NJ,US,CITY,2,CASES
1916,39,ATLANTIC CITY,NJ,US,CITY,2,CASES
1916,40,ATLANTIC CITY,NJ,US,CITY,2,CASES
1916,42,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,43,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,44,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,45,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,46,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,47,ATLANTIC CITY,NJ,US,CITY,5,CASES
1916,48,ATLANTIC CITY,NJ,US,CITY,1,CASES
1916,49,ATLANTIC CITY,NJ,US,CITY,3,CASES
1916,50,ATLANTIC CITY,NJ,US,CITY,3,CASES
1916,51,ATLANTIC CITY,NJ,US,CITY,16,CASES
1916,52,ATLANTIC CITY,NJ,US,CITY,5,CASES
1917,1,ATLANTIC CITY,NJ,US,CITY,7,CASES
1917,2,ATLANTIC CITY,NJ,US,CITY,10,CASES
1917,3,ATLANTIC CITY,NJ,US,CITY,31,CASES
1917,4,ATLANTIC CITY,NJ,US,CITY,32,CASES
1917,5,ATLANTIC CITY,NJ,US,CITY,39,CASES
1917,6,ATLANTIC CITY,NJ,US,CITY,20,CASES
1917,7,ATLANTIC CITY,NJ,US,CITY,29,CASES
1917,8,ATLANTIC CITY,NJ,US,CITY,22,CASES
1917,9,ATLANTIC CITY,NJ,US,CITY,71,CASES
1917,10,ATLANTIC CITY,NJ,US,CITY,58,CASES
1917,11,ATLANTIC CITY,NJ,US,CITY,83,CASES
1917,12,ATLANTIC CITY,NJ,US,CITY,71,CASES
1917,13,ATLANTIC CITY,NJ,US,CITY,41,CASES
1917,14,ATLANTIC CITY,NJ,US,CITY,55,CASES
1917,15,ATLANTIC CITY,NJ,US,CITY,54,CASES
1917,16,ATLANTIC CITY,NJ,US,CITY,44,CASES
1917,17,ATLANTIC CITY,NJ,US,CITY,50,CASES
1917,18,ATLANTIC CITY,NJ,US,CITY,47,CASES
1917,19,ATLANTIC CITY,NJ,US,CITY,33,CASES
1917,20,ATLANTIC CITY,NJ,US,CITY,33,CASES
1917,21,ATLANTIC CITY,NJ,US,CITY,44,CASES
1917,22,ATLANTIC CITY,NJ,US,CITY,32,CASES
1917,23,ATLANTIC CITY,NJ,US,CITY,43,CASES
