year,week,loc,state,country,loc_type,number,event
1918,18,ATTLEBORO,MA,US,CITY,1,CASES
1918,20,ATTLEBORO,MA,US,CITY,4,CASES
1918,22,ATTLEBORO,MA,US,CITY,1,CASES
1918,23,ATTLEBORO,MA,US,CITY,1,CASES
1918,28,ATTLEBORO,MA,US,CITY,4,CASES
1918,30,ATTLEBORO,MA,US,CITY,1,CASES
1918,49,ATTLEBORO,MA,US,CITY,2,CASES
1919,5,ATTLEBORO,MA,US,CITY,2,CASES
1919,16,ATTLEBORO,MA,US,CITY,1,CASES
1919,24,ATTLEBORO,MA,US,CITY,1,CASES
1919,41,ATTLEBORO,MA,US,CITY,3,CASES
1919,43,ATTLEBORO,MA,US,CITY,3,CASES
1919,49,ATTLEBORO,MA,US,CITY,2,CASES
1919,53,ATTLEBORO,MA,US,CITY,1,CASES
1920,2,ATTLEBORO,MA,US,CITY,3,CASES
1920,3,ATTLEBORO,MA,US,CITY,2,CASES
1920,5,ATTLEBORO,MA,US,CITY,1,CASES
1920,7,ATTLEBORO,MA,US,CITY,1,CASES
1920,9,ATTLEBORO,MA,US,CITY,1,CASES
1920,11,ATTLEBORO,MA,US,CITY,2,CASES
1920,12,ATTLEBORO,MA,US,CITY,1,CASES
1920,13,ATTLEBORO,MA,US,CITY,1,CASES
1920,15,ATTLEBORO,MA,US,CITY,2,CASES
1920,16,ATTLEBORO,MA,US,CITY,1,CASES
1920,17,ATTLEBORO,MA,US,CITY,8,CASES
1920,18,ATTLEBORO,MA,US,CITY,9,CASES
1920,19,ATTLEBORO,MA,US,CITY,9,CASES
1920,20,ATTLEBORO,MA,US,CITY,24,CASES
1920,21,ATTLEBORO,MA,US,CITY,28,CASES
1920,22,ATTLEBORO,MA,US,CITY,18,CASES
1920,23,ATTLEBORO,MA,US,CITY,23,CASES
1920,24,ATTLEBORO,MA,US,CITY,7,CASES
1920,25,ATTLEBORO,MA,US,CITY,11,CASES
1920,26,ATTLEBORO,MA,US,CITY,7,CASES
1920,27,ATTLEBORO,MA,US,CITY,2,CASES
1920,28,ATTLEBORO,MA,US,CITY,3,CASES
1920,29,ATTLEBORO,MA,US,CITY,3,CASES
1920,30,ATTLEBORO,MA,US,CITY,1,CASES
1920,40,ATTLEBORO,MA,US,CITY,1,CASES
1920,46,ATTLEBORO,MA,US,CITY,1,CASES
1921,3,ATTLEBORO,MA,US,CITY,1,CASES
1921,4,ATTLEBORO,MA,US,CITY,1,CASES
1921,17,ATTLEBORO,MA,US,CITY,1,CASES
1921,29,ATTLEBORO,MA,US,CITY,1,CASES
1922,1,ATTLEBORO,MA,US,CITY,3,CASES
1922,2,ATTLEBORO,MA,US,CITY,1,CASES
1922,3,ATTLEBORO,MA,US,CITY,1,CASES
1922,12,ATTLEBORO,MA,US,CITY,1,CASES
1922,14,ATTLEBORO,MA,US,CITY,1,CASES
1922,22,ATTLEBORO,MA,US,CITY,1,CASES
1922,24,ATTLEBORO,MA,US,CITY,1,CASES
1922,39,ATTLEBORO,MA,US,CITY,1,CASES
1922,40,ATTLEBORO,MA,US,CITY,4,CASES
1922,41,ATTLEBORO,MA,US,CITY,5,CASES
1922,42,ATTLEBORO,MA,US,CITY,4,CASES
1922,43,ATTLEBORO,MA,US,CITY,1,CASES
1922,44,ATTLEBORO,MA,US,CITY,4,CASES
1922,45,ATTLEBORO,MA,US,CITY,3,CASES
1922,46,ATTLEBORO,MA,US,CITY,9,CASES
1922,47,ATTLEBORO,MA,US,CITY,26,CASES
1922,48,ATTLEBORO,MA,US,CITY,5,CASES
1922,49,ATTLEBORO,MA,US,CITY,22,CASES
1922,50,ATTLEBORO,MA,US,CITY,12,CASES
1922,51,ATTLEBORO,MA,US,CITY,44,CASES
1922,52,ATTLEBORO,MA,US,CITY,14,CASES
1923,1,ATTLEBORO,MA,US,CITY,14,CASES
1923,2,ATTLEBORO,MA,US,CITY,13,CASES
1923,3,ATTLEBORO,MA,US,CITY,18,CASES
1923,4,ATTLEBORO,MA,US,CITY,7,CASES
1923,8,ATTLEBORO,MA,US,CITY,9,CASES
1923,9,ATTLEBORO,MA,US,CITY,5,CASES
1923,10,ATTLEBORO,MA,US,CITY,2,CASES
1923,11,ATTLEBORO,MA,US,CITY,4,CASES
1923,12,ATTLEBORO,MA,US,CITY,2,CASES
1923,13,ATTLEBORO,MA,US,CITY,4,CASES
1923,18,ATTLEBORO,MA,US,CITY,2,CASES
1923,20,ATTLEBORO,MA,US,CITY,1,CASES
1923,22,ATTLEBORO,MA,US,CITY,1,CASES
1923,23,ATTLEBORO,MA,US,CITY,2,CASES
1923,24,ATTLEBORO,MA,US,CITY,1,CASES
