year,week,loc,state,country,loc_type,number,event
1920,7,AUBURN,ME,US,CITY,1,CASES
1920,17,AUBURN,ME,US,CITY,1,CASES
1920,18,AUBURN,ME,US,CITY,1,CASES
1920,19,AUBURN,ME,US,CITY,2,CASES
1920,21,AUBURN,ME,US,CITY,1,CASES
1920,22,AUBURN,ME,US,CITY,1,CASES
1920,24,AUBURN,ME,US,CITY,1,CASES
1920,28,AUBURN,ME,US,CITY,1,CASES
1920,29,AUBURN,ME,US,CITY,1,CASES
1920,46,AUBURN,ME,US,CITY,1,CASES
1920,48,AUBURN,ME,US,CITY,9,CASES
1920,49,AUBURN,ME,US,CITY,31,CASES
1920,50,AUBURN,ME,US,CITY,11,CASES
1920,51,AUBURN,ME,US,CITY,25,CASES
1920,52,AUBURN,ME,US,CITY,17,CASES
1921,1,AUBURN,ME,US,CITY,20,CASES
1921,2,AUBURN,ME,US,CITY,33,CASES
1921,3,AUBURN,ME,US,CITY,31,CASES
1921,4,AUBURN,ME,US,CITY,16,CASES
1921,5,AUBURN,ME,US,CITY,48,CASES
1921,6,AUBURN,ME,US,CITY,20,CASES
1921,7,AUBURN,ME,US,CITY,18,CASES
1921,8,AUBURN,ME,US,CITY,5,CASES
1921,9,AUBURN,ME,US,CITY,5,CASES
1921,10,AUBURN,ME,US,CITY,9,CASES
1921,12,AUBURN,ME,US,CITY,4,CASES
1921,13,AUBURN,ME,US,CITY,3,CASES
1921,14,AUBURN,ME,US,CITY,1,CASES
1921,15,AUBURN,ME,US,CITY,1,CASES
1921,17,AUBURN,ME,US,CITY,3,CASES
1922,19,AUBURN,ME,US,CITY,1,CASES
1922,21,AUBURN,ME,US,CITY,1,CASES
1922,39,AUBURN,ME,US,CITY,1,CASES
1922,50,AUBURN,ME,US,CITY,1,CASES
1923,7,AUBURN,ME,US,CITY,1,CASES
1923,9,AUBURN,ME,US,CITY,1,CASES
1923,13,AUBURN,ME,US,CITY,1,CASES
1923,14,AUBURN,ME,US,CITY,2,CASES
1923,15,AUBURN,ME,US,CITY,2,CASES
1923,16,AUBURN,ME,US,CITY,3,CASES
1923,18,AUBURN,ME,US,CITY,24,CASES
1923,19,AUBURN,ME,US,CITY,12,CASES
1923,20,AUBURN,ME,US,CITY,51,CASES
1923,21,AUBURN,ME,US,CITY,30,CASES
1923,22,AUBURN,ME,US,CITY,17,CASES
1923,23,AUBURN,ME,US,CITY,13,CASES
1923,24,AUBURN,ME,US,CITY,14,CASES
1923,25,AUBURN,ME,US,CITY,8,CASES
1923,26,AUBURN,ME,US,CITY,8,CASES
1923,28,AUBURN,ME,US,CITY,2,CASES
1923,29,AUBURN,ME,US,CITY,4,CASES
1923,36,AUBURN,ME,US,CITY,1,CASES
