year,week,loc,state,country,loc_type,number,event
1906,42,AUBURN,NY,US,CITY,2,CASES
1906,43,AUBURN,NY,US,CITY,5,CASES
1906,44,AUBURN,NY,US,CITY,2,CASES
1906,45,AUBURN,NY,US,CITY,5,CASES
1906,46,AUBURN,NY,US,CITY,13,CASES
1906,47,AUBURN,NY,US,CITY,2,CASES
1906,48,AUBURN,NY,US,CITY,2,CASES
1906,49,AUBURN,NY,US,CITY,2,CASES
1906,50,AUBURN,NY,US,CITY,1,CASES
1906,51,AUBURN,NY,US,CITY,1,CASES
1907,1,AUBURN,NY,US,CITY,2,CASES
1907,2,AUBURN,NY,US,CITY,4,CASES
1907,3,AUBURN,NY,US,CITY,2,CASES
1907,5,AUBURN,NY,US,CITY,3,CASES
1907,6,AUBURN,NY,US,CITY,4,CASES
1907,7,AUBURN,NY,US,CITY,3,CASES
1907,8,AUBURN,NY,US,CITY,2,CASES
1907,9,AUBURN,NY,US,CITY,1,CASES
1907,10,AUBURN,NY,US,CITY,2,CASES
1907,11,AUBURN,NY,US,CITY,7,CASES
1907,12,AUBURN,NY,US,CITY,6,CASES
1907,13,AUBURN,NY,US,CITY,7,CASES
1907,14,AUBURN,NY,US,CITY,2,CASES
1907,15,AUBURN,NY,US,CITY,8,CASES
1907,16,AUBURN,NY,US,CITY,4,CASES
1907,17,AUBURN,NY,US,CITY,2,CASES
1907,18,AUBURN,NY,US,CITY,2,CASES
1907,19,AUBURN,NY,US,CITY,1,CASES
1907,20,AUBURN,NY,US,CITY,2,CASES
1907,21,AUBURN,NY,US,CITY,6,CASES
1907,23,AUBURN,NY,US,CITY,4,CASES
1907,24,AUBURN,NY,US,CITY,4,CASES
1907,25,AUBURN,NY,US,CITY,2,CASES
1907,26,AUBURN,NY,US,CITY,4,CASES
1907,27,AUBURN,NY,US,CITY,5,CASES
1907,28,AUBURN,NY,US,CITY,2,CASES
1907,29,AUBURN,NY,US,CITY,2,CASES
1907,30,AUBURN,NY,US,CITY,2,CASES
1907,31,AUBURN,NY,US,CITY,2,CASES
1907,32,AUBURN,NY,US,CITY,2,CASES
1907,33,AUBURN,NY,US,CITY,3,CASES
1907,34,AUBURN,NY,US,CITY,2,CASES
1907,37,AUBURN,NY,US,CITY,2,CASES
1907,38,AUBURN,NY,US,CITY,3,CASES
1907,40,AUBURN,NY,US,CITY,6,CASES
1907,41,AUBURN,NY,US,CITY,2,CASES
1907,42,AUBURN,NY,US,CITY,5,CASES
1907,43,AUBURN,NY,US,CITY,7,CASES
1907,46,AUBURN,NY,US,CITY,2,CASES
1907,47,AUBURN,NY,US,CITY,2,CASES
1907,48,AUBURN,NY,US,CITY,1,CASES
1907,50,AUBURN,NY,US,CITY,1,CASES
1907,51,AUBURN,NY,US,CITY,2,CASES
1907,52,AUBURN,NY,US,CITY,1,CASES
1908,1,AUBURN,NY,US,CITY,2,CASES
1908,2,AUBURN,NY,US,CITY,1,CASES
1908,3,AUBURN,NY,US,CITY,3,CASES
1908,4,AUBURN,NY,US,CITY,1,CASES
1908,5,AUBURN,NY,US,CITY,1,CASES
1908,9,AUBURN,NY,US,CITY,1,CASES
1908,10,AUBURN,NY,US,CITY,1,CASES
1908,16,AUBURN,NY,US,CITY,2,CASES
1908,17,AUBURN,NY,US,CITY,2,CASES
1908,18,AUBURN,NY,US,CITY,1,CASES
