year,week,loc,state,country,loc_type,number,event
1906,42,AUGUSTA,GA,US,CITY,1,CASES
1906,46,AUGUSTA,GA,US,CITY,2,CASES
1907,5,AUGUSTA,GA,US,CITY,1,CASES
1907,6,AUGUSTA,GA,US,CITY,1,CASES
1907,7,AUGUSTA,GA,US,CITY,1,CASES
1907,8,AUGUSTA,GA,US,CITY,1,CASES
1907,10,AUGUSTA,GA,US,CITY,1,CASES
1907,36,AUGUSTA,GA,US,CITY,1,CASES
1907,42,AUGUSTA,GA,US,CITY,1,CASES
1907,43,AUGUSTA,GA,US,CITY,8,CASES
1907,44,AUGUSTA,GA,US,CITY,3,CASES
1907,45,AUGUSTA,GA,US,CITY,1,CASES
1907,46,AUGUSTA,GA,US,CITY,1,CASES
1907,47,AUGUSTA,GA,US,CITY,2,CASES
1907,48,AUGUSTA,GA,US,CITY,24,CASES
1907,49,AUGUSTA,GA,US,CITY,2,CASES
1907,50,AUGUSTA,GA,US,CITY,1,CASES
1907,52,AUGUSTA,GA,US,CITY,1,CASES
1908,3,AUGUSTA,GA,US,CITY,1,CASES
1908,5,AUGUSTA,GA,US,CITY,1,CASES
1908,6,AUGUSTA,GA,US,CITY,1,CASES
1908,7,AUGUSTA,GA,US,CITY,1,CASES
1908,11,AUGUSTA,GA,US,CITY,1,CASES
1908,30,AUGUSTA,GA,US,CITY,1,CASES
1908,32,AUGUSTA,GA,US,CITY,1,CASES
1908,33,AUGUSTA,GA,US,CITY,2,CASES
1908,36,AUGUSTA,GA,US,CITY,1,CASES
1908,37,AUGUSTA,GA,US,CITY,3,CASES
1908,39,AUGUSTA,GA,US,CITY,3,CASES
1908,40,AUGUSTA,GA,US,CITY,3,CASES
1908,41,AUGUSTA,GA,US,CITY,1,CASES
1908,43,AUGUSTA,GA,US,CITY,1,CASES
1908,44,AUGUSTA,GA,US,CITY,2,CASES
1908,45,AUGUSTA,GA,US,CITY,3,CASES
1908,46,AUGUSTA,GA,US,CITY,3,CASES
1908,47,AUGUSTA,GA,US,CITY,2,CASES
1918,13,AUGUSTA,GA,US,CITY,1,CASES
1921,41,AUGUSTA,GA,US,CITY,6,CASES
1921,44,AUGUSTA,GA,US,CITY,2,CASES
1921,49,AUGUSTA,GA,US,CITY,1,CASES
1921,50,AUGUSTA,GA,US,CITY,4,CASES
1921,51,AUGUSTA,GA,US,CITY,1,CASES
1921,52,AUGUSTA,GA,US,CITY,1,CASES
1922,1,AUGUSTA,GA,US,CITY,3,CASES
1922,4,AUGUSTA,GA,US,CITY,2,CASES
1922,6,AUGUSTA,GA,US,CITY,1,CASES
1922,8,AUGUSTA,GA,US,CITY,1,CASES
1922,33,AUGUSTA,GA,US,CITY,3,CASES
1922,34,AUGUSTA,GA,US,CITY,1,CASES
1922,37,AUGUSTA,GA,US,CITY,1,CASES
1922,38,AUGUSTA,GA,US,CITY,10,CASES
1922,39,AUGUSTA,GA,US,CITY,5,CASES
1922,40,AUGUSTA,GA,US,CITY,2,CASES
1922,42,AUGUSTA,GA,US,CITY,7,CASES
1922,43,AUGUSTA,GA,US,CITY,1,CASES
1922,44,AUGUSTA,GA,US,CITY,1,CASES
1922,47,AUGUSTA,GA,US,CITY,1,CASES
1923,11,AUGUSTA,GA,US,CITY,1,CASES
1923,23,AUGUSTA,GA,US,CITY,1,CASES
1923,27,AUGUSTA,GA,US,CITY,1,CASES
1923,29,AUGUSTA,GA,US,CITY,1,CASES
1923,30,AUGUSTA,GA,US,CITY,2,CASES
1923,36,AUGUSTA,GA,US,CITY,3,CASES
1923,40,AUGUSTA,GA,US,CITY,3,CASES
1923,41,AUGUSTA,GA,US,CITY,4,CASES
1923,44,AUGUSTA,GA,US,CITY,2,CASES
1923,45,AUGUSTA,GA,US,CITY,1,CASES
1923,47,AUGUSTA,GA,US,CITY,1,CASES
1923,48,AUGUSTA,GA,US,CITY,1,CASES
1923,49,AUGUSTA,GA,US,CITY,1,CASES
