year,week,loc,state,country,loc_type,number,event
1908,2,AURORA,IL,US,CITY,2,CASES
1908,4,AURORA,IL,US,CITY,1,CASES
1908,10,AURORA,IL,US,CITY,1,CASES
1908,11,AURORA,IL,US,CITY,1,CASES
1909,30,AURORA,IL,US,CITY,1,CASES
1910,31,AURORA,IL,US,CITY,1,CASES
1910,33,AURORA,IL,US,CITY,1,CASES
1910,35,AURORA,IL,US,CITY,1,CASES
1911,1,AURORA,IL,US,CITY,1,CASES
1911,4,AURORA,IL,US,CITY,2,CASES
1911,5,AURORA,IL,US,CITY,2,CASES
1911,11,AURORA,IL,US,CITY,2,CASES
1911,14,AURORA,IL,US,CITY,2,CASES
1911,18,AURORA,IL,US,CITY,1,CASES
1911,19,AURORA,IL,US,CITY,2,CASES
1911,21,AURORA,IL,US,CITY,1,CASES
1911,22,AURORA,IL,US,CITY,1,CASES
1911,25,AURORA,IL,US,CITY,2,CASES
1911,26,AURORA,IL,US,CITY,2,CASES
1911,30,AURORA,IL,US,CITY,1,CASES
1911,32,AURORA,IL,US,CITY,2,CASES
1911,37,AURORA,IL,US,CITY,1,CASES
1911,39,AURORA,IL,US,CITY,1,CASES
1911,40,AURORA,IL,US,CITY,1,CASES
1911,41,AURORA,IL,US,CITY,2,CASES
1911,44,AURORA,IL,US,CITY,4,CASES
1911,50,AURORA,IL,US,CITY,2,CASES
1911,52,AURORA,IL,US,CITY,1,CASES
1912,1,AURORA,IL,US,CITY,2,CASES
1912,2,AURORA,IL,US,CITY,3,CASES
1912,4,AURORA,IL,US,CITY,1,CASES
1912,5,AURORA,IL,US,CITY,4,CASES
1912,6,AURORA,IL,US,CITY,1,CASES
1912,7,AURORA,IL,US,CITY,7,CASES
1912,8,AURORA,IL,US,CITY,1,CASES
1912,10,AURORA,IL,US,CITY,2,CASES
1912,11,AURORA,IL,US,CITY,1,CASES
1912,12,AURORA,IL,US,CITY,1,CASES
1912,13,AURORA,IL,US,CITY,1,CASES
1912,14,AURORA,IL,US,CITY,1,CASES
1912,18,AURORA,IL,US,CITY,1,CASES
1912,21,AURORA,IL,US,CITY,2,CASES
1912,22,AURORA,IL,US,CITY,1,CASES
1912,23,AURORA,IL,US,CITY,1,CASES
1912,25,AURORA,IL,US,CITY,2,CASES
1912,35,AURORA,IL,US,CITY,2,CASES
1912,38,AURORA,IL,US,CITY,1,CASES
1912,40,AURORA,IL,US,CITY,1,CASES
1912,42,AURORA,IL,US,CITY,1,CASES
1912,43,AURORA,IL,US,CITY,1,CASES
1912,44,AURORA,IL,US,CITY,2,CASES
1912,45,AURORA,IL,US,CITY,2,CASES
1912,46,AURORA,IL,US,CITY,2,CASES
1912,47,AURORA,IL,US,CITY,2,CASES
1912,48,AURORA,IL,US,CITY,1,CASES
1912,49,AURORA,IL,US,CITY,2,CASES
1912,50,AURORA,IL,US,CITY,1,CASES
1912,51,AURORA,IL,US,CITY,1,CASES
1912,52,AURORA,IL,US,CITY,1,CASES
1913,1,AURORA,IL,US,CITY,3,CASES
1913,3,AURORA,IL,US,CITY,1,CASES
1913,6,AURORA,IL,US,CITY,2,CASES
1913,7,AURORA,IL,US,CITY,2,CASES
1913,10,AURORA,IL,US,CITY,1,CASES
1913,13,AURORA,IL,US,CITY,1,CASES
1913,15,AURORA,IL,US,CITY,1,CASES
1913,16,AURORA,IL,US,CITY,1,CASES
1913,18,AURORA,IL,US,CITY,2,CASES
1913,19,AURORA,IL,US,CITY,3,CASES
1913,21,AURORA,IL,US,CITY,2,CASES
1913,22,AURORA,IL,US,CITY,1,CASES
1913,24,AURORA,IL,US,CITY,1,CASES
1913,30,AURORA,IL,US,CITY,2,CASES
1913,34,AURORA,IL,US,CITY,1,CASES
1913,35,AURORA,IL,US,CITY,1,CASES
1913,38,AURORA,IL,US,CITY,2,CASES
1913,41,AURORA,IL,US,CITY,1,CASES
1913,45,AURORA,IL,US,CITY,1,CASES
1913,46,AURORA,IL,US,CITY,1,CASES
1913,48,AURORA,IL,US,CITY,2,CASES
1913,49,AURORA,IL,US,CITY,1,CASES
1913,50,AURORA,IL,US,CITY,1,CASES
1913,52,AURORA,IL,US,CITY,2,CASES
1913,53,AURORA,IL,US,CITY,1,CASES
1914,1,AURORA,IL,US,CITY,1,CASES
1914,2,AURORA,IL,US,CITY,1,CASES
1914,3,AURORA,IL,US,CITY,3,CASES
1914,4,AURORA,IL,US,CITY,1,CASES
1914,6,AURORA,IL,US,CITY,1,CASES
1914,8,AURORA,IL,US,CITY,1,CASES
1914,9,AURORA,IL,US,CITY,3,CASES
1914,10,AURORA,IL,US,CITY,3,CASES
1914,15,AURORA,IL,US,CITY,1,CASES
1914,20,AURORA,IL,US,CITY,1,CASES
1914,21,AURORA,IL,US,CITY,1,CASES
1914,23,AURORA,IL,US,CITY,1,CASES
1914,29,AURORA,IL,US,CITY,1,CASES
1914,36,AURORA,IL,US,CITY,1,CASES
1914,38,AURORA,IL,US,CITY,1,CASES
1914,39,AURORA,IL,US,CITY,3,CASES
1914,40,AURORA,IL,US,CITY,5,CASES
1914,41,AURORA,IL,US,CITY,2,CASES
1914,42,AURORA,IL,US,CITY,2,CASES
1914,43,AURORA,IL,US,CITY,8,CASES
1914,44,AURORA,IL,US,CITY,8,CASES
1914,45,AURORA,IL,US,CITY,11,CASES
1914,46,AURORA,IL,US,CITY,4,CASES
1914,47,AURORA,IL,US,CITY,6,CASES
1914,48,AURORA,IL,US,CITY,5,CASES
1914,49,AURORA,IL,US,CITY,3,CASES
1914,50,AURORA,IL,US,CITY,9,CASES
1914,51,AURORA,IL,US,CITY,5,CASES
