year,week,loc,state,country,loc_type,number,event
1912,2,AURORA,IL,US,CITY,1,CASES
1900,7,AURORA,IL,US,CITY,6,CASES
1913,19,AURORA,IL,US,CITY,1,CASES
1913,26,AURORA,IL,US,CITY,4,CASES
1913,29,AURORA,IL,US,CITY,1,CASES
1913,33,AURORA,IL,US,CITY,1,CASES
1913,52,AURORA,IL,US,CITY,12,CASES
1913,53,AURORA,IL,US,CITY,6,CASES
1914,1,AURORA,IL,US,CITY,8,CASES
1914,2,AURORA,IL,US,CITY,7,CASES
1914,3,AURORA,IL,US,CITY,1,CASES
1914,4,AURORA,IL,US,CITY,3,CASES
1914,6,AURORA,IL,US,CITY,4,CASES
1914,7,AURORA,IL,US,CITY,1,CASES
1914,8,AURORA,IL,US,CITY,3,CASES
1914,9,AURORA,IL,US,CITY,1,CASES
1914,20,AURORA,IL,US,CITY,1,CASES
1914,22,AURORA,IL,US,CITY,1,CASES
1914,23,AURORA,IL,US,CITY,1,CASES
1914,24,AURORA,IL,US,CITY,1,CASES
1915,24,AURORA,IL,US,CITY,1,CASES
1919,49,AURORA,IL,US,CITY,1,CASES
1919,51,AURORA,IL,US,CITY,1,CASES
1920,19,AURORA,IL,US,CITY,1,CASES
1920,22,AURORA,IL,US,CITY,1,CASES
1920,23,AURORA,IL,US,CITY,1,CASES
1920,24,AURORA,IL,US,CITY,1,CASES
1921,2,AURORA,IL,US,CITY,1,CASES
1921,11,AURORA,IL,US,CITY,2,CASES
1921,13,AURORA,IL,US,CITY,1,CASES
1921,17,AURORA,IL,US,CITY,1,CASES
1921,33,AURORA,IL,US,CITY,1,CASES
1921,51,AURORA,IL,US,CITY,1,CASES
1922,1,AURORA,IL,US,CITY,2,CASES
1922,9,AURORA,IL,US,CITY,1,CASES
1922,17,AURORA,IL,US,CITY,3,CASES
1922,50,AURORA,IL,US,CITY,1,CASES
1923,10,AURORA,IL,US,CITY,1,CASES
1923,15,AURORA,IL,US,CITY,1,CASES
