year,week,loc,state,country,loc_type,number,event
1913,22,AUSTIN,TX,US,CITY,1,CASES
1913,24,AUSTIN,TX,US,CITY,3,CASES
1913,26,AUSTIN,TX,US,CITY,1,CASES
1913,28,AUSTIN,TX,US,CITY,1,CASES
1913,37,AUSTIN,TX,US,CITY,1,CASES
1914,3,AUSTIN,TX,US,CITY,3,CASES
1914,4,AUSTIN,TX,US,CITY,5,CASES
1914,5,AUSTIN,TX,US,CITY,1,CASES
1914,6,AUSTIN,TX,US,CITY,1,CASES
1914,7,AUSTIN,TX,US,CITY,3,CASES
1914,8,AUSTIN,TX,US,CITY,1,CASES
1914,9,AUSTIN,TX,US,CITY,3,CASES
1914,12,AUSTIN,TX,US,CITY,1,CASES
1914,13,AUSTIN,TX,US,CITY,2,CASES
1914,15,AUSTIN,TX,US,CITY,1,CASES
1914,16,AUSTIN,TX,US,CITY,3,CASES
1914,17,AUSTIN,TX,US,CITY,3,CASES
1914,20,AUSTIN,TX,US,CITY,1,CASES
1914,24,AUSTIN,TX,US,CITY,1,CASES
1915,44,AUSTIN,TX,US,CITY,1,CASES
1916,28,AUSTIN,TX,US,CITY,2,CASES
1916,29,AUSTIN,TX,US,CITY,3,CASES
1917,4,AUSTIN,TX,US,CITY,6,CASES
1917,5,AUSTIN,TX,US,CITY,2,CASES
1917,6,AUSTIN,TX,US,CITY,3,CASES
1917,7,AUSTIN,TX,US,CITY,13,CASES
1917,10,AUSTIN,TX,US,CITY,6,CASES
1917,11,AUSTIN,TX,US,CITY,17,CASES
1917,12,AUSTIN,TX,US,CITY,14,CASES
1917,13,AUSTIN,TX,US,CITY,11,CASES
1917,15,AUSTIN,TX,US,CITY,22,CASES
1917,16,AUSTIN,TX,US,CITY,4,CASES
1917,17,AUSTIN,TX,US,CITY,10,CASES
1917,18,AUSTIN,TX,US,CITY,5,CASES
1917,19,AUSTIN,TX,US,CITY,1,CASES
1917,20,AUSTIN,TX,US,CITY,1,CASES
1917,25,AUSTIN,TX,US,CITY,1,CASES
1917,29,AUSTIN,TX,US,CITY,1,CASES
1917,33,AUSTIN,TX,US,CITY,1,CASES
1917,36,AUSTIN,TX,US,CITY,1,CASES
1917,37,AUSTIN,TX,US,CITY,1,CASES
1917,46,AUSTIN,TX,US,CITY,1,CASES
1917,47,AUSTIN,TX,US,CITY,1,CASES
1918,6,AUSTIN,TX,US,CITY,1,CASES
1918,7,AUSTIN,TX,US,CITY,2,CASES
1918,8,AUSTIN,TX,US,CITY,2,CASES
1918,10,AUSTIN,TX,US,CITY,1,CASES
1918,49,AUSTIN,TX,US,CITY,1,CASES
1918,51,AUSTIN,TX,US,CITY,1,CASES
1918,52,AUSTIN,TX,US,CITY,1,CASES
1919,12,AUSTIN,TX,US,CITY,1,CASES
1919,14,AUSTIN,TX,US,CITY,1,CASES
1919,15,AUSTIN,TX,US,CITY,2,CASES
1919,17,AUSTIN,TX,US,CITY,4,CASES
1919,18,AUSTIN,TX,US,CITY,1,CASES
1919,19,AUSTIN,TX,US,CITY,1,CASES
1919,21,AUSTIN,TX,US,CITY,1,CASES
1919,22,AUSTIN,TX,US,CITY,1,CASES
1919,23,AUSTIN,TX,US,CITY,1,CASES
1919,27,AUSTIN,TX,US,CITY,1,CASES
1919,29,AUSTIN,TX,US,CITY,2,CASES
1919,45,AUSTIN,TX,US,CITY,1,CASES
1920,1,AUSTIN,TX,US,CITY,1,CASES
1923,16,AUSTIN,TX,US,CITY,1,CASES
