year,week,loc,state,country,loc_type,number,event
1918,21,BAKERSFIELD,CA,US,CITY,1,CASES
1921,14,BAKERSFIELD,CA,US,CITY,4,CASES
1921,16,BAKERSFIELD,CA,US,CITY,1,CASES
1921,18,BAKERSFIELD,CA,US,CITY,1,CASES
1921,19,BAKERSFIELD,CA,US,CITY,1,CASES
1921,22,BAKERSFIELD,CA,US,CITY,4,CASES
1921,28,BAKERSFIELD,CA,US,CITY,2,CASES
1921,29,BAKERSFIELD,CA,US,CITY,1,CASES
1921,30,BAKERSFIELD,CA,US,CITY,2,CASES
1921,32,BAKERSFIELD,CA,US,CITY,2,CASES
1921,36,BAKERSFIELD,CA,US,CITY,2,CASES
1921,40,BAKERSFIELD,CA,US,CITY,1,CASES
1921,43,BAKERSFIELD,CA,US,CITY,1,CASES
1921,45,BAKERSFIELD,CA,US,CITY,2,CASES
1921,46,BAKERSFIELD,CA,US,CITY,14,CASES
1921,47,BAKERSFIELD,CA,US,CITY,2,CASES
1921,49,BAKERSFIELD,CA,US,CITY,30,CASES
1921,50,BAKERSFIELD,CA,US,CITY,8,CASES
1921,51,BAKERSFIELD,CA,US,CITY,22,CASES
1921,52,BAKERSFIELD,CA,US,CITY,20,CASES
1922,2,BAKERSFIELD,CA,US,CITY,19,CASES
1922,3,BAKERSFIELD,CA,US,CITY,17,CASES
1922,6,BAKERSFIELD,CA,US,CITY,15,CASES
1922,7,BAKERSFIELD,CA,US,CITY,5,CASES
1922,8,BAKERSFIELD,CA,US,CITY,2,CASES
1922,9,BAKERSFIELD,CA,US,CITY,4,CASES
1922,10,BAKERSFIELD,CA,US,CITY,4,CASES
1922,13,BAKERSFIELD,CA,US,CITY,1,CASES
1922,16,BAKERSFIELD,CA,US,CITY,2,CASES
1922,17,BAKERSFIELD,CA,US,CITY,1,CASES
1922,18,BAKERSFIELD,CA,US,CITY,1,CASES
1922,19,BAKERSFIELD,CA,US,CITY,2,CASES
1922,21,BAKERSFIELD,CA,US,CITY,2,CASES
1922,23,BAKERSFIELD,CA,US,CITY,1,CASES
1922,24,BAKERSFIELD,CA,US,CITY,1,CASES
1922,32,BAKERSFIELD,CA,US,CITY,1,CASES
1923,5,BAKERSFIELD,CA,US,CITY,1,CASES
1923,15,BAKERSFIELD,CA,US,CITY,1,CASES
