year,week,loc,state,country,loc_type,number,event
1952,1,BALTIMORE,MD,US,CITY,12,CASES
1952,2,BALTIMORE,MD,US,CITY,8,CASES
1952,3,BALTIMORE,MD,US,CITY,6,CASES
1952,4,BALTIMORE,MD,US,CITY,4,CASES
1952,5,BALTIMORE,MD,US,CITY,7,CASES
1952,6,BALTIMORE,MD,US,CITY,1,CASES
1952,7,BALTIMORE,MD,US,CITY,9,CASES
1952,8,BALTIMORE,MD,US,CITY,3,CASES
1952,9,BALTIMORE,MD,US,CITY,2,CASES
1952,10,BALTIMORE,MD,US,CITY,1,CASES
1952,11,BALTIMORE,MD,US,CITY,2,CASES
1952,12,BALTIMORE,MD,US,CITY,3,CASES
1952,14,BALTIMORE,MD,US,CITY,4,CASES
1952,15,BALTIMORE,MD,US,CITY,2,CASES
1952,16,BALTIMORE,MD,US,CITY,4,CASES
1952,19,BALTIMORE,MD,US,CITY,6,CASES
1952,20,BALTIMORE,MD,US,CITY,1,CASES
1952,21,BALTIMORE,MD,US,CITY,3,CASES
1952,22,BALTIMORE,MD,US,CITY,2,CASES
1952,23,BALTIMORE,MD,US,CITY,3,CASES
1952,24,BALTIMORE,MD,US,CITY,3,CASES
1952,25,BALTIMORE,MD,US,CITY,3,CASES
1952,26,BALTIMORE,MD,US,CITY,1,CASES
1952,30,BALTIMORE,MD,US,CITY,3,CASES
1952,37,BALTIMORE,MD,US,CITY,2,CASES
1952,38,BALTIMORE,MD,US,CITY,2,CASES
1952,39,BALTIMORE,MD,US,CITY,1,CASES
1952,40,BALTIMORE,MD,US,CITY,1,CASES
1952,42,BALTIMORE,MD,US,CITY,1,CASES
1952,43,BALTIMORE,MD,US,CITY,3,CASES
1952,44,BALTIMORE,MD,US,CITY,2,CASES
1952,45,BALTIMORE,MD,US,CITY,3,CASES
1952,46,BALTIMORE,MD,US,CITY,2,CASES
1952,48,BALTIMORE,MD,US,CITY,3,CASES
1952,49,BALTIMORE,MD,US,CITY,3,CASES
1952,50,BALTIMORE,MD,US,CITY,5,CASES
1952,51,BALTIMORE,MD,US,CITY,4,CASES
1952,52,BALTIMORE,MD,US,CITY,11,CASES
1953,47,BALTIMORE,MD,US,CITY,3,CASES
