year,week,loc,state,country,loc_type,number,event
1924,2,BALTIMORE,MD,US,CITY,0,CASES
1924,3,BALTIMORE,MD,US,CITY,0,CASES
1924,4,BALTIMORE,MD,US,CITY,0,CASES
1924,5,BALTIMORE,MD,US,CITY,0,CASES
1924,6,BALTIMORE,MD,US,CITY,0,CASES
1924,7,BALTIMORE,MD,US,CITY,0,CASES
1924,8,BALTIMORE,MD,US,CITY,0,CASES
1924,9,BALTIMORE,MD,US,CITY,0,CASES
1924,10,BALTIMORE,MD,US,CITY,0,CASES
1924,12,BALTIMORE,MD,US,CITY,0,CASES
1924,13,BALTIMORE,MD,US,CITY,0,CASES
1924,14,BALTIMORE,MD,US,CITY,0,CASES
1924,15,BALTIMORE,MD,US,CITY,0,CASES
1924,16,BALTIMORE,MD,US,CITY,0,CASES
1924,17,BALTIMORE,MD,US,CITY,0,CASES
1924,18,BALTIMORE,MD,US,CITY,0,CASES
1924,19,BALTIMORE,MD,US,CITY,0,CASES
1924,20,BALTIMORE,MD,US,CITY,0,CASES
1924,21,BALTIMORE,MD,US,CITY,0,CASES
1924,22,BALTIMORE,MD,US,CITY,0,CASES
1924,23,BALTIMORE,MD,US,CITY,0,CASES
1924,24,BALTIMORE,MD,US,CITY,0,CASES
1924,25,BALTIMORE,MD,US,CITY,0,CASES
1924,26,BALTIMORE,MD,US,CITY,0,CASES
1924,27,BALTIMORE,MD,US,CITY,0,CASES
1924,28,BALTIMORE,MD,US,CITY,0,CASES
1924,29,BALTIMORE,MD,US,CITY,0,CASES
1924,30,BALTIMORE,MD,US,CITY,0,CASES
1924,31,BALTIMORE,MD,US,CITY,0,CASES
1924,32,BALTIMORE,MD,US,CITY,0,CASES
1924,33,BALTIMORE,MD,US,CITY,0,CASES
1924,34,BALTIMORE,MD,US,CITY,0,CASES
1924,35,BALTIMORE,MD,US,CITY,0,CASES
1924,36,BALTIMORE,MD,US,CITY,0,CASES
1924,37,BALTIMORE,MD,US,CITY,0,CASES
1924,38,BALTIMORE,MD,US,CITY,0,CASES
1924,39,BALTIMORE,MD,US,CITY,1,CASES
1924,40,BALTIMORE,MD,US,CITY,0,CASES
1924,41,BALTIMORE,MD,US,CITY,0,CASES
1924,42,BALTIMORE,MD,US,CITY,0,CASES
1924,43,BALTIMORE,MD,US,CITY,0,CASES
1924,44,BALTIMORE,MD,US,CITY,0,CASES
1924,45,BALTIMORE,MD,US,CITY,0,CASES
1924,47,BALTIMORE,MD,US,CITY,0,CASES
1924,48,BALTIMORE,MD,US,CITY,0,CASES
1924,49,BALTIMORE,MD,US,CITY,0,CASES
1924,50,BALTIMORE,MD,US,CITY,0,CASES
1924,52,BALTIMORE,MD,US,CITY,0,CASES
1924,53,BALTIMORE,MD,US,CITY,0,CASES
1925,1,BALTIMORE,MD,US,CITY,0,CASES
1925,2,BALTIMORE,MD,US,CITY,0,CASES
1925,3,BALTIMORE,MD,US,CITY,0,CASES
1925,4,BALTIMORE,MD,US,CITY,0,CASES
1925,5,BALTIMORE,MD,US,CITY,0,CASES
1925,6,BALTIMORE,MD,US,CITY,0,CASES
1925,7,BALTIMORE,MD,US,CITY,0,CASES
1925,8,BALTIMORE,MD,US,CITY,0,CASES
1925,10,BALTIMORE,MD,US,CITY,0,CASES
1925,11,BALTIMORE,MD,US,CITY,0,CASES
1925,12,BALTIMORE,MD,US,CITY,0,CASES
1925,13,BALTIMORE,MD,US,CITY,0,CASES
1925,15,BALTIMORE,MD,US,CITY,0,CASES
1925,17,BALTIMORE,MD,US,CITY,0,CASES
1925,18,BALTIMORE,MD,US,CITY,0,CASES
1925,19,BALTIMORE,MD,US,CITY,0,CASES
1925,20,BALTIMORE,MD,US,CITY,0,CASES
1925,21,BALTIMORE,MD,US,CITY,0,CASES
1925,22,BALTIMORE,MD,US,CITY,0,CASES
1925,23,BALTIMORE,MD,US,CITY,0,CASES
1925,24,BALTIMORE,MD,US,CITY,0,CASES
1925,25,BALTIMORE,MD,US,CITY,0,CASES
1925,28,BALTIMORE,MD,US,CITY,1,CASES
1925,29,BALTIMORE,MD,US,CITY,0,CASES
1925,30,BALTIMORE,MD,US,CITY,0,CASES
1925,31,BALTIMORE,MD,US,CITY,0,CASES
1925,32,BALTIMORE,MD,US,CITY,0,CASES
1925,33,BALTIMORE,MD,US,CITY,0,CASES
1925,34,BALTIMORE,MD,US,CITY,0,CASES
1925,35,BALTIMORE,MD,US,CITY,0,CASES
1925,36,BALTIMORE,MD,US,CITY,0,CASES
1925,37,BALTIMORE,MD,US,CITY,0,CASES
1925,38,BALTIMORE,MD,US,CITY,1,CASES
1925,39,BALTIMORE,MD,US,CITY,0,CASES
1925,40,BALTIMORE,MD,US,CITY,1,CASES
