year,week,loc,state,country,loc_type,number,event
1919,6,BATON ROUGE,LA,US,CITY,1,CASES
1919,10,BATON ROUGE,LA,US,CITY,2,CASES
1919,11,BATON ROUGE,LA,US,CITY,1,CASES
1919,14,BATON ROUGE,LA,US,CITY,1,CASES
1919,16,BATON ROUGE,LA,US,CITY,1,CASES
1919,20,BATON ROUGE,LA,US,CITY,2,CASES
1919,21,BATON ROUGE,LA,US,CITY,7,CASES
1919,22,BATON ROUGE,LA,US,CITY,1,CASES
1919,24,BATON ROUGE,LA,US,CITY,2,CASES
1919,27,BATON ROUGE,LA,US,CITY,2,CASES
1919,32,BATON ROUGE,LA,US,CITY,2,CASES
1919,33,BATON ROUGE,LA,US,CITY,1,CASES
1919,34,BATON ROUGE,LA,US,CITY,1,CASES
1919,36,BATON ROUGE,LA,US,CITY,1,CASES
1920,4,BATON ROUGE,LA,US,CITY,1,CASES
1920,7,BATON ROUGE,LA,US,CITY,2,CASES
1920,21,BATON ROUGE,LA,US,CITY,2,CASES
1920,38,BATON ROUGE,LA,US,CITY,2,CASES
1920,43,BATON ROUGE,LA,US,CITY,2,CASES
1920,44,BATON ROUGE,LA,US,CITY,2,CASES
1920,45,BATON ROUGE,LA,US,CITY,1,CASES
1920,49,BATON ROUGE,LA,US,CITY,1,CASES
1921,1,BATON ROUGE,LA,US,CITY,1,CASES
1921,4,BATON ROUGE,LA,US,CITY,1,CASES
1921,10,BATON ROUGE,LA,US,CITY,2,CASES
1921,11,BATON ROUGE,LA,US,CITY,2,CASES
1921,12,BATON ROUGE,LA,US,CITY,2,CASES
1921,14,BATON ROUGE,LA,US,CITY,1,CASES
1921,15,BATON ROUGE,LA,US,CITY,1,CASES
1921,20,BATON ROUGE,LA,US,CITY,1,CASES
1921,25,BATON ROUGE,LA,US,CITY,1,CASES
1921,28,BATON ROUGE,LA,US,CITY,1,CASES
1921,33,BATON ROUGE,LA,US,CITY,2,CASES
1921,38,BATON ROUGE,LA,US,CITY,1,CASES
1921,42,BATON ROUGE,LA,US,CITY,2,CASES
1921,43,BATON ROUGE,LA,US,CITY,2,CASES
1921,46,BATON ROUGE,LA,US,CITY,2,CASES
1921,47,BATON ROUGE,LA,US,CITY,2,CASES
1921,52,BATON ROUGE,LA,US,CITY,3,CASES
1922,6,BATON ROUGE,LA,US,CITY,2,CASES
1922,10,BATON ROUGE,LA,US,CITY,1,CASES
1922,11,BATON ROUGE,LA,US,CITY,1,CASES
1922,27,BATON ROUGE,LA,US,CITY,1,CASES
1922,28,BATON ROUGE,LA,US,CITY,1,CASES
1922,34,BATON ROUGE,LA,US,CITY,1,CASES
1922,44,BATON ROUGE,LA,US,CITY,1,CASES
1922,45,BATON ROUGE,LA,US,CITY,2,CASES
1923,5,BATON ROUGE,LA,US,CITY,1,CASES
1923,6,BATON ROUGE,LA,US,CITY,2,CASES
