year,week,loc,state,country,loc_type,number,event
1920,2,BATTLE CREEK,MI,US,CITY,1,CASES
1920,5,BATTLE CREEK,MI,US,CITY,111,CASES
1920,7,BATTLE CREEK,MI,US,CITY,4,CASES
1920,8,BATTLE CREEK,MI,US,CITY,6,CASES
1920,9,BATTLE CREEK,MI,US,CITY,1,CASES
1920,10,BATTLE CREEK,MI,US,CITY,1,CASES
1921,2,BATTLE CREEK,MI,US,CITY,1,CASES
1921,9,BATTLE CREEK,MI,US,CITY,1,CASES
1921,52,BATTLE CREEK,MI,US,CITY,1,CASES
1923,5,BATTLE CREEK,MI,US,CITY,39,CASES
1923,6,BATTLE CREEK,MI,US,CITY,24,CASES
1923,7,BATTLE CREEK,MI,US,CITY,5,CASES
1923,10,BATTLE CREEK,MI,US,CITY,1,CASES
1923,11,BATTLE CREEK,MI,US,CITY,1,CASES
1923,12,BATTLE CREEK,MI,US,CITY,1,CASES
1923,13,BATTLE CREEK,MI,US,CITY,1,CASES
