year,week,loc,state,country,loc_type,number,event
1918,20,BEATRICE,NE,US,CITY,2,CASES
1918,21,BEATRICE,NE,US,CITY,2,CASES
1919,15,BEATRICE,NE,US,CITY,1,CASES
1919,19,BEATRICE,NE,US,CITY,1,CASES
1919,20,BEATRICE,NE,US,CITY,2,CASES
1919,47,BEATRICE,NE,US,CITY,2,CASES
1919,48,BEATRICE,NE,US,CITY,2,CASES
1920,3,BEATRICE,NE,US,CITY,1,CASES
1920,12,BEATRICE,NE,US,CITY,2,CASES
1920,14,BEATRICE,NE,US,CITY,1,CASES
1920,15,BEATRICE,NE,US,CITY,1,CASES
1920,17,BEATRICE,NE,US,CITY,1,CASES
1920,19,BEATRICE,NE,US,CITY,1,CASES
1920,22,BEATRICE,NE,US,CITY,1,CASES
