year,week,loc,state,country,loc_type,number,event
1919,40,BEAUMONT,TX,US,CITY,1,CASES
1919,53,BEAUMONT,TX,US,CITY,1,CASES
1920,47,BEAUMONT,TX,US,CITY,1,CASES
1921,1,BEAUMONT,TX,US,CITY,1,CASES
1921,18,BEAUMONT,TX,US,CITY,3,CASES
1921,20,BEAUMONT,TX,US,CITY,5,CASES
1921,21,BEAUMONT,TX,US,CITY,3,CASES
1921,22,BEAUMONT,TX,US,CITY,6,CASES
1921,24,BEAUMONT,TX,US,CITY,1,CASES
1921,34,BEAUMONT,TX,US,CITY,2,CASES
1922,7,BEAUMONT,TX,US,CITY,1,CASES
1922,12,BEAUMONT,TX,US,CITY,1,CASES
1922,16,BEAUMONT,TX,US,CITY,1,CASES
1922,21,BEAUMONT,TX,US,CITY,4,CASES
1923,2,BEAUMONT,TX,US,CITY,1,CASES
1923,3,BEAUMONT,TX,US,CITY,1,CASES
1923,8,BEAUMONT,TX,US,CITY,2,CASES
1923,11,BEAUMONT,TX,US,CITY,1,CASES
1923,12,BEAUMONT,TX,US,CITY,1,CASES
1923,16,BEAUMONT,TX,US,CITY,1,CASES
1923,19,BEAUMONT,TX,US,CITY,1,CASES
1923,25,BEAUMONT,TX,US,CITY,2,CASES
1923,27,BEAUMONT,TX,US,CITY,1,CASES
1923,47,BEAUMONT,TX,US,CITY,1,CASES
