year,week,loc,state,country,loc_type,number,event
1908,9,BEAVER FALLS,PA,US,CITY,1,CASES
1908,18,BEAVER FALLS,PA,US,CITY,1,CASES
1908,20,BEAVER FALLS,PA,US,CITY,1,CASES
1908,26,BEAVER FALLS,PA,US,CITY,1,CASES
1908,41,BEAVER FALLS,PA,US,CITY,1,CASES
1908,49,BEAVER FALLS,PA,US,CITY,2,CASES
1909,2,BEAVER FALLS,PA,US,CITY,1,CASES
1909,3,BEAVER FALLS,PA,US,CITY,1,CASES
1909,4,BEAVER FALLS,PA,US,CITY,1,CASES
1909,8,BEAVER FALLS,PA,US,CITY,1,CASES
1909,25,BEAVER FALLS,PA,US,CITY,1,CASES
1909,31,BEAVER FALLS,PA,US,CITY,1,CASES
1909,41,BEAVER FALLS,PA,US,CITY,2,CASES
1909,50,BEAVER FALLS,PA,US,CITY,1,CASES
1910,14,BEAVER FALLS,PA,US,CITY,1,CASES
1910,17,BEAVER FALLS,PA,US,CITY,1,CASES
1910,19,BEAVER FALLS,PA,US,CITY,2,CASES
1910,26,BEAVER FALLS,PA,US,CITY,1,CASES
1910,33,BEAVER FALLS,PA,US,CITY,1,CASES
1910,34,BEAVER FALLS,PA,US,CITY,1,CASES
1910,50,BEAVER FALLS,PA,US,CITY,2,CASES
1910,52,BEAVER FALLS,PA,US,CITY,2,CASES
1911,17,BEAVER FALLS,PA,US,CITY,2,CASES
1911,22,BEAVER FALLS,PA,US,CITY,1,CASES
1911,38,BEAVER FALLS,PA,US,CITY,1,CASES
1911,40,BEAVER FALLS,PA,US,CITY,1,CASES
1911,41,BEAVER FALLS,PA,US,CITY,3,CASES
1911,43,BEAVER FALLS,PA,US,CITY,2,CASES
1911,44,BEAVER FALLS,PA,US,CITY,3,CASES
1911,45,BEAVER FALLS,PA,US,CITY,2,CASES
1911,46,BEAVER FALLS,PA,US,CITY,2,CASES
1911,47,BEAVER FALLS,PA,US,CITY,2,CASES
1911,48,BEAVER FALLS,PA,US,CITY,1,CASES
1911,49,BEAVER FALLS,PA,US,CITY,4,CASES
1911,50,BEAVER FALLS,PA,US,CITY,3,CASES
1911,51,BEAVER FALLS,PA,US,CITY,7,CASES
1911,52,BEAVER FALLS,PA,US,CITY,6,CASES
1912,1,BEAVER FALLS,PA,US,CITY,3,CASES
1912,5,BEAVER FALLS,PA,US,CITY,1,CASES
1912,7,BEAVER FALLS,PA,US,CITY,1,CASES
1912,11,BEAVER FALLS,PA,US,CITY,1,CASES
1912,13,BEAVER FALLS,PA,US,CITY,1,CASES
1912,14,BEAVER FALLS,PA,US,CITY,1,CASES
1912,15,BEAVER FALLS,PA,US,CITY,2,CASES
1912,17,BEAVER FALLS,PA,US,CITY,1,CASES
1912,25,BEAVER FALLS,PA,US,CITY,1,CASES
1912,27,BEAVER FALLS,PA,US,CITY,1,CASES
1912,28,BEAVER FALLS,PA,US,CITY,1,CASES
1912,37,BEAVER FALLS,PA,US,CITY,1,CASES
1912,38,BEAVER FALLS,PA,US,CITY,1,CASES
1912,42,BEAVER FALLS,PA,US,CITY,1,CASES
1912,43,BEAVER FALLS,PA,US,CITY,2,CASES
1912,45,BEAVER FALLS,PA,US,CITY,1,CASES
1912,46,BEAVER FALLS,PA,US,CITY,1,CASES
1912,47,BEAVER FALLS,PA,US,CITY,4,CASES
1912,49,BEAVER FALLS,PA,US,CITY,2,CASES
1912,50,BEAVER FALLS,PA,US,CITY,2,CASES
1913,1,BEAVER FALLS,PA,US,CITY,1,CASES
1913,2,BEAVER FALLS,PA,US,CITY,1,CASES
1913,7,BEAVER FALLS,PA,US,CITY,1,CASES
1913,10,BEAVER FALLS,PA,US,CITY,1,CASES
1913,14,BEAVER FALLS,PA,US,CITY,1,CASES
1913,19,BEAVER FALLS,PA,US,CITY,1,CASES
1913,20,BEAVER FALLS,PA,US,CITY,3,CASES
1913,24,BEAVER FALLS,PA,US,CITY,1,CASES
1913,25,BEAVER FALLS,PA,US,CITY,1,CASES
1913,30,BEAVER FALLS,PA,US,CITY,1,CASES
1913,31,BEAVER FALLS,PA,US,CITY,1,CASES
1913,37,BEAVER FALLS,PA,US,CITY,2,CASES
1913,39,BEAVER FALLS,PA,US,CITY,1,CASES
1913,42,BEAVER FALLS,PA,US,CITY,1,CASES
1913,44,BEAVER FALLS,PA,US,CITY,2,CASES
1913,45,BEAVER FALLS,PA,US,CITY,1,CASES
1913,46,BEAVER FALLS,PA,US,CITY,2,CASES
1913,47,BEAVER FALLS,PA,US,CITY,2,CASES
1913,48,BEAVER FALLS,PA,US,CITY,3,CASES
1913,49,BEAVER FALLS,PA,US,CITY,1,CASES
