year,week,loc,state,country,loc_type,number,event
1910,37,BEDFORD,IN,US,CITY,1,CASES
1918,46,BEDFORD,IN,US,CITY,1,CASES
1918,48,BEDFORD,IN,US,CITY,2,CASES
1919,3,BEDFORD,IN,US,CITY,3,CASES
1919,4,BEDFORD,IN,US,CITY,1,CASES
1919,5,BEDFORD,IN,US,CITY,1,CASES
1919,11,BEDFORD,IN,US,CITY,1,CASES
1919,12,BEDFORD,IN,US,CITY,1,CASES
1919,13,BEDFORD,IN,US,CITY,2,CASES
1919,23,BEDFORD,IN,US,CITY,1,CASES
1919,24,BEDFORD,IN,US,CITY,1,CASES
1919,30,BEDFORD,IN,US,CITY,1,CASES
1919,35,BEDFORD,IN,US,CITY,1,CASES
1919,37,BEDFORD,IN,US,CITY,1,CASES
1919,38,BEDFORD,IN,US,CITY,2,CASES
1919,39,BEDFORD,IN,US,CITY,2,CASES
1919,41,BEDFORD,IN,US,CITY,1,CASES
1919,43,BEDFORD,IN,US,CITY,1,CASES
1919,47,BEDFORD,IN,US,CITY,1,CASES
1919,48,BEDFORD,IN,US,CITY,1,CASES
1919,49,BEDFORD,IN,US,CITY,3,CASES
1919,51,BEDFORD,IN,US,CITY,1,CASES
1920,13,BEDFORD,IN,US,CITY,1,CASES
1920,22,BEDFORD,IN,US,CITY,1,CASES
1920,35,BEDFORD,IN,US,CITY,3,CASES
1920,36,BEDFORD,IN,US,CITY,1,CASES
1920,40,BEDFORD,IN,US,CITY,3,CASES
1920,44,BEDFORD,IN,US,CITY,1,CASES
1920,47,BEDFORD,IN,US,CITY,2,CASES
1920,48,BEDFORD,IN,US,CITY,1,CASES
