year,week,loc,state,country,loc_type,number,event
1918,18,BELLAIRE,OH,US,CITY,1,CASES
1918,19,BELLAIRE,OH,US,CITY,1,CASES
1918,24,BELLAIRE,OH,US,CITY,1,CASES
1918,25,BELLAIRE,OH,US,CITY,4,CASES
1918,26,BELLAIRE,OH,US,CITY,3,CASES
1918,27,BELLAIRE,OH,US,CITY,2,CASES
1918,28,BELLAIRE,OH,US,CITY,1,CASES
1919,5,BELLAIRE,OH,US,CITY,1,CASES
1919,7,BELLAIRE,OH,US,CITY,1,CASES
1919,8,BELLAIRE,OH,US,CITY,1,CASES
1919,11,BELLAIRE,OH,US,CITY,1,CASES
1919,16,BELLAIRE,OH,US,CITY,1,CASES
1919,19,BELLAIRE,OH,US,CITY,1,CASES
1920,24,BELLAIRE,OH,US,CITY,4,CASES
1923,26,BELLAIRE,OH,US,CITY,3,CASES
1923,30,BELLAIRE,OH,US,CITY,1,CASES
1923,35,BELLAIRE,OH,US,CITY,2,CASES
1923,39,BELLAIRE,OH,US,CITY,1,CASES
1923,43,BELLAIRE,OH,US,CITY,3,CASES
1923,44,BELLAIRE,OH,US,CITY,6,CASES
1923,48,BELLAIRE,OH,US,CITY,4,CASES
1923,51,BELLAIRE,OH,US,CITY,3,CASES
