year,week,loc,state,country,loc_type,number,event
1921,11,BELMONT,MA,US,CITY,3,CASES
1921,14,BELMONT,MA,US,CITY,3,CASES
1921,20,BELMONT,MA,US,CITY,1,CASES
1921,52,BELMONT,MA,US,CITY,1,CASES
1922,3,BELMONT,MA,US,CITY,2,CASES
1922,4,BELMONT,MA,US,CITY,2,CASES
1922,5,BELMONT,MA,US,CITY,1,CASES
1922,7,BELMONT,MA,US,CITY,1,CASES
1922,11,BELMONT,MA,US,CITY,1,CASES
1922,13,BELMONT,MA,US,CITY,2,CASES
1922,17,BELMONT,MA,US,CITY,6,CASES
1922,18,BELMONT,MA,US,CITY,4,CASES
1922,19,BELMONT,MA,US,CITY,2,CASES
1922,20,BELMONT,MA,US,CITY,3,CASES
1922,21,BELMONT,MA,US,CITY,2,CASES
1922,22,BELMONT,MA,US,CITY,3,CASES
1922,23,BELMONT,MA,US,CITY,1,CASES
1922,24,BELMONT,MA,US,CITY,1,CASES
1922,25,BELMONT,MA,US,CITY,1,CASES
1922,26,BELMONT,MA,US,CITY,1,CASES
1922,35,BELMONT,MA,US,CITY,2,CASES
1922,41,BELMONT,MA,US,CITY,1,CASES
1922,44,BELMONT,MA,US,CITY,1,CASES
1922,45,BELMONT,MA,US,CITY,1,CASES
1922,48,BELMONT,MA,US,CITY,1,CASES
1922,49,BELMONT,MA,US,CITY,1,CASES
1923,4,BELMONT,MA,US,CITY,1,CASES
1923,6,BELMONT,MA,US,CITY,2,CASES
1923,7,BELMONT,MA,US,CITY,1,CASES
1923,8,BELMONT,MA,US,CITY,1,CASES
1923,11,BELMONT,MA,US,CITY,2,CASES
1923,12,BELMONT,MA,US,CITY,2,CASES
1923,14,BELMONT,MA,US,CITY,1,CASES
1923,17,BELMONT,MA,US,CITY,1,CASES
1923,18,BELMONT,MA,US,CITY,1,CASES
1923,20,BELMONT,MA,US,CITY,1,CASES
1923,21,BELMONT,MA,US,CITY,2,CASES
1923,30,BELMONT,MA,US,CITY,1,CASES
1923,34,BELMONT,MA,US,CITY,2,CASES
1923,37,BELMONT,MA,US,CITY,1,CASES
1923,44,BELMONT,MA,US,CITY,1,CASES
1923,49,BELMONT,MA,US,CITY,1,CASES
1923,50,BELMONT,MA,US,CITY,2,CASES
1923,51,BELMONT,MA,US,CITY,3,CASES
1923,52,BELMONT,MA,US,CITY,1,CASES
