year,week,loc,state,country,loc_type,number,event
1918,43,BENTON HARBOR,MI,US,CITY,5,CASES
1920,4,BENTON HARBOR,MI,US,CITY,3,CASES
1920,5,BENTON HARBOR,MI,US,CITY,8,CASES
1920,6,BENTON HARBOR,MI,US,CITY,2,CASES
1920,15,BENTON HARBOR,MI,US,CITY,1,CASES
1920,44,BENTON HARBOR,MI,US,CITY,1,CASES
1920,47,BENTON HARBOR,MI,US,CITY,1,CASES
1920,48,BENTON HARBOR,MI,US,CITY,1,CASES
1920,51,BENTON HARBOR,MI,US,CITY,1,CASES
1921,50,BENTON HARBOR,MI,US,CITY,1,CASES
1921,51,BENTON HARBOR,MI,US,CITY,1,CASES
1922,11,BENTON HARBOR,MI,US,CITY,3,CASES
1922,12,BENTON HARBOR,MI,US,CITY,1,CASES
1922,14,BENTON HARBOR,MI,US,CITY,2,CASES
1922,17,BENTON HARBOR,MI,US,CITY,1,CASES
1922,18,BENTON HARBOR,MI,US,CITY,2,CASES
1922,19,BENTON HARBOR,MI,US,CITY,1,CASES
1922,37,BENTON HARBOR,MI,US,CITY,1,CASES
1922,39,BENTON HARBOR,MI,US,CITY,1,CASES
1923,1,BENTON HARBOR,MI,US,CITY,1,CASES
1923,5,BENTON HARBOR,MI,US,CITY,5,CASES
1923,17,BENTON HARBOR,MI,US,CITY,1,CASES
1923,24,BENTON HARBOR,MI,US,CITY,1,CASES
1923,27,BENTON HARBOR,MI,US,CITY,1,CASES
1923,43,BENTON HARBOR,MI,US,CITY,2,CASES
1923,47,BENTON HARBOR,MI,US,CITY,2,CASES
