year,week,loc,state,country,loc_type,number,event
1918,18,BEVERLY,MA,US,CITY,3,CASES
1918,19,BEVERLY,MA,US,CITY,1,CASES
1918,22,BEVERLY,MA,US,CITY,1,CASES
1918,23,BEVERLY,MA,US,CITY,1,CASES
1918,27,BEVERLY,MA,US,CITY,1,CASES
1918,38,BEVERLY,MA,US,CITY,4,CASES
1918,39,BEVERLY,MA,US,CITY,6,CASES
1918,40,BEVERLY,MA,US,CITY,1,CASES
1918,41,BEVERLY,MA,US,CITY,2,CASES
1918,42,BEVERLY,MA,US,CITY,2,CASES
1918,45,BEVERLY,MA,US,CITY,1,CASES
1918,48,BEVERLY,MA,US,CITY,1,CASES
1918,51,BEVERLY,MA,US,CITY,1,CASES
1918,52,BEVERLY,MA,US,CITY,1,CASES
1919,2,BEVERLY,MA,US,CITY,6,CASES
1919,3,BEVERLY,MA,US,CITY,2,CASES
1919,48,BEVERLY,MA,US,CITY,1,CASES
1919,49,BEVERLY,MA,US,CITY,1,CASES
1919,50,BEVERLY,MA,US,CITY,1,CASES
1920,1,BEVERLY,MA,US,CITY,1,CASES
1920,5,BEVERLY,MA,US,CITY,1,CASES
1920,6,BEVERLY,MA,US,CITY,8,CASES
1920,7,BEVERLY,MA,US,CITY,4,CASES
1920,10,BEVERLY,MA,US,CITY,1,CASES
1920,14,BEVERLY,MA,US,CITY,1,CASES
1920,15,BEVERLY,MA,US,CITY,1,CASES
1920,20,BEVERLY,MA,US,CITY,1,CASES
1920,21,BEVERLY,MA,US,CITY,1,CASES
1920,23,BEVERLY,MA,US,CITY,1,CASES
1920,38,BEVERLY,MA,US,CITY,1,CASES
1920,51,BEVERLY,MA,US,CITY,2,CASES
1921,1,BEVERLY,MA,US,CITY,1,CASES
1921,8,BEVERLY,MA,US,CITY,1,CASES
1921,10,BEVERLY,MA,US,CITY,2,CASES
1921,12,BEVERLY,MA,US,CITY,3,CASES
1921,14,BEVERLY,MA,US,CITY,1,CASES
1921,20,BEVERLY,MA,US,CITY,1,CASES
1921,23,BEVERLY,MA,US,CITY,3,CASES
1921,28,BEVERLY,MA,US,CITY,1,CASES
1921,44,BEVERLY,MA,US,CITY,3,CASES
1921,45,BEVERLY,MA,US,CITY,1,CASES
1921,46,BEVERLY,MA,US,CITY,1,CASES
1921,47,BEVERLY,MA,US,CITY,1,CASES
1921,49,BEVERLY,MA,US,CITY,3,CASES
1922,4,BEVERLY,MA,US,CITY,3,CASES
1922,5,BEVERLY,MA,US,CITY,3,CASES
1922,6,BEVERLY,MA,US,CITY,5,CASES
1922,7,BEVERLY,MA,US,CITY,2,CASES
1922,9,BEVERLY,MA,US,CITY,2,CASES
1922,13,BEVERLY,MA,US,CITY,1,CASES
1922,14,BEVERLY,MA,US,CITY,1,CASES
1922,20,BEVERLY,MA,US,CITY,1,CASES
1922,21,BEVERLY,MA,US,CITY,1,CASES
1922,22,BEVERLY,MA,US,CITY,1,CASES
1922,42,BEVERLY,MA,US,CITY,1,CASES
1922,50,BEVERLY,MA,US,CITY,2,CASES
1922,51,BEVERLY,MA,US,CITY,2,CASES
1922,52,BEVERLY,MA,US,CITY,4,CASES
1923,1,BEVERLY,MA,US,CITY,2,CASES
1923,7,BEVERLY,MA,US,CITY,5,CASES
1923,9,BEVERLY,MA,US,CITY,3,CASES
1923,11,BEVERLY,MA,US,CITY,1,CASES
1923,12,BEVERLY,MA,US,CITY,1,CASES
1923,17,BEVERLY,MA,US,CITY,1,CASES
1923,18,BEVERLY,MA,US,CITY,1,CASES
1923,19,BEVERLY,MA,US,CITY,1,CASES
1923,20,BEVERLY,MA,US,CITY,1,CASES
1923,39,BEVERLY,MA,US,CITY,1,CASES
