year,week,loc,state,country,loc_type,number,event
1918,25,BEVERLY,MA,US,CITY,1,CASES
1918,27,BEVERLY,MA,US,CITY,1,CASES
1918,28,BEVERLY,MA,US,CITY,1,CASES
1918,31,BEVERLY,MA,US,CITY,1,CASES
1918,39,BEVERLY,MA,US,CITY,1,CASES
1918,42,BEVERLY,MA,US,CITY,1,CASES
1918,51,BEVERLY,MA,US,CITY,1,CASES
1919,7,BEVERLY,MA,US,CITY,2,CASES
1919,9,BEVERLY,MA,US,CITY,3,CASES
1919,18,BEVERLY,MA,US,CITY,1,CASES
1919,19,BEVERLY,MA,US,CITY,2,CASES
1919,21,BEVERLY,MA,US,CITY,1,CASES
1919,22,BEVERLY,MA,US,CITY,1,CASES
1919,25,BEVERLY,MA,US,CITY,1,CASES
1919,31,BEVERLY,MA,US,CITY,3,CASES
1919,36,BEVERLY,MA,US,CITY,1,CASES
1919,38,BEVERLY,MA,US,CITY,1,CASES
1919,39,BEVERLY,MA,US,CITY,3,CASES
1919,40,BEVERLY,MA,US,CITY,4,CASES
1919,42,BEVERLY,MA,US,CITY,4,CASES
1919,43,BEVERLY,MA,US,CITY,5,CASES
1919,44,BEVERLY,MA,US,CITY,2,CASES
1919,46,BEVERLY,MA,US,CITY,1,CASES
1919,48,BEVERLY,MA,US,CITY,2,CASES
1919,49,BEVERLY,MA,US,CITY,1,CASES
1919,51,BEVERLY,MA,US,CITY,3,CASES
1919,52,BEVERLY,MA,US,CITY,2,CASES
1919,53,BEVERLY,MA,US,CITY,1,CASES
1920,1,BEVERLY,MA,US,CITY,3,CASES
1920,2,BEVERLY,MA,US,CITY,6,CASES
1920,3,BEVERLY,MA,US,CITY,6,CASES
1920,4,BEVERLY,MA,US,CITY,2,CASES
1920,5,BEVERLY,MA,US,CITY,6,CASES
1920,6,BEVERLY,MA,US,CITY,1,CASES
1920,8,BEVERLY,MA,US,CITY,4,CASES
1920,11,BEVERLY,MA,US,CITY,2,CASES
1920,12,BEVERLY,MA,US,CITY,1,CASES
1920,13,BEVERLY,MA,US,CITY,1,CASES
1920,14,BEVERLY,MA,US,CITY,1,CASES
1920,16,BEVERLY,MA,US,CITY,1,CASES
1920,18,BEVERLY,MA,US,CITY,2,CASES
1920,19,BEVERLY,MA,US,CITY,1,CASES
1920,20,BEVERLY,MA,US,CITY,1,CASES
1920,24,BEVERLY,MA,US,CITY,1,CASES
1920,27,BEVERLY,MA,US,CITY,2,CASES
1920,28,BEVERLY,MA,US,CITY,2,CASES
1920,31,BEVERLY,MA,US,CITY,1,CASES
1920,43,BEVERLY,MA,US,CITY,1,CASES
1920,49,BEVERLY,MA,US,CITY,1,CASES
1921,1,BEVERLY,MA,US,CITY,1,CASES
1921,2,BEVERLY,MA,US,CITY,2,CASES
1921,3,BEVERLY,MA,US,CITY,1,CASES
1921,6,BEVERLY,MA,US,CITY,3,CASES
1921,8,BEVERLY,MA,US,CITY,1,CASES
1921,11,BEVERLY,MA,US,CITY,2,CASES
1921,13,BEVERLY,MA,US,CITY,2,CASES
1921,15,BEVERLY,MA,US,CITY,2,CASES
1921,16,BEVERLY,MA,US,CITY,3,CASES
1921,22,BEVERLY,MA,US,CITY,2,CASES
1921,23,BEVERLY,MA,US,CITY,2,CASES
1921,25,BEVERLY,MA,US,CITY,1,CASES
1921,26,BEVERLY,MA,US,CITY,2,CASES
1921,39,BEVERLY,MA,US,CITY,1,CASES
1921,43,BEVERLY,MA,US,CITY,1,CASES
1921,44,BEVERLY,MA,US,CITY,2,CASES
1921,45,BEVERLY,MA,US,CITY,3,CASES
1921,47,BEVERLY,MA,US,CITY,2,CASES
1921,48,BEVERLY,MA,US,CITY,1,CASES
1921,50,BEVERLY,MA,US,CITY,1,CASES
