year,week,loc,state,country,loc_type,number,event
1906,42,BINGHAMTON,NY,US,CITY,6,CASES
1906,44,BINGHAMTON,NY,US,CITY,2,CASES
1907,12,BINGHAMTON,NY,US,CITY,3,CASES
1907,13,BINGHAMTON,NY,US,CITY,2,CASES
1907,14,BINGHAMTON,NY,US,CITY,2,CASES
1907,15,BINGHAMTON,NY,US,CITY,2,CASES
1907,26,BINGHAMTON,NY,US,CITY,1,CASES
1907,42,BINGHAMTON,NY,US,CITY,1,CASES
1908,32,BINGHAMTON,NY,US,CITY,4,CASES
1908,33,BINGHAMTON,NY,US,CITY,3,CASES
1909,21,BINGHAMTON,NY,US,CITY,1,CASES
1909,21,BINGHAMTON,NY,US,CITY,2,CASES
1909,26,BINGHAMTON,NY,US,CITY,1,CASES
1909,29,BINGHAMTON,NY,US,CITY,1,CASES
1909,30,BINGHAMTON,NY,US,CITY,1,CASES
1909,32,BINGHAMTON,NY,US,CITY,1,CASES
1909,33,BINGHAMTON,NY,US,CITY,2,CASES
1909,34,BINGHAMTON,NY,US,CITY,2,CASES
1909,35,BINGHAMTON,NY,US,CITY,5,CASES
1909,36,BINGHAMTON,NY,US,CITY,4,CASES
1909,37,BINGHAMTON,NY,US,CITY,1,CASES
1909,39,BINGHAMTON,NY,US,CITY,3,CASES
1909,41,BINGHAMTON,NY,US,CITY,2,CASES
1909,44,BINGHAMTON,NY,US,CITY,2,CASES
1909,45,BINGHAMTON,NY,US,CITY,5,CASES
1909,46,BINGHAMTON,NY,US,CITY,2,CASES
1909,47,BINGHAMTON,NY,US,CITY,2,CASES
1909,48,BINGHAMTON,NY,US,CITY,2,CASES
1909,49,BINGHAMTON,NY,US,CITY,1,CASES
1909,50,BINGHAMTON,NY,US,CITY,1,CASES
1910,2,BINGHAMTON,NY,US,CITY,2,CASES
1910,3,BINGHAMTON,NY,US,CITY,1,CASES
1910,8,BINGHAMTON,NY,US,CITY,3,CASES
1910,11,BINGHAMTON,NY,US,CITY,1,CASES
1910,12,BINGHAMTON,NY,US,CITY,4,CASES
1910,13,BINGHAMTON,NY,US,CITY,3,CASES
1910,14,BINGHAMTON,NY,US,CITY,1,CASES
1910,15,BINGHAMTON,NY,US,CITY,1,CASES
1910,12,BINGHAMTON,NY,US,CITY,2,CASES
1910,17,BINGHAMTON,NY,US,CITY,1,CASES
1910,18,BINGHAMTON,NY,US,CITY,1,CASES
1910,20,BINGHAMTON,NY,US,CITY,1,CASES
1910,22,BINGHAMTON,NY,US,CITY,1,CASES
1910,24,BINGHAMTON,NY,US,CITY,2,CASES
1910,25,BINGHAMTON,NY,US,CITY,6,CASES
1910,27,BINGHAMTON,NY,US,CITY,1,CASES
1910,28,BINGHAMTON,NY,US,CITY,2,CASES
1910,32,BINGHAMTON,NY,US,CITY,1,CASES
1911,7,BINGHAMTON,NY,US,CITY,1,CASES
1911,8,BINGHAMTON,NY,US,CITY,4,CASES
1911,13,BINGHAMTON,NY,US,CITY,5,CASES
1911,15,BINGHAMTON,NY,US,CITY,1,CASES
1911,18,BINGHAMTON,NY,US,CITY,6,CASES
1911,21,BINGHAMTON,NY,US,CITY,1,CASES
1911,38,BINGHAMTON,NY,US,CITY,1,CASES
1911,39,BINGHAMTON,NY,US,CITY,2,CASES
1911,42,BINGHAMTON,NY,US,CITY,1,CASES
1911,44,BINGHAMTON,NY,US,CITY,1,CASES
1911,48,BINGHAMTON,NY,US,CITY,1,CASES
1912,3,BINGHAMTON,NY,US,CITY,2,CASES
1912,6,BINGHAMTON,NY,US,CITY,1,CASES
1912,8,BINGHAMTON,NY,US,CITY,2,CASES
1912,11,BINGHAMTON,NY,US,CITY,3,CASES
1912,13,BINGHAMTON,NY,US,CITY,3,CASES
1912,14,BINGHAMTON,NY,US,CITY,5,CASES
1912,15,BINGHAMTON,NY,US,CITY,1,CASES
1912,16,BINGHAMTON,NY,US,CITY,1,CASES
1912,18,BINGHAMTON,NY,US,CITY,1,CASES
1912,19,BINGHAMTON,NY,US,CITY,1,CASES
1912,32,BINGHAMTON,NY,US,CITY,1,CASES
1912,33,BINGHAMTON,NY,US,CITY,2,CASES
1912,45,BINGHAMTON,NY,US,CITY,1,CASES
1912,49,BINGHAMTON,NY,US,CITY,1,CASES
1913,6,BINGHAMTON,NY,US,CITY,3,CASES
1913,10,BINGHAMTON,NY,US,CITY,1,CASES
1913,11,BINGHAMTON,NY,US,CITY,2,CASES
1913,14,BINGHAMTON,NY,US,CITY,4,CASES
1913,15,BINGHAMTON,NY,US,CITY,4,CASES
1913,16,BINGHAMTON,NY,US,CITY,2,CASES
1913,17,BINGHAMTON,NY,US,CITY,1,CASES
1913,20,BINGHAMTON,NY,US,CITY,1,CASES
1913,21,BINGHAMTON,NY,US,CITY,2,CASES
1913,24,BINGHAMTON,NY,US,CITY,1,CASES
1913,27,BINGHAMTON,NY,US,CITY,2,CASES
1913,32,BINGHAMTON,NY,US,CITY,1,CASES
1913,33,BINGHAMTON,NY,US,CITY,2,CASES
1913,37,BINGHAMTON,NY,US,CITY,1,CASES
1913,41,BINGHAMTON,NY,US,CITY,3,CASES
1913,42,BINGHAMTON,NY,US,CITY,1,CASES
1913,44,BINGHAMTON,NY,US,CITY,4,CASES
1913,45,BINGHAMTON,NY,US,CITY,2,CASES
1913,46,BINGHAMTON,NY,US,CITY,2,CASES
1913,47,BINGHAMTON,NY,US,CITY,2,CASES
1913,51,BINGHAMTON,NY,US,CITY,4,CASES
1913,52,BINGHAMTON,NY,US,CITY,2,CASES
1913,53,BINGHAMTON,NY,US,CITY,1,CASES
1914,1,BINGHAMTON,NY,US,CITY,1,CASES
1914,3,BINGHAMTON,NY,US,CITY,3,CASES
1914,4,BINGHAMTON,NY,US,CITY,3,CASES
1914,5,BINGHAMTON,NY,US,CITY,2,CASES
1914,6,BINGHAMTON,NY,US,CITY,1,CASES
1914,8,BINGHAMTON,NY,US,CITY,4,CASES
1914,9,BINGHAMTON,NY,US,CITY,2,CASES
1914,10,BINGHAMTON,NY,US,CITY,2,CASES
1914,12,BINGHAMTON,NY,US,CITY,2,CASES
1914,13,BINGHAMTON,NY,US,CITY,4,CASES
1914,14,BINGHAMTON,NY,US,CITY,1,CASES
1914,15,BINGHAMTON,NY,US,CITY,5,CASES
1914,16,BINGHAMTON,NY,US,CITY,2,CASES
1914,17,BINGHAMTON,NY,US,CITY,2,CASES
1914,19,BINGHAMTON,NY,US,CITY,1,CASES
1914,22,BINGHAMTON,NY,US,CITY,1,CASES
1914,24,BINGHAMTON,NY,US,CITY,2,CASES
1914,25,BINGHAMTON,NY,US,CITY,4,CASES
1914,28,BINGHAMTON,NY,US,CITY,2,CASES
1914,29,BINGHAMTON,NY,US,CITY,2,CASES
1914,31,BINGHAMTON,NY,US,CITY,1,CASES
1914,32,BINGHAMTON,NY,US,CITY,1,CASES
1914,39,BINGHAMTON,NY,US,CITY,3,CASES
1914,40,BINGHAMTON,NY,US,CITY,2,CASES
1914,43,BINGHAMTON,NY,US,CITY,1,CASES
1914,46,BINGHAMTON,NY,US,CITY,1,CASES
1914,47,BINGHAMTON,NY,US,CITY,3,CASES
1914,48,BINGHAMTON,NY,US,CITY,1,CASES
1914,49,BINGHAMTON,NY,US,CITY,5,CASES
1914,50,BINGHAMTON,NY,US,CITY,1,CASES
1914,51,BINGHAMTON,NY,US,CITY,1,CASES
1915,1,BINGHAMTON,NY,US,CITY,2,CASES
1915,2,BINGHAMTON,NY,US,CITY,6,CASES
1915,4,BINGHAMTON,NY,US,CITY,4,CASES
1915,5,BINGHAMTON,NY,US,CITY,2,CASES
1915,6,BINGHAMTON,NY,US,CITY,1,CASES
1915,7,BINGHAMTON,NY,US,CITY,2,CASES
1915,8,BINGHAMTON,NY,US,CITY,2,CASES
1915,9,BINGHAMTON,NY,US,CITY,1,CASES
1915,10,BINGHAMTON,NY,US,CITY,1,CASES
1915,11,BINGHAMTON,NY,US,CITY,1,CASES
1915,12,BINGHAMTON,NY,US,CITY,2,CASES
1915,13,BINGHAMTON,NY,US,CITY,3,CASES
1915,14,BINGHAMTON,NY,US,CITY,3,CASES
1915,15,BINGHAMTON,NY,US,CITY,1,CASES
1915,16,BINGHAMTON,NY,US,CITY,2,CASES
1915,26,BINGHAMTON,NY,US,CITY,1,CASES
1915,27,BINGHAMTON,NY,US,CITY,1,CASES
1915,30,BINGHAMTON,NY,US,CITY,1,CASES
1915,48,BINGHAMTON,NY,US,CITY,1,CASES
1915,51,BINGHAMTON,NY,US,CITY,1,CASES
1916,2,BINGHAMTON,NY,US,CITY,2,CASES
1916,4,BINGHAMTON,NY,US,CITY,1,CASES
1916,5,BINGHAMTON,NY,US,CITY,2,CASES
1916,7,BINGHAMTON,NY,US,CITY,1,CASES
1916,9,BINGHAMTON,NY,US,CITY,1,CASES
1916,11,BINGHAMTON,NY,US,CITY,1,CASES
1916,12,BINGHAMTON,NY,US,CITY,2,CASES
1916,13,BINGHAMTON,NY,US,CITY,1,CASES
1916,14,BINGHAMTON,NY,US,CITY,1,CASES
1916,18,BINGHAMTON,NY,US,CITY,1,CASES
1916,20,BINGHAMTON,NY,US,CITY,1,CASES
1916,23,BINGHAMTON,NY,US,CITY,1,CASES
1916,24,BINGHAMTON,NY,US,CITY,2,CASES
1916,32,BINGHAMTON,NY,US,CITY,1,CASES
1916,37,BINGHAMTON,NY,US,CITY,2,CASES
1916,39,BINGHAMTON,NY,US,CITY,1,CASES
1916,41,BINGHAMTON,NY,US,CITY,1,CASES
1916,42,BINGHAMTON,NY,US,CITY,3,CASES
1916,43,BINGHAMTON,NY,US,CITY,6,CASES
1916,44,BINGHAMTON,NY,US,CITY,3,CASES
1916,45,BINGHAMTON,NY,US,CITY,1,CASES
1916,46,BINGHAMTON,NY,US,CITY,1,CASES
1916,47,BINGHAMTON,NY,US,CITY,3,CASES
1916,48,BINGHAMTON,NY,US,CITY,3,CASES
1916,49,BINGHAMTON,NY,US,CITY,3,CASES
1916,50,BINGHAMTON,NY,US,CITY,2,CASES
1916,51,BINGHAMTON,NY,US,CITY,5,CASES
1916,52,BINGHAMTON,NY,US,CITY,4,CASES
1917,1,BINGHAMTON,NY,US,CITY,6,CASES
1917,2,BINGHAMTON,NY,US,CITY,3,CASES
1917,3,BINGHAMTON,NY,US,CITY,2,CASES
1917,4,BINGHAMTON,NY,US,CITY,3,CASES
1917,5,BINGHAMTON,NY,US,CITY,5,CASES
1917,6,BINGHAMTON,NY,US,CITY,8,CASES
1917,7,BINGHAMTON,NY,US,CITY,1,CASES
1917,8,BINGHAMTON,NY,US,CITY,5,CASES
1917,9,BINGHAMTON,NY,US,CITY,17,CASES
1917,10,BINGHAMTON,NY,US,CITY,8,CASES
1917,11,BINGHAMTON,NY,US,CITY,7,CASES
1917,12,BINGHAMTON,NY,US,CITY,4,CASES
1917,13,BINGHAMTON,NY,US,CITY,6,CASES
1917,14,BINGHAMTON,NY,US,CITY,4,CASES
1917,15,BINGHAMTON,NY,US,CITY,5,CASES
1917,16,BINGHAMTON,NY,US,CITY,6,CASES
1917,17,BINGHAMTON,NY,US,CITY,9,CASES
1917,18,BINGHAMTON,NY,US,CITY,5,CASES
1917,19,BINGHAMTON,NY,US,CITY,3,CASES
1917,20,BINGHAMTON,NY,US,CITY,11,CASES
1917,21,BINGHAMTON,NY,US,CITY,2,CASES
1917,22,BINGHAMTON,NY,US,CITY,4,CASES
1917,23,BINGHAMTON,NY,US,CITY,3,CASES
1917,24,BINGHAMTON,NY,US,CITY,3,CASES
1917,25,BINGHAMTON,NY,US,CITY,3,CASES
1917,26,BINGHAMTON,NY,US,CITY,2,CASES
1917,28,BINGHAMTON,NY,US,CITY,4,CASES
1917,31,BINGHAMTON,NY,US,CITY,2,CASES
1917,33,BINGHAMTON,NY,US,CITY,1,CASES
1917,35,BINGHAMTON,NY,US,CITY,5,CASES
1917,38,BINGHAMTON,NY,US,CITY,3,CASES
1917,39,BINGHAMTON,NY,US,CITY,1,CASES
1917,40,BINGHAMTON,NY,US,CITY,2,CASES
1917,41,BINGHAMTON,NY,US,CITY,2,CASES
1917,42,BINGHAMTON,NY,US,CITY,2,CASES
1917,43,BINGHAMTON,NY,US,CITY,1,CASES
1917,44,BINGHAMTON,NY,US,CITY,7,CASES
1917,45,BINGHAMTON,NY,US,CITY,2,CASES
1917,46,BINGHAMTON,NY,US,CITY,7,CASES
1917,47,BINGHAMTON,NY,US,CITY,4,CASES
1917,48,BINGHAMTON,NY,US,CITY,5,CASES
1917,49,BINGHAMTON,NY,US,CITY,4,CASES
1917,50,BINGHAMTON,NY,US,CITY,5,CASES
1917,51,BINGHAMTON,NY,US,CITY,1,CASES
1917,52,BINGHAMTON,NY,US,CITY,2,CASES
1918,4,BINGHAMTON,NY,US,CITY,4,CASES
1918,5,BINGHAMTON,NY,US,CITY,8,CASES
1918,6,BINGHAMTON,NY,US,CITY,7,CASES
1918,7,BINGHAMTON,NY,US,CITY,5,CASES
1918,8,BINGHAMTON,NY,US,CITY,8,CASES
1918,9,BINGHAMTON,NY,US,CITY,2,CASES
1918,10,BINGHAMTON,NY,US,CITY,2,CASES
1918,11,BINGHAMTON,NY,US,CITY,5,CASES
1918,12,BINGHAMTON,NY,US,CITY,6,CASES
1918,13,BINGHAMTON,NY,US,CITY,11,CASES
1918,14,BINGHAMTON,NY,US,CITY,10,CASES
1918,15,BINGHAMTON,NY,US,CITY,4,CASES
1918,16,BINGHAMTON,NY,US,CITY,5,CASES
1918,18,BINGHAMTON,NY,US,CITY,6,CASES
1918,21,BINGHAMTON,NY,US,CITY,1,CASES
1918,22,BINGHAMTON,NY,US,CITY,3,CASES
1918,31,BINGHAMTON,NY,US,CITY,1,CASES
1918,32,BINGHAMTON,NY,US,CITY,3,CASES
1918,33,BINGHAMTON,NY,US,CITY,2,CASES
1918,34,BINGHAMTON,NY,US,CITY,6,CASES
1918,35,BINGHAMTON,NY,US,CITY,10,CASES
1918,38,BINGHAMTON,NY,US,CITY,3,CASES
1918,39,BINGHAMTON,NY,US,CITY,2,CASES
1918,40,BINGHAMTON,NY,US,CITY,1,CASES
1918,41,BINGHAMTON,NY,US,CITY,1,CASES
1918,42,BINGHAMTON,NY,US,CITY,4,CASES
1918,43,BINGHAMTON,NY,US,CITY,2,CASES
1918,44,BINGHAMTON,NY,US,CITY,1,CASES
1918,46,BINGHAMTON,NY,US,CITY,2,CASES
1918,47,BINGHAMTON,NY,US,CITY,4,CASES
1918,48,BINGHAMTON,NY,US,CITY,4,CASES
1918,49,BINGHAMTON,NY,US,CITY,1,CASES
1918,50,BINGHAMTON,NY,US,CITY,4,CASES
1918,51,BINGHAMTON,NY,US,CITY,1,CASES
1918,52,BINGHAMTON,NY,US,CITY,2,CASES
1919,1,BINGHAMTON,NY,US,CITY,3,CASES
1919,2,BINGHAMTON,NY,US,CITY,1,CASES
1919,4,BINGHAMTON,NY,US,CITY,3,CASES
1919,6,BINGHAMTON,NY,US,CITY,2,CASES
1919,7,BINGHAMTON,NY,US,CITY,1,CASES
1919,8,BINGHAMTON,NY,US,CITY,1,CASES
1919,14,BINGHAMTON,NY,US,CITY,1,CASES
1919,15,BINGHAMTON,NY,US,CITY,5,CASES
1919,16,BINGHAMTON,NY,US,CITY,2,CASES
1919,17,BINGHAMTON,NY,US,CITY,2,CASES
1919,20,BINGHAMTON,NY,US,CITY,1,CASES
1919,22,BINGHAMTON,NY,US,CITY,1,CASES
1919,23,BINGHAMTON,NY,US,CITY,3,CASES
1919,24,BINGHAMTON,NY,US,CITY,2,CASES
1919,25,BINGHAMTON,NY,US,CITY,3,CASES
1919,27,BINGHAMTON,NY,US,CITY,1,CASES
1919,28,BINGHAMTON,NY,US,CITY,1,CASES
1919,29,BINGHAMTON,NY,US,CITY,1,CASES
1919,30,BINGHAMTON,NY,US,CITY,3,CASES
1919,41,BINGHAMTON,NY,US,CITY,2,CASES
1919,42,BINGHAMTON,NY,US,CITY,3,CASES
