year,week,loc,state,country,loc_type,number,event
1924,1,BIRMINGHAM,AL,US,CITY,0,CASES
1924,2,BIRMINGHAM,AL,US,CITY,0,CASES
1924,4,BIRMINGHAM,AL,US,CITY,0,CASES
1924,7,BIRMINGHAM,AL,US,CITY,2,CASES
1924,8,BIRMINGHAM,AL,US,CITY,1,CASES
1924,9,BIRMINGHAM,AL,US,CITY,0,CASES
1924,11,BIRMINGHAM,AL,US,CITY,0,CASES
1924,12,BIRMINGHAM,AL,US,CITY,2,CASES
1924,17,BIRMINGHAM,AL,US,CITY,1,CASES
1924,22,BIRMINGHAM,AL,US,CITY,1,CASES
1924,23,BIRMINGHAM,AL,US,CITY,3,CASES
1924,24,BIRMINGHAM,AL,US,CITY,0,CASES
1924,25,BIRMINGHAM,AL,US,CITY,2,CASES
1924,26,BIRMINGHAM,AL,US,CITY,1,CASES
1924,27,BIRMINGHAM,AL,US,CITY,1,CASES
1924,28,BIRMINGHAM,AL,US,CITY,0,CASES
1924,29,BIRMINGHAM,AL,US,CITY,1,CASES
1924,31,BIRMINGHAM,AL,US,CITY,0,CASES
1924,34,BIRMINGHAM,AL,US,CITY,1,CASES
1924,35,BIRMINGHAM,AL,US,CITY,1,CASES
1924,36,BIRMINGHAM,AL,US,CITY,1,CASES
1924,41,BIRMINGHAM,AL,US,CITY,3,CASES
1924,42,BIRMINGHAM,AL,US,CITY,1,CASES
1924,44,BIRMINGHAM,AL,US,CITY,1,CASES
1924,47,BIRMINGHAM,AL,US,CITY,2,CASES
1924,49,BIRMINGHAM,AL,US,CITY,0,CASES
1924,51,BIRMINGHAM,AL,US,CITY,1,CASES
1924,53,BIRMINGHAM,AL,US,CITY,1,CASES
1925,2,BIRMINGHAM,AL,US,CITY,0,CASES
1925,9,BIRMINGHAM,AL,US,CITY,1,CASES
1925,10,BIRMINGHAM,AL,US,CITY,2,CASES
1925,11,BIRMINGHAM,AL,US,CITY,1,CASES
1925,12,BIRMINGHAM,AL,US,CITY,0,CASES
1925,13,BIRMINGHAM,AL,US,CITY,1,CASES
1925,14,BIRMINGHAM,AL,US,CITY,0,CASES
1925,17,BIRMINGHAM,AL,US,CITY,2,CASES
1925,18,BIRMINGHAM,AL,US,CITY,0,CASES
1925,21,BIRMINGHAM,AL,US,CITY,0,CASES
1925,22,BIRMINGHAM,AL,US,CITY,0,CASES
1925,23,BIRMINGHAM,AL,US,CITY,1,CASES
1925,24,BIRMINGHAM,AL,US,CITY,0,CASES
1925,25,BIRMINGHAM,AL,US,CITY,0,CASES
1925,26,BIRMINGHAM,AL,US,CITY,0,CASES
1925,27,BIRMINGHAM,AL,US,CITY,0,CASES
1925,28,BIRMINGHAM,AL,US,CITY,1,CASES
1925,30,BIRMINGHAM,AL,US,CITY,1,CASES
1925,31,BIRMINGHAM,AL,US,CITY,0,CASES
1925,32,BIRMINGHAM,AL,US,CITY,1,CASES
1925,33,BIRMINGHAM,AL,US,CITY,0,CASES
1925,34,BIRMINGHAM,AL,US,CITY,1,CASES
1925,35,BIRMINGHAM,AL,US,CITY,0,CASES
1925,36,BIRMINGHAM,AL,US,CITY,0,CASES
1925,37,BIRMINGHAM,AL,US,CITY,0,CASES
1925,38,BIRMINGHAM,AL,US,CITY,0,CASES
1925,39,BIRMINGHAM,AL,US,CITY,2,CASES
1925,41,BIRMINGHAM,AL,US,CITY,0,CASES
1925,42,BIRMINGHAM,AL,US,CITY,2,CASES
1925,43,BIRMINGHAM,AL,US,CITY,1,CASES
1925,45,BIRMINGHAM,AL,US,CITY,0,CASES
1925,46,BIRMINGHAM,AL,US,CITY,2,CASES
1925,47,BIRMINGHAM,AL,US,CITY,0,CASES
1925,48,BIRMINGHAM,AL,US,CITY,0,CASES
1925,50,BIRMINGHAM,AL,US,CITY,1,CASES
1925,51,BIRMINGHAM,AL,US,CITY,0,CASES
1925,52,BIRMINGHAM,AL,US,CITY,1,CASES
1926,2,BIRMINGHAM,AL,US,CITY,2,CASES
1926,4,BIRMINGHAM,AL,US,CITY,1,CASES
1926,6,BIRMINGHAM,AL,US,CITY,3,CASES
1926,7,BIRMINGHAM,AL,US,CITY,0,CASES
