year,week,loc,state,country,loc_type,number,event
1915,49,BIRMINGHAM,AL,US,CITY,1,CASES
1915,50,BIRMINGHAM,AL,US,CITY,1,CASES
1916,2,BIRMINGHAM,AL,US,CITY,1,CASES
1916,5,BIRMINGHAM,AL,US,CITY,1,CASES
1916,8,BIRMINGHAM,AL,US,CITY,2,CASES
1916,9,BIRMINGHAM,AL,US,CITY,4,CASES
1916,11,BIRMINGHAM,AL,US,CITY,1,CASES
1916,12,BIRMINGHAM,AL,US,CITY,6,CASES
1916,13,BIRMINGHAM,AL,US,CITY,7,CASES
1916,14,BIRMINGHAM,AL,US,CITY,2,CASES
1916,18,BIRMINGHAM,AL,US,CITY,1,CASES
1916,22,BIRMINGHAM,AL,US,CITY,1,CASES
1916,39,BIRMINGHAM,AL,US,CITY,1,CASES
1916,45,BIRMINGHAM,AL,US,CITY,1,CASES
1916,51,BIRMINGHAM,AL,US,CITY,1,CASES
1917,4,BIRMINGHAM,AL,US,CITY,1,CASES
1917,5,BIRMINGHAM,AL,US,CITY,4,CASES
1917,6,BIRMINGHAM,AL,US,CITY,2,CASES
1917,9,BIRMINGHAM,AL,US,CITY,1,CASES
1919,49,BIRMINGHAM,AL,US,CITY,1,CASES
1920,1,BIRMINGHAM,AL,US,CITY,1,CASES
1920,3,BIRMINGHAM,AL,US,CITY,6,CASES
1920,4,BIRMINGHAM,AL,US,CITY,8,CASES
1920,11,BIRMINGHAM,AL,US,CITY,20,CASES
1921,7,BIRMINGHAM,AL,US,CITY,9,CASES
1921,32,BIRMINGHAM,AL,US,CITY,2,CASES
1921,33,BIRMINGHAM,AL,US,CITY,1,CASES
1922,6,BIRMINGHAM,AL,US,CITY,6,CASES
1922,46,BIRMINGHAM,AL,US,CITY,3,CASES
1923,2,BIRMINGHAM,AL,US,CITY,24,CASES
1923,3,BIRMINGHAM,AL,US,CITY,28,CASES
1923,4,BIRMINGHAM,AL,US,CITY,14,CASES
1923,5,BIRMINGHAM,AL,US,CITY,17,CASES
1923,6,BIRMINGHAM,AL,US,CITY,13,CASES
1923,7,BIRMINGHAM,AL,US,CITY,7,CASES
1923,8,BIRMINGHAM,AL,US,CITY,10,CASES
1923,9,BIRMINGHAM,AL,US,CITY,10,CASES
1923,10,BIRMINGHAM,AL,US,CITY,17,CASES
1923,11,BIRMINGHAM,AL,US,CITY,19,CASES
1923,12,BIRMINGHAM,AL,US,CITY,31,CASES
1923,13,BIRMINGHAM,AL,US,CITY,20,CASES
1923,14,BIRMINGHAM,AL,US,CITY,28,CASES
1923,16,BIRMINGHAM,AL,US,CITY,32,CASES
1923,18,BIRMINGHAM,AL,US,CITY,24,CASES
1923,19,BIRMINGHAM,AL,US,CITY,12,CASES
1923,20,BIRMINGHAM,AL,US,CITY,11,CASES
1923,21,BIRMINGHAM,AL,US,CITY,21,CASES
1923,22,BIRMINGHAM,AL,US,CITY,18,CASES
1923,24,BIRMINGHAM,AL,US,CITY,8,CASES
1923,25,BIRMINGHAM,AL,US,CITY,6,CASES
1923,27,BIRMINGHAM,AL,US,CITY,9,CASES
1923,28,BIRMINGHAM,AL,US,CITY,4,CASES
1923,30,BIRMINGHAM,AL,US,CITY,7,CASES
1923,31,BIRMINGHAM,AL,US,CITY,6,CASES
1923,32,BIRMINGHAM,AL,US,CITY,2,CASES
1923,33,BIRMINGHAM,AL,US,CITY,6,CASES
1923,34,BIRMINGHAM,AL,US,CITY,5,CASES
1923,35,BIRMINGHAM,AL,US,CITY,8,CASES
1923,37,BIRMINGHAM,AL,US,CITY,3,CASES
1923,40,BIRMINGHAM,AL,US,CITY,6,CASES
1923,41,BIRMINGHAM,AL,US,CITY,2,CASES
1923,42,BIRMINGHAM,AL,US,CITY,5,CASES
1923,45,BIRMINGHAM,AL,US,CITY,16,CASES
1923,46,BIRMINGHAM,AL,US,CITY,7,CASES
1923,47,BIRMINGHAM,AL,US,CITY,13,CASES
1923,48,BIRMINGHAM,AL,US,CITY,8,CASES
1923,49,BIRMINGHAM,AL,US,CITY,29,CASES
1923,50,BIRMINGHAM,AL,US,CITY,19,CASES
1923,51,BIRMINGHAM,AL,US,CITY,18,CASES
1923,52,BIRMINGHAM,AL,US,CITY,19,CASES
