year,week,loc,state,country,loc_type,number,event
1918,21,BLOOMFIELD,NJ,US,CITY,2,CASES
1918,24,BLOOMFIELD,NJ,US,CITY,1,CASES
1918,25,BLOOMFIELD,NJ,US,CITY,2,CASES
1918,26,BLOOMFIELD,NJ,US,CITY,1,CASES
1918,27,BLOOMFIELD,NJ,US,CITY,1,CASES
1918,28,BLOOMFIELD,NJ,US,CITY,1,CASES
1918,29,BLOOMFIELD,NJ,US,CITY,3,CASES
1918,31,BLOOMFIELD,NJ,US,CITY,1,CASES
1918,32,BLOOMFIELD,NJ,US,CITY,1,CASES
1918,36,BLOOMFIELD,NJ,US,CITY,1,CASES
1918,37,BLOOMFIELD,NJ,US,CITY,2,CASES
1918,40,BLOOMFIELD,NJ,US,CITY,1,CASES
1918,50,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,5,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,7,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,10,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,14,BLOOMFIELD,NJ,US,CITY,2,CASES
1919,15,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,18,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,19,BLOOMFIELD,NJ,US,CITY,3,CASES
1919,20,BLOOMFIELD,NJ,US,CITY,2,CASES
1919,22,BLOOMFIELD,NJ,US,CITY,6,CASES
1919,24,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,25,BLOOMFIELD,NJ,US,CITY,2,CASES
1919,32,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,43,BLOOMFIELD,NJ,US,CITY,5,CASES
1919,44,BLOOMFIELD,NJ,US,CITY,2,CASES
1919,45,BLOOMFIELD,NJ,US,CITY,7,CASES
1919,47,BLOOMFIELD,NJ,US,CITY,3,CASES
1919,48,BLOOMFIELD,NJ,US,CITY,4,CASES
1919,49,BLOOMFIELD,NJ,US,CITY,2,CASES
1919,50,BLOOMFIELD,NJ,US,CITY,3,CASES
1919,51,BLOOMFIELD,NJ,US,CITY,1,CASES
1919,52,BLOOMFIELD,NJ,US,CITY,4,CASES
1919,53,BLOOMFIELD,NJ,US,CITY,3,CASES
1920,1,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,2,BLOOMFIELD,NJ,US,CITY,5,CASES
1920,4,BLOOMFIELD,NJ,US,CITY,2,CASES
1920,5,BLOOMFIELD,NJ,US,CITY,3,CASES
1920,8,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,9,BLOOMFIELD,NJ,US,CITY,2,CASES
1920,10,BLOOMFIELD,NJ,US,CITY,2,CASES
1920,11,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,12,BLOOMFIELD,NJ,US,CITY,3,CASES
1920,13,BLOOMFIELD,NJ,US,CITY,5,CASES
1920,14,BLOOMFIELD,NJ,US,CITY,2,CASES
1920,15,BLOOMFIELD,NJ,US,CITY,5,CASES
1920,16,BLOOMFIELD,NJ,US,CITY,2,CASES
1920,17,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,19,BLOOMFIELD,NJ,US,CITY,5,CASES
1920,20,BLOOMFIELD,NJ,US,CITY,3,CASES
1920,22,BLOOMFIELD,NJ,US,CITY,3,CASES
1920,24,BLOOMFIELD,NJ,US,CITY,2,CASES
1920,27,BLOOMFIELD,NJ,US,CITY,2,CASES
1920,28,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,31,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,41,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,43,BLOOMFIELD,NJ,US,CITY,4,CASES
1920,44,BLOOMFIELD,NJ,US,CITY,5,CASES
1920,45,BLOOMFIELD,NJ,US,CITY,3,CASES
1920,46,BLOOMFIELD,NJ,US,CITY,4,CASES
1920,47,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,48,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,49,BLOOMFIELD,NJ,US,CITY,1,CASES
1920,50,BLOOMFIELD,NJ,US,CITY,4,CASES
1920,52,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,1,BLOOMFIELD,NJ,US,CITY,1,CASES
1921,2,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,3,BLOOMFIELD,NJ,US,CITY,6,CASES
1921,4,BLOOMFIELD,NJ,US,CITY,7,CASES
1921,5,BLOOMFIELD,NJ,US,CITY,4,CASES
1921,6,BLOOMFIELD,NJ,US,CITY,8,CASES
1921,7,BLOOMFIELD,NJ,US,CITY,3,CASES
1921,8,BLOOMFIELD,NJ,US,CITY,4,CASES
1921,9,BLOOMFIELD,NJ,US,CITY,8,CASES
1921,10,BLOOMFIELD,NJ,US,CITY,1,CASES
1921,11,BLOOMFIELD,NJ,US,CITY,3,CASES
1921,13,BLOOMFIELD,NJ,US,CITY,3,CASES
1921,14,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,15,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,16,BLOOMFIELD,NJ,US,CITY,3,CASES
1921,18,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,20,BLOOMFIELD,NJ,US,CITY,1,CASES
1921,21,BLOOMFIELD,NJ,US,CITY,3,CASES
1921,22,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,23,BLOOMFIELD,NJ,US,CITY,1,CASES
1921,24,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,25,BLOOMFIELD,NJ,US,CITY,5,CASES
1921,26,BLOOMFIELD,NJ,US,CITY,1,CASES
1921,27,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,40,BLOOMFIELD,NJ,US,CITY,1,CASES
1921,41,BLOOMFIELD,NJ,US,CITY,1,CASES
1921,42,BLOOMFIELD,NJ,US,CITY,3,CASES
1921,43,BLOOMFIELD,NJ,US,CITY,4,CASES
1921,44,BLOOMFIELD,NJ,US,CITY,2,CASES
1921,45,BLOOMFIELD,NJ,US,CITY,1,CASES
1921,46,BLOOMFIELD,NJ,US,CITY,3,CASES
1921,47,BLOOMFIELD,NJ,US,CITY,5,CASES
1921,48,BLOOMFIELD,NJ,US,CITY,5,CASES
1921,49,BLOOMFIELD,NJ,US,CITY,4,CASES
1921,50,BLOOMFIELD,NJ,US,CITY,4,CASES
