year,week,loc,state,country,loc_type,number,event
1911,4,BLOOMINGTON,IL,US,CITY,1,CASES
1911,6,BLOOMINGTON,IL,US,CITY,1,CASES
1911,46,BLOOMINGTON,IL,US,CITY,3,CASES
1918,15,BLOOMINGTON,IL,US,CITY,1,CASES
1919,20,BLOOMINGTON,IL,US,CITY,1,CASES
1919,45,BLOOMINGTON,IL,US,CITY,1,CASES
1919,47,BLOOMINGTON,IL,US,CITY,2,CASES
1919,48,BLOOMINGTON,IL,US,CITY,1,CASES
1919,49,BLOOMINGTON,IL,US,CITY,1,CASES
1919,50,BLOOMINGTON,IL,US,CITY,7,CASES
1919,51,BLOOMINGTON,IL,US,CITY,3,CASES
1919,52,BLOOMINGTON,IL,US,CITY,1,CASES
1919,53,BLOOMINGTON,IL,US,CITY,2,CASES
1920,2,BLOOMINGTON,IL,US,CITY,2,CASES
1920,3,BLOOMINGTON,IL,US,CITY,2,CASES
1920,5,BLOOMINGTON,IL,US,CITY,1,CASES
1920,6,BLOOMINGTON,IL,US,CITY,1,CASES
1920,7,BLOOMINGTON,IL,US,CITY,2,CASES
1920,8,BLOOMINGTON,IL,US,CITY,1,CASES
1920,9,BLOOMINGTON,IL,US,CITY,3,CASES
1920,11,BLOOMINGTON,IL,US,CITY,1,CASES
1920,23,BLOOMINGTON,IL,US,CITY,1,CASES
1920,26,BLOOMINGTON,IL,US,CITY,1,CASES
1920,28,BLOOMINGTON,IL,US,CITY,1,CASES
1920,32,BLOOMINGTON,IL,US,CITY,1,CASES
1920,40,BLOOMINGTON,IL,US,CITY,2,CASES
1920,44,BLOOMINGTON,IL,US,CITY,1,CASES
1920,48,BLOOMINGTON,IL,US,CITY,2,CASES
1920,49,BLOOMINGTON,IL,US,CITY,1,CASES
1920,50,BLOOMINGTON,IL,US,CITY,1,CASES
1921,2,BLOOMINGTON,IL,US,CITY,2,CASES
1921,3,BLOOMINGTON,IL,US,CITY,1,CASES
1921,4,BLOOMINGTON,IL,US,CITY,1,CASES
1921,5,BLOOMINGTON,IL,US,CITY,2,CASES
1921,35,BLOOMINGTON,IL,US,CITY,2,CASES
1921,36,BLOOMINGTON,IL,US,CITY,3,CASES
1921,37,BLOOMINGTON,IL,US,CITY,5,CASES
1921,38,BLOOMINGTON,IL,US,CITY,3,CASES
1921,39,BLOOMINGTON,IL,US,CITY,3,CASES
1921,40,BLOOMINGTON,IL,US,CITY,6,CASES
1921,41,BLOOMINGTON,IL,US,CITY,16,CASES
1921,42,BLOOMINGTON,IL,US,CITY,8,CASES
1921,43,BLOOMINGTON,IL,US,CITY,5,CASES
1921,44,BLOOMINGTON,IL,US,CITY,8,CASES
1921,47,BLOOMINGTON,IL,US,CITY,2,CASES
1921,48,BLOOMINGTON,IL,US,CITY,2,CASES
1921,49,BLOOMINGTON,IL,US,CITY,1,CASES
1921,50,BLOOMINGTON,IL,US,CITY,1,CASES
1921,51,BLOOMINGTON,IL,US,CITY,1,CASES
1922,1,BLOOMINGTON,IL,US,CITY,3,CASES
1922,2,BLOOMINGTON,IL,US,CITY,1,CASES
1922,4,BLOOMINGTON,IL,US,CITY,1,CASES
1922,6,BLOOMINGTON,IL,US,CITY,1,CASES
1922,7,BLOOMINGTON,IL,US,CITY,1,CASES
1922,9,BLOOMINGTON,IL,US,CITY,1,CASES
1922,14,BLOOMINGTON,IL,US,CITY,2,CASES
1922,15,BLOOMINGTON,IL,US,CITY,1,CASES
1922,17,BLOOMINGTON,IL,US,CITY,1,CASES
1922,20,BLOOMINGTON,IL,US,CITY,1,CASES
1922,23,BLOOMINGTON,IL,US,CITY,2,CASES
1922,24,BLOOMINGTON,IL,US,CITY,1,CASES
1922,29,BLOOMINGTON,IL,US,CITY,1,CASES
1922,30,BLOOMINGTON,IL,US,CITY,1,CASES
1922,35,BLOOMINGTON,IL,US,CITY,1,CASES
1922,36,BLOOMINGTON,IL,US,CITY,1,CASES
1922,38,BLOOMINGTON,IL,US,CITY,2,CASES
1922,41,BLOOMINGTON,IL,US,CITY,2,CASES
1922,42,BLOOMINGTON,IL,US,CITY,1,CASES
1922,43,BLOOMINGTON,IL,US,CITY,1,CASES
1922,46,BLOOMINGTON,IL,US,CITY,2,CASES
1922,48,BLOOMINGTON,IL,US,CITY,1,CASES
1922,49,BLOOMINGTON,IL,US,CITY,1,CASES
1922,51,BLOOMINGTON,IL,US,CITY,1,CASES
1922,52,BLOOMINGTON,IL,US,CITY,3,CASES
1923,8,BLOOMINGTON,IL,US,CITY,1,CASES
1923,10,BLOOMINGTON,IL,US,CITY,1,CASES
1923,11,BLOOMINGTON,IL,US,CITY,1,CASES
1923,12,BLOOMINGTON,IL,US,CITY,1,CASES
1923,13,BLOOMINGTON,IL,US,CITY,2,CASES
1923,14,BLOOMINGTON,IL,US,CITY,1,CASES
1923,24,BLOOMINGTON,IL,US,CITY,1,CASES
1923,28,BLOOMINGTON,IL,US,CITY,1,CASES
1923,35,BLOOMINGTON,IL,US,CITY,1,CASES
1923,36,BLOOMINGTON,IL,US,CITY,1,CASES
1923,43,BLOOMINGTON,IL,US,CITY,1,CASES
1923,46,BLOOMINGTON,IL,US,CITY,1,CASES
1923,47,BLOOMINGTON,IL,US,CITY,1,CASES
1923,52,BLOOMINGTON,IL,US,CITY,2,CASES
