year,week,loc,state,country,loc_type,number,event
1918,42,BLUEFIELD,WV,US,CITY,1,CASES
1919,1,BLUEFIELD,WV,US,CITY,2,CASES
1919,26,BLUEFIELD,WV,US,CITY,1,CASES
1919,29,BLUEFIELD,WV,US,CITY,2,CASES
1919,33,BLUEFIELD,WV,US,CITY,1,CASES
1919,35,BLUEFIELD,WV,US,CITY,1,CASES
1919,36,BLUEFIELD,WV,US,CITY,1,CASES
1919,38,BLUEFIELD,WV,US,CITY,1,CASES
1919,39,BLUEFIELD,WV,US,CITY,2,CASES
1919,40,BLUEFIELD,WV,US,CITY,1,CASES
1919,41,BLUEFIELD,WV,US,CITY,5,CASES
1919,42,BLUEFIELD,WV,US,CITY,6,CASES
1919,43,BLUEFIELD,WV,US,CITY,3,CASES
1919,45,BLUEFIELD,WV,US,CITY,2,CASES
1919,47,BLUEFIELD,WV,US,CITY,2,CASES
1919,48,BLUEFIELD,WV,US,CITY,2,CASES
1919,50,BLUEFIELD,WV,US,CITY,2,CASES
1919,51,BLUEFIELD,WV,US,CITY,4,CASES
1920,4,BLUEFIELD,WV,US,CITY,1,CASES
1920,5,BLUEFIELD,WV,US,CITY,1,CASES
1920,7,BLUEFIELD,WV,US,CITY,2,CASES
1920,8,BLUEFIELD,WV,US,CITY,2,CASES
1920,11,BLUEFIELD,WV,US,CITY,2,CASES
1920,16,BLUEFIELD,WV,US,CITY,2,CASES
1920,22,BLUEFIELD,WV,US,CITY,1,CASES
1920,29,BLUEFIELD,WV,US,CITY,1,CASES
1920,30,BLUEFIELD,WV,US,CITY,1,CASES
1920,31,BLUEFIELD,WV,US,CITY,1,CASES
1920,37,BLUEFIELD,WV,US,CITY,2,CASES
1920,38,BLUEFIELD,WV,US,CITY,3,CASES
1920,39,BLUEFIELD,WV,US,CITY,4,CASES
1920,40,BLUEFIELD,WV,US,CITY,4,CASES
1920,41,BLUEFIELD,WV,US,CITY,2,CASES
1920,42,BLUEFIELD,WV,US,CITY,8,CASES
1920,43,BLUEFIELD,WV,US,CITY,10,CASES
1920,44,BLUEFIELD,WV,US,CITY,5,CASES
1920,45,BLUEFIELD,WV,US,CITY,3,CASES
1920,46,BLUEFIELD,WV,US,CITY,5,CASES
1920,47,BLUEFIELD,WV,US,CITY,1,CASES
1920,48,BLUEFIELD,WV,US,CITY,2,CASES
1920,50,BLUEFIELD,WV,US,CITY,3,CASES
1920,51,BLUEFIELD,WV,US,CITY,4,CASES
1920,52,BLUEFIELD,WV,US,CITY,1,CASES
1921,1,BLUEFIELD,WV,US,CITY,2,CASES
1921,3,BLUEFIELD,WV,US,CITY,4,CASES
1921,6,BLUEFIELD,WV,US,CITY,1,CASES
1921,11,BLUEFIELD,WV,US,CITY,3,CASES
1921,12,BLUEFIELD,WV,US,CITY,1,CASES
1921,17,BLUEFIELD,WV,US,CITY,1,CASES
1921,19,BLUEFIELD,WV,US,CITY,2,CASES
1921,22,BLUEFIELD,WV,US,CITY,1,CASES
1921,30,BLUEFIELD,WV,US,CITY,2,CASES
1921,31,BLUEFIELD,WV,US,CITY,2,CASES
1921,32,BLUEFIELD,WV,US,CITY,2,CASES
1921,33,BLUEFIELD,WV,US,CITY,1,CASES
1921,34,BLUEFIELD,WV,US,CITY,1,CASES
1921,36,BLUEFIELD,WV,US,CITY,4,CASES
1921,37,BLUEFIELD,WV,US,CITY,1,CASES
1921,38,BLUEFIELD,WV,US,CITY,7,CASES
1921,39,BLUEFIELD,WV,US,CITY,5,CASES
1921,40,BLUEFIELD,WV,US,CITY,7,CASES
1921,41,BLUEFIELD,WV,US,CITY,7,CASES
1921,42,BLUEFIELD,WV,US,CITY,9,CASES
1921,43,BLUEFIELD,WV,US,CITY,7,CASES
1921,44,BLUEFIELD,WV,US,CITY,6,CASES
1921,46,BLUEFIELD,WV,US,CITY,8,CASES
1921,48,BLUEFIELD,WV,US,CITY,4,CASES
