year,week,loc,state,country,loc_type,number,event
1920,1,BOSTON,MA,US,CITY,27,CASES
1920,2,BOSTON,MA,US,CITY,23,CASES
1920,3,BOSTON,MA,US,CITY,174,CASES
1920,4,BOSTON,MA,US,CITY,1603,CASES
1920,7,BOSTON,MA,US,CITY,760,CASES
1920,8,BOSTON,MA,US,CITY,450,CASES
1920,10,BOSTON,MA,US,CITY,80,CASES
1920,11,BOSTON,MA,US,CITY,60,CASES
1920,12,BOSTON,MA,US,CITY,33,CASES
1920,13,BOSTON,MA,US,CITY,31,CASES
1920,14,BOSTON,MA,US,CITY,13,CASES
1920,15,BOSTON,MA,US,CITY,12,CASES
1920,16,BOSTON,MA,US,CITY,9,CASES
1920,17,BOSTON,MA,US,CITY,16,CASES
1920,18,BOSTON,MA,US,CITY,9,CASES
1920,19,BOSTON,MA,US,CITY,7,CASES
1920,20,BOSTON,MA,US,CITY,5,CASES
1920,21,BOSTON,MA,US,CITY,2,CASES
1920,22,BOSTON,MA,US,CITY,3,CASES
1920,23,BOSTON,MA,US,CITY,2,CASES
1920,24,BOSTON,MA,US,CITY,1,CASES
1920,25,BOSTON,MA,US,CITY,3,CASES
1920,28,BOSTON,MA,US,CITY,2,CASES
1920,29,BOSTON,MA,US,CITY,3,CASES
1920,30,BOSTON,MA,US,CITY,5,CASES
1920,34,BOSTON,MA,US,CITY,2,CASES
1920,35,BOSTON,MA,US,CITY,2,CASES
1920,36,BOSTON,MA,US,CITY,1,CASES
1920,37,BOSTON,MA,US,CITY,2,CASES
1920,38,BOSTON,MA,US,CITY,1,CASES
1920,39,BOSTON,MA,US,CITY,2,CASES
1920,40,BOSTON,MA,US,CITY,4,CASES
1920,41,BOSTON,MA,US,CITY,7,CASES
1920,42,BOSTON,MA,US,CITY,2,CASES
1920,43,BOSTON,MA,US,CITY,3,CASES
1920,44,BOSTON,MA,US,CITY,3,CASES
1920,45,BOSTON,MA,US,CITY,5,CASES
1920,46,BOSTON,MA,US,CITY,6,CASES
1920,48,BOSTON,MA,US,CITY,2,CASES
1920,49,BOSTON,MA,US,CITY,7,CASES
1920,50,BOSTON,MA,US,CITY,9,CASES
1920,51,BOSTON,MA,US,CITY,4,CASES
1920,52,BOSTON,MA,US,CITY,8,CASES
1921,1,BOSTON,MA,US,CITY,3,CASES
1921,2,BOSTON,MA,US,CITY,9,CASES
1921,3,BOSTON,MA,US,CITY,3,CASES
1921,4,BOSTON,MA,US,CITY,8,CASES
1921,5,BOSTON,MA,US,CITY,8,CASES
1921,6,BOSTON,MA,US,CITY,20,CASES
1921,7,BOSTON,MA,US,CITY,6,CASES
1921,8,BOSTON,MA,US,CITY,3,CASES
1921,10,BOSTON,MA,US,CITY,14,CASES
1921,11,BOSTON,MA,US,CITY,6,CASES
1921,12,BOSTON,MA,US,CITY,3,CASES
1921,13,BOSTON,MA,US,CITY,2,CASES
1921,14,BOSTON,MA,US,CITY,5,CASES
1921,15,BOSTON,MA,US,CITY,9,CASES
1921,16,BOSTON,MA,US,CITY,3,CASES
1921,17,BOSTON,MA,US,CITY,5,CASES
1921,18,BOSTON,MA,US,CITY,1,CASES
1921,19,BOSTON,MA,US,CITY,5,CASES
1921,20,BOSTON,MA,US,CITY,2,CASES
1921,22,BOSTON,MA,US,CITY,1,CASES
1921,25,BOSTON,MA,US,CITY,1,CASES
1921,26,BOSTON,MA,US,CITY,2,CASES
1921,32,BOSTON,MA,US,CITY,1,CASES
1921,35,BOSTON,MA,US,CITY,1,CASES
1921,38,BOSTON,MA,US,CITY,1,CASES
1921,39,BOSTON,MA,US,CITY,1,CASES
1921,41,BOSTON,MA,US,CITY,3,CASES
1921,42,BOSTON,MA,US,CITY,2,CASES
1921,44,BOSTON,MA,US,CITY,1,CASES
1921,46,BOSTON,MA,US,CITY,2,CASES
1921,47,BOSTON,MA,US,CITY,2,CASES
1921,48,BOSTON,MA,US,CITY,4,CASES
1921,49,BOSTON,MA,US,CITY,6,CASES
1921,50,BOSTON,MA,US,CITY,1,CASES
1921,51,BOSTON,MA,US,CITY,1,CASES
1921,52,BOSTON,MA,US,CITY,1,CASES
1922,1,BOSTON,MA,US,CITY,3,CASES
1921,52,BOSTON,MA,US,CITY,9,CASES
1922,2,BOSTON,MA,US,CITY,2,CASES
1921,52,BOSTON,MA,US,CITY,3,CASES
1922,3,BOSTON,MA,US,CITY,2,CASES
1922,4,BOSTON,MA,US,CITY,35,CASES
1922,5,BOSTON,MA,US,CITY,148,CASES
1922,6,BOSTON,MA,US,CITY,367,CASES
1922,7,BOSTON,MA,US,CITY,462,CASES
1922,8,BOSTON,MA,US,CITY,353,CASES
1922,9,BOSTON,MA,US,CITY,207,CASES
1922,10,BOSTON,MA,US,CITY,119,CASES
1922,11,BOSTON,MA,US,CITY,33,CASES
1922,12,BOSTON,MA,US,CITY,31,CASES
1922,13,BOSTON,MA,US,CITY,26,CASES
1922,14,BOSTON,MA,US,CITY,4,CASES
1922,15,BOSTON,MA,US,CITY,7,CASES
1922,16,BOSTON,MA,US,CITY,2,CASES
1922,17,BOSTON,MA,US,CITY,6,CASES
1922,18,BOSTON,MA,US,CITY,2,CASES
1922,19,BOSTON,MA,US,CITY,1,CASES
1922,20,BOSTON,MA,US,CITY,2,CASES
1922,21,BOSTON,MA,US,CITY,3,CASES
1922,22,BOSTON,MA,US,CITY,1,CASES
1922,25,BOSTON,MA,US,CITY,2,CASES
1922,29,BOSTON,MA,US,CITY,1,CASES
1922,38,BOSTON,MA,US,CITY,1,CASES
1922,39,BOSTON,MA,US,CITY,2,CASES
1922,40,BOSTON,MA,US,CITY,1,CASES
1922,41,BOSTON,MA,US,CITY,1,CASES
1922,42,BOSTON,MA,US,CITY,1,CASES
1922,43,BOSTON,MA,US,CITY,1,CASES
1922,44,BOSTON,MA,US,CITY,5,CASES
1922,45,BOSTON,MA,US,CITY,4,CASES
1922,46,BOSTON,MA,US,CITY,2,CASES
1922,47,BOSTON,MA,US,CITY,2,CASES
1922,48,BOSTON,MA,US,CITY,2,CASES
1922,49,BOSTON,MA,US,CITY,1,CASES
1922,50,BOSTON,MA,US,CITY,2,CASES
1922,51,BOSTON,MA,US,CITY,8,CASES
1922,52,BOSTON,MA,US,CITY,35,CASES
1923,1,BOSTON,MA,US,CITY,17,CASES
1923,2,BOSTON,MA,US,CITY,35,CASES
1923,3,BOSTON,MA,US,CITY,41,CASES
1923,4,BOSTON,MA,US,CITY,39,CASES
