year,week,loc,state,country,loc_type,number,event
1912,12,BOSTON,MA,US,CITY,1,CASES
1912,20,BOSTON,MA,US,CITY,1,CASES
1912,25,BOSTON,MA,US,CITY,1,CASES
1912,30,BOSTON,MA,US,CITY,1,CASES
1912,32,BOSTON,MA,US,CITY,2,CASES
1912,34,BOSTON,MA,US,CITY,1,CASES
1912,39,BOSTON,MA,US,CITY,1,CASES
1912,40,BOSTON,MA,US,CITY,2,CASES
1912,45,BOSTON,MA,US,CITY,1,CASES
1912,47,BOSTON,MA,US,CITY,1,CASES
1913,19,BOSTON,MA,US,CITY,1,CASES
1913,21,BOSTON,MA,US,CITY,1,CASES
1913,32,BOSTON,MA,US,CITY,4,CASES
1913,33,BOSTON,MA,US,CITY,3,CASES
1913,34,BOSTON,MA,US,CITY,3,CASES
1913,35,BOSTON,MA,US,CITY,2,CASES
1913,36,BOSTON,MA,US,CITY,3,CASES
1913,37,BOSTON,MA,US,CITY,1,CASES
1913,38,BOSTON,MA,US,CITY,2,CASES
1913,40,BOSTON,MA,US,CITY,4,CASES
1913,41,BOSTON,MA,US,CITY,2,CASES
1913,42,BOSTON,MA,US,CITY,1,CASES
1913,44,BOSTON,MA,US,CITY,4,CASES
1913,46,BOSTON,MA,US,CITY,2,CASES
1913,47,BOSTON,MA,US,CITY,1,CASES
1913,48,BOSTON,MA,US,CITY,1,CASES
1913,49,BOSTON,MA,US,CITY,4,CASES
1913,53,BOSTON,MA,US,CITY,1,CASES
1914,1,BOSTON,MA,US,CITY,2,CASES
1914,25,BOSTON,MA,US,CITY,2,CASES
1914,29,BOSTON,MA,US,CITY,1,CASES
1914,30,BOSTON,MA,US,CITY,2,CASES
1914,32,BOSTON,MA,US,CITY,1,CASES
1914,36,BOSTON,MA,US,CITY,1,CASES
1914,38,BOSTON,MA,US,CITY,1,CASES
1914,39,BOSTON,MA,US,CITY,1,CASES
1914,40,BOSTON,MA,US,CITY,2,CASES
1914,41,BOSTON,MA,US,CITY,1,CASES
1915,32,BOSTON,MA,US,CITY,1,CASES
1915,35,BOSTON,MA,US,CITY,2,CASES
1915,36,BOSTON,MA,US,CITY,1,CASES
1915,37,BOSTON,MA,US,CITY,2,CASES
1915,38,BOSTON,MA,US,CITY,1,CASES
1915,39,BOSTON,MA,US,CITY,1,CASES
1915,40,BOSTON,MA,US,CITY,2,CASES
1915,45,BOSTON,MA,US,CITY,2,CASES
1915,48,BOSTON,MA,US,CITY,1,CASES
1916,12,BOSTON,MA,US,CITY,1,CASES
1916,27,BOSTON,MA,US,CITY,1,CASES
1916,29,BOSTON,MA,US,CITY,3,CASES
1916,30,BOSTON,MA,US,CITY,4,CASES
1916,31,BOSTON,MA,US,CITY,4,CASES
1916,32,BOSTON,MA,US,CITY,8,CASES
1916,33,BOSTON,MA,US,CITY,4,CASES
1916,35,BOSTON,MA,US,CITY,13,CASES
1916,36,BOSTON,MA,US,CITY,22,CASES
1916,37,BOSTON,MA,US,CITY,38,CASES
1916,38,BOSTON,MA,US,CITY,55,CASES
1916,39,BOSTON,MA,US,CITY,52,CASES
