year,week,loc,state,country,loc_type,number,event
1908,14,BRADFORD,PA,US,CITY,1,CASES
1908,19,BRADFORD,PA,US,CITY,3,CASES
1908,20,BRADFORD,PA,US,CITY,1,CASES
1908,26,BRADFORD,PA,US,CITY,1,CASES
1908,27,BRADFORD,PA,US,CITY,1,CASES
1908,39,BRADFORD,PA,US,CITY,2,CASES
1908,41,BRADFORD,PA,US,CITY,1,CASES
1908,42,BRADFORD,PA,US,CITY,7,CASES
1908,43,BRADFORD,PA,US,CITY,2,CASES
1908,45,BRADFORD,PA,US,CITY,2,CASES
1908,46,BRADFORD,PA,US,CITY,3,CASES
1908,47,BRADFORD,PA,US,CITY,3,CASES
1908,48,BRADFORD,PA,US,CITY,2,CASES
1908,49,BRADFORD,PA,US,CITY,2,CASES
1909,1,BRADFORD,PA,US,CITY,1,CASES
1909,2,BRADFORD,PA,US,CITY,2,CASES
1909,3,BRADFORD,PA,US,CITY,2,CASES
1909,4,BRADFORD,PA,US,CITY,3,CASES
1909,6,BRADFORD,PA,US,CITY,5,CASES
1909,7,BRADFORD,PA,US,CITY,3,CASES
1909,8,BRADFORD,PA,US,CITY,2,CASES
1909,10,BRADFORD,PA,US,CITY,2,CASES
1909,11,BRADFORD,PA,US,CITY,2,CASES
1909,12,BRADFORD,PA,US,CITY,2,CASES
1909,14,BRADFORD,PA,US,CITY,7,CASES
1909,15,BRADFORD,PA,US,CITY,3,CASES
1909,16,BRADFORD,PA,US,CITY,4,CASES
1909,18,BRADFORD,PA,US,CITY,1,CASES
1909,19,BRADFORD,PA,US,CITY,1,CASES
1909,20,BRADFORD,PA,US,CITY,2,CASES
1909,22,BRADFORD,PA,US,CITY,3,CASES
1909,23,BRADFORD,PA,US,CITY,2,CASES
1909,25,BRADFORD,PA,US,CITY,1,CASES
1909,27,BRADFORD,PA,US,CITY,3,CASES
1909,27,BRADFORD,PA,US,CITY,3,CASES
1909,28,BRADFORD,PA,US,CITY,1,CASES
1909,34,BRADFORD,PA,US,CITY,1,CASES
1909,39,BRADFORD,PA,US,CITY,1,CASES
1909,40,BRADFORD,PA,US,CITY,1,CASES
1909,41,BRADFORD,PA,US,CITY,1,CASES
1910,3,BRADFORD,PA,US,CITY,1,CASES
1918,19,BRADFORD,PA,US,CITY,1,CASES
