year,week,loc,state,country,loc_type,number,event
1918,37,BRAZIL,IN,US,CITY,1,CASES
1918,38,BRAZIL,IN,US,CITY,1,CASES
1919,9,BRAZIL,IN,US,CITY,1,CASES
1919,16,BRAZIL,IN,US,CITY,1,CASES
1920,6,BRAZIL,IN,US,CITY,2,CASES
1920,7,BRAZIL,IN,US,CITY,1,CASES
1920,12,BRAZIL,IN,US,CITY,1,CASES
1920,27,BRAZIL,IN,US,CITY,1,CASES
1920,29,BRAZIL,IN,US,CITY,2,CASES
1920,30,BRAZIL,IN,US,CITY,2,CASES
1920,35,BRAZIL,IN,US,CITY,1,CASES
1920,38,BRAZIL,IN,US,CITY,1,CASES
1920,41,BRAZIL,IN,US,CITY,1,CASES
1920,45,BRAZIL,IN,US,CITY,1,CASES
1920,46,BRAZIL,IN,US,CITY,1,CASES
