year,week,loc,state,country,loc_type,number,event
1912,11,BRIDGEPORT,CT,US,CITY,1,CASES
1912,13,BRIDGEPORT,CT,US,CITY,1,CASES
1912,40,BRIDGEPORT,CT,US,CITY,1,CASES
1912,41,BRIDGEPORT,CT,US,CITY,1,CASES
1912,51,BRIDGEPORT,CT,US,CITY,1,CASES
1913,2,BRIDGEPORT,CT,US,CITY,1,CASES
1913,49,BRIDGEPORT,CT,US,CITY,1,CASES
1913,53,BRIDGEPORT,CT,US,CITY,1,CASES
1914,1,BRIDGEPORT,CT,US,CITY,1,CASES
1914,25,BRIDGEPORT,CT,US,CITY,1,CASES
1915,20,BRIDGEPORT,CT,US,CITY,1,CASES
1915,24,BRIDGEPORT,CT,US,CITY,1,CASES
1915,26,BRIDGEPORT,CT,US,CITY,1,CASES
1916,3,BRIDGEPORT,CT,US,CITY,1,CASES
1916,11,BRIDGEPORT,CT,US,CITY,1,CASES
1916,12,BRIDGEPORT,CT,US,CITY,2,CASES
1916,13,BRIDGEPORT,CT,US,CITY,2,CASES
1916,14,BRIDGEPORT,CT,US,CITY,4,CASES
1916,15,BRIDGEPORT,CT,US,CITY,4,CASES
1916,16,BRIDGEPORT,CT,US,CITY,4,CASES
1916,17,BRIDGEPORT,CT,US,CITY,2,CASES
1916,20,BRIDGEPORT,CT,US,CITY,1,CASES
1916,21,BRIDGEPORT,CT,US,CITY,2,CASES
1916,22,BRIDGEPORT,CT,US,CITY,1,CASES
1916,24,BRIDGEPORT,CT,US,CITY,1,CASES
1916,29,BRIDGEPORT,CT,US,CITY,1,CASES
1916,34,BRIDGEPORT,CT,US,CITY,1,CASES
1916,35,BRIDGEPORT,CT,US,CITY,3,CASES
1916,36,BRIDGEPORT,CT,US,CITY,1,CASES
1916,37,BRIDGEPORT,CT,US,CITY,1,CASES
1916,42,BRIDGEPORT,CT,US,CITY,1,CASES
1917,9,BRIDGEPORT,CT,US,CITY,1,CASES
1917,11,BRIDGEPORT,CT,US,CITY,1,CASES
1917,12,BRIDGEPORT,CT,US,CITY,2,CASES
1917,15,BRIDGEPORT,CT,US,CITY,2,CASES
1917,16,BRIDGEPORT,CT,US,CITY,2,CASES
1917,17,BRIDGEPORT,CT,US,CITY,1,CASES
1917,18,BRIDGEPORT,CT,US,CITY,1,CASES
1917,25,BRIDGEPORT,CT,US,CITY,1,CASES
1917,27,BRIDGEPORT,CT,US,CITY,3,CASES
1917,30,BRIDGEPORT,CT,US,CITY,1,CASES
1917,37,BRIDGEPORT,CT,US,CITY,1,CASES
1917,44,BRIDGEPORT,CT,US,CITY,1,CASES
1918,1,BRIDGEPORT,CT,US,CITY,1,CASES
1918,4,BRIDGEPORT,CT,US,CITY,1,CASES
1918,6,BRIDGEPORT,CT,US,CITY,1,CASES
1918,9,BRIDGEPORT,CT,US,CITY,1,CASES
1918,15,BRIDGEPORT,CT,US,CITY,1,CASES
1918,20,BRIDGEPORT,CT,US,CITY,1,CASES
1918,21,BRIDGEPORT,CT,US,CITY,2,CASES
1918,22,BRIDGEPORT,CT,US,CITY,1,CASES
1918,23,BRIDGEPORT,CT,US,CITY,1,CASES
1918,26,BRIDGEPORT,CT,US,CITY,1,CASES
1918,27,BRIDGEPORT,CT,US,CITY,1,CASES
1918,29,BRIDGEPORT,CT,US,CITY,1,CASES
1918,30,BRIDGEPORT,CT,US,CITY,1,CASES
1918,31,BRIDGEPORT,CT,US,CITY,1,CASES
1918,34,BRIDGEPORT,CT,US,CITY,2,CASES
1918,44,BRIDGEPORT,CT,US,CITY,1,CASES
1919,5,BRIDGEPORT,CT,US,CITY,1,CASES
1920,24,BRIDGEPORT,CT,US,CITY,1,CASES
1920,27,BRIDGEPORT,CT,US,CITY,1,CASES
1920,28,BRIDGEPORT,CT,US,CITY,1,CASES
1920,32,BRIDGEPORT,CT,US,CITY,1,CASES
1920,33,BRIDGEPORT,CT,US,CITY,1,CASES
1920,34,BRIDGEPORT,CT,US,CITY,1,CASES
1920,44,BRIDGEPORT,CT,US,CITY,1,CASES
1920,47,BRIDGEPORT,CT,US,CITY,1,CASES
1920,50,BRIDGEPORT,CT,US,CITY,1,CASES
1921,3,BRIDGEPORT,CT,US,CITY,1,CASES
1921,9,BRIDGEPORT,CT,US,CITY,1,CASES
1921,13,BRIDGEPORT,CT,US,CITY,1,CASES
1921,14,BRIDGEPORT,CT,US,CITY,1,CASES
1921,15,BRIDGEPORT,CT,US,CITY,3,CASES
1921,18,BRIDGEPORT,CT,US,CITY,1,CASES
1921,22,BRIDGEPORT,CT,US,CITY,1,CASES
1921,23,BRIDGEPORT,CT,US,CITY,1,CASES
1921,40,BRIDGEPORT,CT,US,CITY,2,CASES
1921,41,BRIDGEPORT,CT,US,CITY,1,CASES
1921,52,BRIDGEPORT,CT,US,CITY,1,CASES
1922,8,BRIDGEPORT,CT,US,CITY,3,CASES
1922,9,BRIDGEPORT,CT,US,CITY,1,CASES
1922,10,BRIDGEPORT,CT,US,CITY,1,CASES
1922,16,BRIDGEPORT,CT,US,CITY,1,CASES
1922,18,BRIDGEPORT,CT,US,CITY,1,CASES
1922,23,BRIDGEPORT,CT,US,CITY,1,CASES
1922,29,BRIDGEPORT,CT,US,CITY,1,CASES
1922,46,BRIDGEPORT,CT,US,CITY,1,CASES
1923,2,BRIDGEPORT,CT,US,CITY,1,CASES
1923,7,BRIDGEPORT,CT,US,CITY,1,CASES
1923,12,BRIDGEPORT,CT,US,CITY,1,CASES
1923,16,BRIDGEPORT,CT,US,CITY,1,CASES
1923,19,BRIDGEPORT,CT,US,CITY,1,CASES
1923,23,BRIDGEPORT,CT,US,CITY,1,CASES
1923,48,BRIDGEPORT,CT,US,CITY,1,CASES
1924,1,BRIDGEPORT,CT,US,CITY,0,CASES
1924,9,BRIDGEPORT,CT,US,CITY,0,CASES
1924,10,BRIDGEPORT,CT,US,CITY,0,CASES
1924,11,BRIDGEPORT,CT,US,CITY,0,CASES
1924,12,BRIDGEPORT,CT,US,CITY,0,CASES
1924,15,BRIDGEPORT,CT,US,CITY,0,CASES
1924,23,BRIDGEPORT,CT,US,CITY,0,CASES
1924,26,BRIDGEPORT,CT,US,CITY,0,CASES
1924,29,BRIDGEPORT,CT,US,CITY,1,CASES
1924,30,BRIDGEPORT,CT,US,CITY,0,CASES
1924,33,BRIDGEPORT,CT,US,CITY,0,CASES
1924,34,BRIDGEPORT,CT,US,CITY,0,CASES
1924,35,BRIDGEPORT,CT,US,CITY,0,CASES
1924,36,BRIDGEPORT,CT,US,CITY,0,CASES
1924,41,BRIDGEPORT,CT,US,CITY,0,CASES
1925,1,BRIDGEPORT,CT,US,CITY,1,CASES
1925,5,BRIDGEPORT,CT,US,CITY,0,CASES
1925,11,BRIDGEPORT,CT,US,CITY,1,CASES
1925,12,BRIDGEPORT,CT,US,CITY,0,CASES
1925,13,BRIDGEPORT,CT,US,CITY,1,CASES
1925,22,BRIDGEPORT,CT,US,CITY,0,CASES
1925,23,BRIDGEPORT,CT,US,CITY,0,CASES
1925,33,BRIDGEPORT,CT,US,CITY,0,CASES
1925,34,BRIDGEPORT,CT,US,CITY,0,CASES
1925,36,BRIDGEPORT,CT,US,CITY,0,CASES
1925,46,BRIDGEPORT,CT,US,CITY,0,CASES
1926,3,BRIDGEPORT,CT,US,CITY,0,CASES
1926,19,BRIDGEPORT,CT,US,CITY,0,CASES
1926,22,BRIDGEPORT,CT,US,CITY,0,CASES
1926,25,BRIDGEPORT,CT,US,CITY,0,CASES
1926,34,BRIDGEPORT,CT,US,CITY,0,CASES
1926,51,BRIDGEPORT,CT,US,CITY,0,CASES
1927,2,BRIDGEPORT,CT,US,CITY,1,CASES
1927,5,BRIDGEPORT,CT,US,CITY,1,CASES
1927,6,BRIDGEPORT,CT,US,CITY,0,CASES
1927,8,BRIDGEPORT,CT,US,CITY,1,CASES
1927,19,BRIDGEPORT,CT,US,CITY,1,CASES
1927,22,BRIDGEPORT,CT,US,CITY,0,CASES
1927,23,BRIDGEPORT,CT,US,CITY,0,CASES
1921,29,BRIDGEPORT,CT,US,CITY,1,CASES
1924,21,BRIDGEPORT,CT,US,CITY,0,CASES
