year,week,loc,state,country,loc_type,number,event
1921,3,BRISTOL,PA,US,CITY,1,CASES
1921,13,BRISTOL,PA,US,CITY,1,CASES
1921,31,BRISTOL,PA,US,CITY,1,CASES
1921,47,BRISTOL,PA,US,CITY,1,CASES
1922,16,BRISTOL,PA,US,CITY,8,CASES
1922,18,BRISTOL,PA,US,CITY,11,CASES
1922,19,BRISTOL,PA,US,CITY,27,CASES
1922,21,BRISTOL,PA,US,CITY,26,CASES
1922,22,BRISTOL,PA,US,CITY,30,CASES
1922,23,BRISTOL,PA,US,CITY,14,CASES
1922,24,BRISTOL,PA,US,CITY,8,CASES
1922,25,BRISTOL,PA,US,CITY,8,CASES
1922,26,BRISTOL,PA,US,CITY,1,CASES
1922,27,BRISTOL,PA,US,CITY,5,CASES
1922,28,BRISTOL,PA,US,CITY,1,CASES
1922,31,BRISTOL,PA,US,CITY,1,CASES
1922,34,BRISTOL,PA,US,CITY,1,CASES
1922,52,BRISTOL,PA,US,CITY,13,CASES
1923,1,BRISTOL,PA,US,CITY,12,CASES
1923,2,BRISTOL,PA,US,CITY,7,CASES
1923,3,BRISTOL,PA,US,CITY,1,CASES
1923,4,BRISTOL,PA,US,CITY,1,CASES
1923,6,BRISTOL,PA,US,CITY,2,CASES
1923,10,BRISTOL,PA,US,CITY,1,CASES
1923,11,BRISTOL,PA,US,CITY,1,CASES
1923,17,BRISTOL,PA,US,CITY,4,CASES
1923,19,BRISTOL,PA,US,CITY,1,CASES
1923,20,BRISTOL,PA,US,CITY,1,CASES
1923,21,BRISTOL,PA,US,CITY,1,CASES
1923,22,BRISTOL,PA,US,CITY,1,CASES
1923,26,BRISTOL,PA,US,CITY,1,CASES
1923,27,BRISTOL,PA,US,CITY,1,CASES
