year,week,loc,state,country,loc_type,number,event
1924,5,BRUNSWICK,GA,US,CITY,0,CASES
1924,19,BRUNSWICK,GA,US,CITY,0,CASES
1924,41,BRUNSWICK,GA,US,CITY,0,CASES
1925,26,BRUNSWICK,GA,US,CITY,1,CASES
1926,9,BRUNSWICK,GA,US,CITY,1,CASES
1926,15,BRUNSWICK,GA,US,CITY,0,CASES
1926,21,BRUNSWICK,GA,US,CITY,0,CASES
1926,33,BRUNSWICK,GA,US,CITY,0,CASES
1926,44,BRUNSWICK,GA,US,CITY,1,CASES
1926,48,BRUNSWICK,GA,US,CITY,0,CASES
1927,21,BRUNSWICK,GA,US,CITY,0,CASES
1927,35,BRUNSWICK,GA,US,CITY,0,CASES
1927,40,BRUNSWICK,GA,US,CITY,0,CASES
1927,42,BRUNSWICK,GA,US,CITY,0,CASES
1927,43,BRUNSWICK,GA,US,CITY,0,CASES
1928,4,BRUNSWICK,GA,US,CITY,0,CASES
1928,15,BRUNSWICK,GA,US,CITY,1,CASES
1928,22,BRUNSWICK,GA,US,CITY,0,CASES
1928,25,BRUNSWICK,GA,US,CITY,0,CASES
1928,28,BRUNSWICK,GA,US,CITY,0,CASES
1928,29,BRUNSWICK,GA,US,CITY,0,CASES
1928,30,BRUNSWICK,GA,US,CITY,2,CASES
1928,31,BRUNSWICK,GA,US,CITY,0,CASES
1928,35,BRUNSWICK,GA,US,CITY,0,CASES
1929,6,BRUNSWICK,GA,US,CITY,0,CASES
1929,14,BRUNSWICK,GA,US,CITY,0,CASES
1929,17,BRUNSWICK,GA,US,CITY,0,CASES
1929,30,BRUNSWICK,GA,US,CITY,0,CASES
1929,31,BRUNSWICK,GA,US,CITY,0,CASES
1929,32,BRUNSWICK,GA,US,CITY,1,CASES
1929,34,BRUNSWICK,GA,US,CITY,0,CASES
1929,49,BRUNSWICK,GA,US,CITY,0,CASES
1930,4,BRUNSWICK,GA,US,CITY,0,CASES
1930,32,BRUNSWICK,GA,US,CITY,0,CASES
1930,34,BRUNSWICK,GA,US,CITY,1,CASES
1930,38,BRUNSWICK,GA,US,CITY,1,CASES
1930,41,BRUNSWICK,GA,US,CITY,0,CASES
1931,4,BRUNSWICK,GA,US,CITY,0,CASES
1931,5,BRUNSWICK,GA,US,CITY,0,CASES
1931,6,BRUNSWICK,GA,US,CITY,0,CASES
1931,15,BRUNSWICK,GA,US,CITY,0,CASES
1931,21,BRUNSWICK,GA,US,CITY,1,CASES
1931,22,BRUNSWICK,GA,US,CITY,0,CASES
1931,26,BRUNSWICK,GA,US,CITY,0,CASES
1931,37,BRUNSWICK,GA,US,CITY,1,CASES
1931,38,BRUNSWICK,GA,US,CITY,0,CASES
1931,40,BRUNSWICK,GA,US,CITY,0,CASES
1932,5,BRUNSWICK,GA,US,CITY,0,CASES
1932,12,BRUNSWICK,GA,US,CITY,1,CASES
1932,26,BRUNSWICK,GA,US,CITY,1,CASES
1932,29,BRUNSWICK,GA,US,CITY,1,CASES
1932,30,BRUNSWICK,GA,US,CITY,0,CASES
1932,32,BRUNSWICK,GA,US,CITY,3,CASES
