year,week,loc,state,country,loc_type,number,event
1907,7,BUTTE,MT,US,CITY,6,CASES
1907,8,BUTTE,MT,US,CITY,22,CASES
1907,9,BUTTE,MT,US,CITY,6,CASES
1907,11,BUTTE,MT,US,CITY,5,CASES
1908,3,BUTTE,MT,US,CITY,1,CASES
1908,6,BUTTE,MT,US,CITY,2,CASES
1908,7,BUTTE,MT,US,CITY,1,CASES
1908,8,BUTTE,MT,US,CITY,2,CASES
1908,9,BUTTE,MT,US,CITY,5,CASES
1908,10,BUTTE,MT,US,CITY,1,CASES
1908,11,BUTTE,MT,US,CITY,2,CASES
1908,12,BUTTE,MT,US,CITY,1,CASES
1908,13,BUTTE,MT,US,CITY,5,CASES
1908,14,BUTTE,MT,US,CITY,1,CASES
1908,15,BUTTE,MT,US,CITY,3,CASES
1908,16,BUTTE,MT,US,CITY,1,CASES
1908,17,BUTTE,MT,US,CITY,2,CASES
1908,18,BUTTE,MT,US,CITY,1,CASES
1908,21,BUTTE,MT,US,CITY,6,CASES
1908,22,BUTTE,MT,US,CITY,7,CASES
1908,23,BUTTE,MT,US,CITY,3,CASES
1908,24,BUTTE,MT,US,CITY,2,CASES
1908,28,BUTTE,MT,US,CITY,1,CASES
1908,43,BUTTE,MT,US,CITY,1,CASES
1908,45,BUTTE,MT,US,CITY,1,CASES
1909,1,BUTTE,MT,US,CITY,1,CASES
1909,2,BUTTE,MT,US,CITY,1,CASES
1909,6,BUTTE,MT,US,CITY,2,CASES
1909,2,BUTTE,MT,US,CITY,1,CASES
1909,3,BUTTE,MT,US,CITY,1,CASES
1909,22,BUTTE,MT,US,CITY,3,CASES
1910,26,BUTTE,MT,US,CITY,21,CASES
1911,18,BUTTE,MT,US,CITY,1,CASES
1911,19,BUTTE,MT,US,CITY,2,CASES
1911,20,BUTTE,MT,US,CITY,1,CASES
1911,22,BUTTE,MT,US,CITY,1,CASES
1911,48,BUTTE,MT,US,CITY,1,CASES
1911,52,BUTTE,MT,US,CITY,2,CASES
1912,2,BUTTE,MT,US,CITY,1,CASES
1912,7,BUTTE,MT,US,CITY,1,CASES
1912,8,BUTTE,MT,US,CITY,1,CASES
1912,25,BUTTE,MT,US,CITY,1,CASES
