year,week,loc,state,country,loc_type,number,event
1914,34,BUTTE,MT,US,CITY,3,CASES
1915,30,BUTTE,MT,US,CITY,1,CASES
1916,20,BUTTE,MT,US,CITY,6,CASES
1916,21,BUTTE,MT,US,CITY,4,CASES
1916,45,BUTTE,MT,US,CITY,1,CASES
1916,46,BUTTE,MT,US,CITY,5,CASES
1918,41,BUTTE,MT,US,CITY,55,CASES
1918,46,BUTTE,MT,US,CITY,82,CASES
1919,1,BUTTE,MT,US,CITY,12,CASES
1919,45,BUTTE,MT,US,CITY,1,CASES
1919,47,BUTTE,MT,US,CITY,1,CASES
1919,49,BUTTE,MT,US,CITY,1,CASES
1919,53,BUTTE,MT,US,CITY,1,CASES
1920,4,BUTTE,MT,US,CITY,7,CASES
1920,5,BUTTE,MT,US,CITY,11,CASES
1920,6,BUTTE,MT,US,CITY,13,CASES
1920,7,BUTTE,MT,US,CITY,2,CASES
1920,8,BUTTE,MT,US,CITY,3,CASES
1920,9,BUTTE,MT,US,CITY,1,CASES
1920,10,BUTTE,MT,US,CITY,1,CASES
1920,13,BUTTE,MT,US,CITY,1,CASES
1920,17,BUTTE,MT,US,CITY,1,CASES
1920,18,BUTTE,MT,US,CITY,1,CASES
1920,22,BUTTE,MT,US,CITY,2,CASES
1920,23,BUTTE,MT,US,CITY,1,CASES
1920,44,BUTTE,MT,US,CITY,1,CASES
1920,47,BUTTE,MT,US,CITY,1,CASES
1920,50,BUTTE,MT,US,CITY,1,CASES
