year,week,loc,state,country,loc_type,number,event
1905,13,CAIRO,IL,US,CITY,12,CASES
1902,14,CAIRO,IL,US,CITY,3,CASES
1900,29,CAIRO,IL,US,CITY,2,CASES
1899,52,CAIRO,IL,US,CITY,12,CASES
1914,18,CAIRO,IL,US,CITY,2,CASES
1914,20,CAIRO,IL,US,CITY,1,CASES
1915,5,CAIRO,IL,US,CITY,1,CASES
1915,19,CAIRO,IL,US,CITY,1,CASES
1917,6,CAIRO,IL,US,CITY,1,CASES
1917,7,CAIRO,IL,US,CITY,2,CASES
1917,11,CAIRO,IL,US,CITY,1,CASES
1917,14,CAIRO,IL,US,CITY,8,CASES
1917,15,CAIRO,IL,US,CITY,6,CASES
1917,16,CAIRO,IL,US,CITY,6,CASES
1917,17,CAIRO,IL,US,CITY,1,CASES
1917,19,CAIRO,IL,US,CITY,1,CASES
1917,21,CAIRO,IL,US,CITY,1,CASES
1917,22,CAIRO,IL,US,CITY,2,CASES
1917,24,CAIRO,IL,US,CITY,2,CASES
1917,25,CAIRO,IL,US,CITY,2,CASES
1917,28,CAIRO,IL,US,CITY,5,CASES
1917,47,CAIRO,IL,US,CITY,1,CASES
1918,5,CAIRO,IL,US,CITY,2,CASES
1918,7,CAIRO,IL,US,CITY,1,CASES
1918,9,CAIRO,IL,US,CITY,1,CASES
1918,18,CAIRO,IL,US,CITY,1,CASES
1918,19,CAIRO,IL,US,CITY,1,CASES
1918,20,CAIRO,IL,US,CITY,1,CASES
1918,24,CAIRO,IL,US,CITY,1,CASES
1919,9,CAIRO,IL,US,CITY,1,CASES
1919,19,CAIRO,IL,US,CITY,7,CASES
1919,26,CAIRO,IL,US,CITY,1,CASES
1920,8,CAIRO,IL,US,CITY,1,CASES
1920,13,CAIRO,IL,US,CITY,1,CASES
1920,14,CAIRO,IL,US,CITY,9,CASES
1920,15,CAIRO,IL,US,CITY,3,CASES
1920,16,CAIRO,IL,US,CITY,3,CASES
1920,17,CAIRO,IL,US,CITY,5,CASES
1920,18,CAIRO,IL,US,CITY,3,CASES
