year,week,loc,state,country,loc_type,number,event
1910,22,CAMBRIDGE,OH,US,CITY,2,CASES
1910,23,CAMBRIDGE,OH,US,CITY,2,CASES
1910,25,CAMBRIDGE,OH,US,CITY,1,CASES
1910,52,CAMBRIDGE,OH,US,CITY,1,CASES
1911,1,CAMBRIDGE,OH,US,CITY,1,CASES
1911,5,CAMBRIDGE,OH,US,CITY,1,CASES
1911,7,CAMBRIDGE,OH,US,CITY,1,CASES
1911,49,CAMBRIDGE,OH,US,CITY,1,CASES
1911,50,CAMBRIDGE,OH,US,CITY,1,CASES
1912,40,CAMBRIDGE,OH,US,CITY,1,CASES
1912,43,CAMBRIDGE,OH,US,CITY,1,CASES
1912,51,CAMBRIDGE,OH,US,CITY,1,CASES
1913,1,CAMBRIDGE,OH,US,CITY,1,CASES
1913,8,CAMBRIDGE,OH,US,CITY,1,CASES
1913,18,CAMBRIDGE,OH,US,CITY,6,CASES
1913,24,CAMBRIDGE,OH,US,CITY,1,CASES
1913,36,CAMBRIDGE,OH,US,CITY,1,CASES
1913,45,CAMBRIDGE,OH,US,CITY,1,CASES
1913,47,CAMBRIDGE,OH,US,CITY,1,CASES
1913,50,CAMBRIDGE,OH,US,CITY,2,CASES
1913,51,CAMBRIDGE,OH,US,CITY,1,CASES
1914,1,CAMBRIDGE,OH,US,CITY,2,CASES
1914,2,CAMBRIDGE,OH,US,CITY,1,CASES
1914,3,CAMBRIDGE,OH,US,CITY,1,CASES
1914,6,CAMBRIDGE,OH,US,CITY,1,CASES
1914,10,CAMBRIDGE,OH,US,CITY,2,CASES
1914,16,CAMBRIDGE,OH,US,CITY,1,CASES
1914,20,CAMBRIDGE,OH,US,CITY,1,CASES
1914,22,CAMBRIDGE,OH,US,CITY,1,CASES
1914,27,CAMBRIDGE,OH,US,CITY,1,CASES
1914,36,CAMBRIDGE,OH,US,CITY,1,CASES
1914,43,CAMBRIDGE,OH,US,CITY,1,CASES
1914,45,CAMBRIDGE,OH,US,CITY,1,CASES
1914,47,CAMBRIDGE,OH,US,CITY,1,CASES
1918,45,CAMBRIDGE,OH,US,CITY,1,CASES
1922,6,CAMBRIDGE,OH,US,CITY,1,CASES
1922,7,CAMBRIDGE,OH,US,CITY,3,CASES
1922,8,CAMBRIDGE,OH,US,CITY,1,CASES
1922,11,CAMBRIDGE,OH,US,CITY,1,CASES
1922,12,CAMBRIDGE,OH,US,CITY,1,CASES
1922,14,CAMBRIDGE,OH,US,CITY,1,CASES
1922,16,CAMBRIDGE,OH,US,CITY,1,CASES
1922,17,CAMBRIDGE,OH,US,CITY,1,CASES
1922,19,CAMBRIDGE,OH,US,CITY,1,CASES
1922,22,CAMBRIDGE,OH,US,CITY,1,CASES
1922,23,CAMBRIDGE,OH,US,CITY,1,CASES
1922,24,CAMBRIDGE,OH,US,CITY,1,CASES
1922,26,CAMBRIDGE,OH,US,CITY,1,CASES
1922,27,CAMBRIDGE,OH,US,CITY,3,CASES
1922,33,CAMBRIDGE,OH,US,CITY,1,CASES
1922,39,CAMBRIDGE,OH,US,CITY,1,CASES
1922,41,CAMBRIDGE,OH,US,CITY,1,CASES
1922,47,CAMBRIDGE,OH,US,CITY,1,CASES
1922,49,CAMBRIDGE,OH,US,CITY,2,CASES
1922,51,CAMBRIDGE,OH,US,CITY,1,CASES
1923,1,CAMBRIDGE,OH,US,CITY,1,CASES
1923,2,CAMBRIDGE,OH,US,CITY,4,CASES
1923,8,CAMBRIDGE,OH,US,CITY,2,CASES
1923,17,CAMBRIDGE,OH,US,CITY,2,CASES
1923,23,CAMBRIDGE,OH,US,CITY,1,CASES
1923,25,CAMBRIDGE,OH,US,CITY,1,CASES
1923,26,CAMBRIDGE,OH,US,CITY,1,CASES
1923,27,CAMBRIDGE,OH,US,CITY,1,CASES
1923,30,CAMBRIDGE,OH,US,CITY,1,CASES
1923,38,CAMBRIDGE,OH,US,CITY,1,CASES
1923,40,CAMBRIDGE,OH,US,CITY,3,CASES
1923,41,CAMBRIDGE,OH,US,CITY,2,CASES
1923,42,CAMBRIDGE,OH,US,CITY,2,CASES
1923,43,CAMBRIDGE,OH,US,CITY,2,CASES
1923,45,CAMBRIDGE,OH,US,CITY,2,CASES
1923,46,CAMBRIDGE,OH,US,CITY,1,CASES
1923,48,CAMBRIDGE,OH,US,CITY,1,CASES
1923,50,CAMBRIDGE,OH,US,CITY,2,CASES
