year,week,loc,state,country,loc_type,number,event
1924,5,CAMDEN,NJ,US,CITY,0,CASES
1924,25,CAMDEN,NJ,US,CITY,6,CASES
1924,26,CAMDEN,NJ,US,CITY,3,CASES
1924,27,CAMDEN,NJ,US,CITY,1,CASES
1924,28,CAMDEN,NJ,US,CITY,1,CASES
1924,29,CAMDEN,NJ,US,CITY,1,CASES
1924,30,CAMDEN,NJ,US,CITY,1,CASES
1924,31,CAMDEN,NJ,US,CITY,1,CASES
1924,32,CAMDEN,NJ,US,CITY,0,CASES
1924,33,CAMDEN,NJ,US,CITY,0,CASES
1924,34,CAMDEN,NJ,US,CITY,0,CASES
1924,35,CAMDEN,NJ,US,CITY,0,CASES
1924,36,CAMDEN,NJ,US,CITY,0,CASES
1924,37,CAMDEN,NJ,US,CITY,0,CASES
1924,38,CAMDEN,NJ,US,CITY,0,CASES
1924,39,CAMDEN,NJ,US,CITY,0,CASES
1924,40,CAMDEN,NJ,US,CITY,1,CASES
1924,41,CAMDEN,NJ,US,CITY,0,CASES
1924,42,CAMDEN,NJ,US,CITY,0,CASES
1924,43,CAMDEN,NJ,US,CITY,0,CASES
1924,44,CAMDEN,NJ,US,CITY,0,CASES
1924,45,CAMDEN,NJ,US,CITY,0,CASES
1924,46,CAMDEN,NJ,US,CITY,0,CASES
1924,47,CAMDEN,NJ,US,CITY,0,CASES
1924,48,CAMDEN,NJ,US,CITY,0,CASES
1924,49,CAMDEN,NJ,US,CITY,0,CASES
1924,50,CAMDEN,NJ,US,CITY,0,CASES
1924,51,CAMDEN,NJ,US,CITY,1,CASES
1924,52,CAMDEN,NJ,US,CITY,0,CASES
1924,53,CAMDEN,NJ,US,CITY,1,CASES
1925,1,CAMDEN,NJ,US,CITY,1,CASES
1925,2,CAMDEN,NJ,US,CITY,1,CASES
1925,3,CAMDEN,NJ,US,CITY,0,CASES
1925,4,CAMDEN,NJ,US,CITY,0,CASES
1925,5,CAMDEN,NJ,US,CITY,0,CASES
1925,6,CAMDEN,NJ,US,CITY,1,CASES
1925,7,CAMDEN,NJ,US,CITY,0,CASES
1925,8,CAMDEN,NJ,US,CITY,1,CASES
1925,9,CAMDEN,NJ,US,CITY,0,CASES
1925,10,CAMDEN,NJ,US,CITY,0,CASES
1925,11,CAMDEN,NJ,US,CITY,5,CASES
1925,12,CAMDEN,NJ,US,CITY,1,CASES
1925,13,CAMDEN,NJ,US,CITY,0,CASES
1925,14,CAMDEN,NJ,US,CITY,0,CASES
1925,15,CAMDEN,NJ,US,CITY,1,CASES
1925,16,CAMDEN,NJ,US,CITY,2,CASES
1925,17,CAMDEN,NJ,US,CITY,0,CASES
1925,18,CAMDEN,NJ,US,CITY,0,CASES
1925,19,CAMDEN,NJ,US,CITY,3,CASES
1925,20,CAMDEN,NJ,US,CITY,0,CASES
1925,21,CAMDEN,NJ,US,CITY,1,CASES
1925,22,CAMDEN,NJ,US,CITY,0,CASES
1925,23,CAMDEN,NJ,US,CITY,1,CASES
1925,24,CAMDEN,NJ,US,CITY,0,CASES
1925,25,CAMDEN,NJ,US,CITY,2,CASES
1925,26,CAMDEN,NJ,US,CITY,0,CASES
1925,27,CAMDEN,NJ,US,CITY,0,CASES
1925,29,CAMDEN,NJ,US,CITY,0,CASES
1925,30,CAMDEN,NJ,US,CITY,0,CASES
1925,31,CAMDEN,NJ,US,CITY,0,CASES
1925,32,CAMDEN,NJ,US,CITY,0,CASES
1925,33,CAMDEN,NJ,US,CITY,0,CASES
1925,34,CAMDEN,NJ,US,CITY,0,CASES
1925,35,CAMDEN,NJ,US,CITY,0,CASES
1925,36,CAMDEN,NJ,US,CITY,0,CASES
1925,37,CAMDEN,NJ,US,CITY,0,CASES
1925,38,CAMDEN,NJ,US,CITY,0,CASES
1925,39,CAMDEN,NJ,US,CITY,0,CASES
1925,40,CAMDEN,NJ,US,CITY,0,CASES
1925,42,CAMDEN,NJ,US,CITY,0,CASES
1925,43,CAMDEN,NJ,US,CITY,0,CASES
1925,44,CAMDEN,NJ,US,CITY,0,CASES
1925,45,CAMDEN,NJ,US,CITY,0,CASES
1925,46,CAMDEN,NJ,US,CITY,0,CASES
1925,47,CAMDEN,NJ,US,CITY,0,CASES
1925,48,CAMDEN,NJ,US,CITY,1,CASES
1925,49,CAMDEN,NJ,US,CITY,0,CASES
1925,50,CAMDEN,NJ,US,CITY,1,CASES
1925,51,CAMDEN,NJ,US,CITY,1,CASES
1925,52,CAMDEN,NJ,US,CITY,1,CASES
1926,1,CAMDEN,NJ,US,CITY,4,CASES
1926,2,CAMDEN,NJ,US,CITY,0,CASES
1926,3,CAMDEN,NJ,US,CITY,1,CASES
1926,4,CAMDEN,NJ,US,CITY,0,CASES
1926,5,CAMDEN,NJ,US,CITY,0,CASES
1926,6,CAMDEN,NJ,US,CITY,0,CASES
1926,7,CAMDEN,NJ,US,CITY,0,CASES
1926,8,CAMDEN,NJ,US,CITY,0,CASES
1926,9,CAMDEN,NJ,US,CITY,0,CASES
1926,10,CAMDEN,NJ,US,CITY,0,CASES
1926,11,CAMDEN,NJ,US,CITY,1,CASES
1926,12,CAMDEN,NJ,US,CITY,0,CASES
1926,13,CAMDEN,NJ,US,CITY,0,CASES
1926,14,CAMDEN,NJ,US,CITY,0,CASES
1926,15,CAMDEN,NJ,US,CITY,1,CASES
1926,16,CAMDEN,NJ,US,CITY,0,CASES
1926,17,CAMDEN,NJ,US,CITY,3,CASES
1926,18,CAMDEN,NJ,US,CITY,1,CASES
1926,19,CAMDEN,NJ,US,CITY,0,CASES
1926,20,CAMDEN,NJ,US,CITY,0,CASES
1926,21,CAMDEN,NJ,US,CITY,0,CASES
1926,22,CAMDEN,NJ,US,CITY,0,CASES
1926,23,CAMDEN,NJ,US,CITY,1,CASES
1926,24,CAMDEN,NJ,US,CITY,1,CASES
1926,25,CAMDEN,NJ,US,CITY,0,CASES
1926,26,CAMDEN,NJ,US,CITY,0,CASES
1926,27,CAMDEN,NJ,US,CITY,0,CASES
1926,28,CAMDEN,NJ,US,CITY,0,CASES
1926,29,CAMDEN,NJ,US,CITY,0,CASES
1926,30,CAMDEN,NJ,US,CITY,0,CASES
1926,31,CAMDEN,NJ,US,CITY,0,CASES
1926,32,CAMDEN,NJ,US,CITY,1,CASES
1926,33,CAMDEN,NJ,US,CITY,0,CASES
1926,34,CAMDEN,NJ,US,CITY,0,CASES
1926,35,CAMDEN,NJ,US,CITY,0,CASES
1926,36,CAMDEN,NJ,US,CITY,0,CASES
1926,37,CAMDEN,NJ,US,CITY,0,CASES
1926,38,CAMDEN,NJ,US,CITY,0,CASES
1926,39,CAMDEN,NJ,US,CITY,0,CASES
1926,40,CAMDEN,NJ,US,CITY,0,CASES
1926,41,CAMDEN,NJ,US,CITY,0,CASES
1926,42,CAMDEN,NJ,US,CITY,1,CASES
1926,43,CAMDEN,NJ,US,CITY,0,CASES
1926,44,CAMDEN,NJ,US,CITY,1,CASES
1926,45,CAMDEN,NJ,US,CITY,0,CASES
1926,46,CAMDEN,NJ,US,CITY,0,CASES
1926,47,CAMDEN,NJ,US,CITY,0,CASES
1926,48,CAMDEN,NJ,US,CITY,1,CASES
1926,49,CAMDEN,NJ,US,CITY,1,CASES
1926,50,CAMDEN,NJ,US,CITY,0,CASES
1926,51,CAMDEN,NJ,US,CITY,0,CASES
1926,52,CAMDEN,NJ,US,CITY,0,CASES
1927,1,CAMDEN,NJ,US,CITY,0,CASES
1927,2,CAMDEN,NJ,US,CITY,0,CASES
1927,3,CAMDEN,NJ,US,CITY,1,CASES
1927,4,CAMDEN,NJ,US,CITY,0,CASES
1927,5,CAMDEN,NJ,US,CITY,1,CASES
1927,6,CAMDEN,NJ,US,CITY,0,CASES
1927,7,CAMDEN,NJ,US,CITY,1,CASES
1927,8,CAMDEN,NJ,US,CITY,2,CASES
1927,9,CAMDEN,NJ,US,CITY,0,CASES
1927,10,CAMDEN,NJ,US,CITY,0,CASES
1927,11,CAMDEN,NJ,US,CITY,1,CASES
1927,12,CAMDEN,NJ,US,CITY,2,CASES
1927,13,CAMDEN,NJ,US,CITY,0,CASES
1927,14,CAMDEN,NJ,US,CITY,1,CASES
1927,15,CAMDEN,NJ,US,CITY,1,CASES
1927,16,CAMDEN,NJ,US,CITY,1,CASES
1927,17,CAMDEN,NJ,US,CITY,3,CASES
1927,18,CAMDEN,NJ,US,CITY,1,CASES
1927,19,CAMDEN,NJ,US,CITY,1,CASES
1927,20,CAMDEN,NJ,US,CITY,2,CASES
1927,21,CAMDEN,NJ,US,CITY,1,CASES
1927,22,CAMDEN,NJ,US,CITY,1,CASES
1927,23,CAMDEN,NJ,US,CITY,2,CASES
1927,24,CAMDEN,NJ,US,CITY,2,CASES
1927,25,CAMDEN,NJ,US,CITY,0,CASES
1927,26,CAMDEN,NJ,US,CITY,2,CASES
1927,27,CAMDEN,NJ,US,CITY,0,CASES
1927,28,CAMDEN,NJ,US,CITY,0,CASES
1927,29,CAMDEN,NJ,US,CITY,3,CASES
1927,30,CAMDEN,NJ,US,CITY,1,CASES
1927,31,CAMDEN,NJ,US,CITY,0,CASES
1927,32,CAMDEN,NJ,US,CITY,2,CASES
1927,33,CAMDEN,NJ,US,CITY,0,CASES
1927,34,CAMDEN,NJ,US,CITY,0,CASES
1927,35,CAMDEN,NJ,US,CITY,2,CASES
1927,36,CAMDEN,NJ,US,CITY,0,CASES
1927,37,CAMDEN,NJ,US,CITY,0,CASES
1927,38,CAMDEN,NJ,US,CITY,0,CASES
1927,39,CAMDEN,NJ,US,CITY,0,CASES
1927,41,CAMDEN,NJ,US,CITY,4,CASES
1927,42,CAMDEN,NJ,US,CITY,0,CASES
1927,43,CAMDEN,NJ,US,CITY,14,CASES
1927,44,CAMDEN,NJ,US,CITY,2,CASES
1927,45,CAMDEN,NJ,US,CITY,1,CASES
1927,46,CAMDEN,NJ,US,CITY,2,CASES
1927,47,CAMDEN,NJ,US,CITY,1,CASES
1927,48,CAMDEN,NJ,US,CITY,0,CASES
1927,49,CAMDEN,NJ,US,CITY,0,CASES
1927,50,CAMDEN,NJ,US,CITY,0,CASES
1927,51,CAMDEN,NJ,US,CITY,1,CASES
1927,52,CAMDEN,NJ,US,CITY,0,CASES
1928,1,CAMDEN,NJ,US,CITY,4,CASES
1928,2,CAMDEN,NJ,US,CITY,4,CASES
1928,3,CAMDEN,NJ,US,CITY,2,CASES
1928,4,CAMDEN,NJ,US,CITY,0,CASES
1928,5,CAMDEN,NJ,US,CITY,3,CASES
1928,6,CAMDEN,NJ,US,CITY,1,CASES
1928,7,CAMDEN,NJ,US,CITY,5,CASES
1928,8,CAMDEN,NJ,US,CITY,1,CASES
1928,9,CAMDEN,NJ,US,CITY,8,CASES
1928,10,CAMDEN,NJ,US,CITY,6,CASES
1928,11,CAMDEN,NJ,US,CITY,0,CASES
1928,12,CAMDEN,NJ,US,CITY,0,CASES
1928,13,CAMDEN,NJ,US,CITY,0,CASES
1928,14,CAMDEN,NJ,US,CITY,4,CASES
1928,15,CAMDEN,NJ,US,CITY,3,CASES
1928,16,CAMDEN,NJ,US,CITY,4,CASES
1928,17,CAMDEN,NJ,US,CITY,1,CASES
1928,18,CAMDEN,NJ,US,CITY,1,CASES
1928,19,CAMDEN,NJ,US,CITY,5,CASES
1928,20,CAMDEN,NJ,US,CITY,9,CASES
1928,21,CAMDEN,NJ,US,CITY,2,CASES
1928,22,CAMDEN,NJ,US,CITY,6,CASES
1928,23,CAMDEN,NJ,US,CITY,3,CASES
1928,24,CAMDEN,NJ,US,CITY,3,CASES
1928,25,CAMDEN,NJ,US,CITY,3,CASES
1928,26,CAMDEN,NJ,US,CITY,2,CASES
1928,23,CAMDEN,NJ,US,CITY,2,CASES
1928,28,CAMDEN,NJ,US,CITY,1,CASES
1928,29,CAMDEN,NJ,US,CITY,1,CASES
1928,30,CAMDEN,NJ,US,CITY,1,CASES
1928,31,CAMDEN,NJ,US,CITY,2,CASES
1928,32,CAMDEN,NJ,US,CITY,0,CASES
1928,33,CAMDEN,NJ,US,CITY,1,CASES
1928,34,CAMDEN,NJ,US,CITY,0,CASES
1928,36,CAMDEN,NJ,US,CITY,0,CASES
1928,37,CAMDEN,NJ,US,CITY,0,CASES
1928,38,CAMDEN,NJ,US,CITY,1,CASES
1928,39,CAMDEN,NJ,US,CITY,0,CASES
1928,40,CAMDEN,NJ,US,CITY,0,CASES
1928,41,CAMDEN,NJ,US,CITY,1,CASES
1928,42,CAMDEN,NJ,US,CITY,0,CASES
1928,43,CAMDEN,NJ,US,CITY,1,CASES
1928,44,CAMDEN,NJ,US,CITY,1,CASES
1928,45,CAMDEN,NJ,US,CITY,0,CASES
1928,46,CAMDEN,NJ,US,CITY,0,CASES
1928,47,CAMDEN,NJ,US,CITY,2,CASES
1928,48,CAMDEN,NJ,US,CITY,20,CASES
1928,49,CAMDEN,NJ,US,CITY,1,CASES
1928,50,CAMDEN,NJ,US,CITY,2,CASES
1928,51,CAMDEN,NJ,US,CITY,1,CASES
1928,52,CAMDEN,NJ,US,CITY,2,CASES
1929,1,CAMDEN,NJ,US,CITY,0,CASES
1929,2,CAMDEN,NJ,US,CITY,1,CASES
1929,3,CAMDEN,NJ,US,CITY,1,CASES
1929,4,CAMDEN,NJ,US,CITY,0,CASES
1929,5,CAMDEN,NJ,US,CITY,0,CASES
1929,6,CAMDEN,NJ,US,CITY,2,CASES
1929,7,CAMDEN,NJ,US,CITY,0,CASES
1929,8,CAMDEN,NJ,US,CITY,0,CASES
1929,9,CAMDEN,NJ,US,CITY,1,CASES
1929,10,CAMDEN,NJ,US,CITY,1,CASES
1929,11,CAMDEN,NJ,US,CITY,1,CASES
1929,12,CAMDEN,NJ,US,CITY,1,CASES
1929,13,CAMDEN,NJ,US,CITY,0,CASES
1929,14,CAMDEN,NJ,US,CITY,1,CASES
1929,15,CAMDEN,NJ,US,CITY,0,CASES
1929,16,CAMDEN,NJ,US,CITY,0,CASES
1929,17,CAMDEN,NJ,US,CITY,3,CASES
1929,20,CAMDEN,NJ,US,CITY,3,CASES
1929,21,CAMDEN,NJ,US,CITY,2,CASES
1929,22,CAMDEN,NJ,US,CITY,2,CASES
1929,23,CAMDEN,NJ,US,CITY,1,CASES
1929,24,CAMDEN,NJ,US,CITY,2,CASES
1929,25,CAMDEN,NJ,US,CITY,0,CASES
1929,26,CAMDEN,NJ,US,CITY,0,CASES
1929,27,CAMDEN,NJ,US,CITY,0,CASES
1929,28,CAMDEN,NJ,US,CITY,2,CASES
1929,29,CAMDEN,NJ,US,CITY,0,CASES
1929,30,CAMDEN,NJ,US,CITY,0,CASES
1929,31,CAMDEN,NJ,US,CITY,1,CASES
1929,32,CAMDEN,NJ,US,CITY,0,CASES
1929,33,CAMDEN,NJ,US,CITY,0,CASES
1929,34,CAMDEN,NJ,US,CITY,0,CASES
1929,35,CAMDEN,NJ,US,CITY,0,CASES
1929,36,CAMDEN,NJ,US,CITY,0,CASES
1929,37,CAMDEN,NJ,US,CITY,0,CASES
1929,38,CAMDEN,NJ,US,CITY,2,CASES
1929,39,CAMDEN,NJ,US,CITY,0,CASES
1929,40,CAMDEN,NJ,US,CITY,0,CASES
1929,41,CAMDEN,NJ,US,CITY,0,CASES
1929,42,CAMDEN,NJ,US,CITY,0,CASES
1929,43,CAMDEN,NJ,US,CITY,0,CASES
1929,44,CAMDEN,NJ,US,CITY,0,CASES
1929,45,CAMDEN,NJ,US,CITY,0,CASES
1929,46,CAMDEN,NJ,US,CITY,0,CASES
1929,47,CAMDEN,NJ,US,CITY,0,CASES
1929,48,CAMDEN,NJ,US,CITY,0,CASES
1929,49,CAMDEN,NJ,US,CITY,1,CASES
1929,50,CAMDEN,NJ,US,CITY,0,CASES
1929,51,CAMDEN,NJ,US,CITY,0,CASES
1929,52,CAMDEN,NJ,US,CITY,0,CASES
1930,1,CAMDEN,NJ,US,CITY,1,CASES
1930,2,CAMDEN,NJ,US,CITY,0,CASES
1930,3,CAMDEN,NJ,US,CITY,0,CASES
1930,4,CAMDEN,NJ,US,CITY,0,CASES
1930,5,CAMDEN,NJ,US,CITY,0,CASES
1930,6,CAMDEN,NJ,US,CITY,1,CASES
1930,7,CAMDEN,NJ,US,CITY,0,CASES
1930,8,CAMDEN,NJ,US,CITY,0,CASES
1930,9,CAMDEN,NJ,US,CITY,0,CASES
1930,10,CAMDEN,NJ,US,CITY,0,CASES
1930,11,CAMDEN,NJ,US,CITY,0,CASES
1930,12,CAMDEN,NJ,US,CITY,0,CASES
1930,13,CAMDEN,NJ,US,CITY,1,CASES
1930,14,CAMDEN,NJ,US,CITY,0,CASES
1930,15,CAMDEN,NJ,US,CITY,1,CASES
1930,16,CAMDEN,NJ,US,CITY,3,CASES
1930,17,CAMDEN,NJ,US,CITY,1,CASES
1930,18,CAMDEN,NJ,US,CITY,0,CASES
1930,19,CAMDEN,NJ,US,CITY,2,CASES
1930,20,CAMDEN,NJ,US,CITY,1,CASES
1930,21,CAMDEN,NJ,US,CITY,1,CASES
1930,22,CAMDEN,NJ,US,CITY,1,CASES
1930,23,CAMDEN,NJ,US,CITY,1,CASES
1930,24,CAMDEN,NJ,US,CITY,0,CASES
1930,25,CAMDEN,NJ,US,CITY,0,CASES
1930,26,CAMDEN,NJ,US,CITY,0,CASES
1930,27,CAMDEN,NJ,US,CITY,0,CASES
1930,28,CAMDEN,NJ,US,CITY,0,CASES
1930,29,CAMDEN,NJ,US,CITY,0,CASES
1930,30,CAMDEN,NJ,US,CITY,0,CASES
1930,31,CAMDEN,NJ,US,CITY,0,CASES
1930,32,CAMDEN,NJ,US,CITY,0,CASES
1930,33,CAMDEN,NJ,US,CITY,0,CASES
1930,34,CAMDEN,NJ,US,CITY,0,CASES
