year,week,loc,state,country,loc_type,number,event
1921,11,CARRICK,PA,US,CITY,1,CASES
1921,12,CARRICK,PA,US,CITY,1,CASES
1921,37,CARRICK,PA,US,CITY,1,CASES
1921,40,CARRICK,PA,US,CITY,1,CASES
1921,41,CARRICK,PA,US,CITY,2,CASES
1921,50,CARRICK,PA,US,CITY,1,CASES
1921,51,CARRICK,PA,US,CITY,2,CASES
1921,52,CARRICK,PA,US,CITY,1,CASES
1922,2,CARRICK,PA,US,CITY,1,CASES
1922,3,CARRICK,PA,US,CITY,1,CASES
1922,9,CARRICK,PA,US,CITY,4,CASES
1922,15,CARRICK,PA,US,CITY,1,CASES
1922,16,CARRICK,PA,US,CITY,1,CASES
1922,21,CARRICK,PA,US,CITY,1,CASES
1922,22,CARRICK,PA,US,CITY,2,CASES
1922,23,CARRICK,PA,US,CITY,3,CASES
1922,35,CARRICK,PA,US,CITY,1,CASES
1922,45,CARRICK,PA,US,CITY,1,CASES
1922,46,CARRICK,PA,US,CITY,1,CASES
1922,48,CARRICK,PA,US,CITY,2,CASES
1922,52,CARRICK,PA,US,CITY,1,CASES
1923,5,CARRICK,PA,US,CITY,2,CASES
1923,9,CARRICK,PA,US,CITY,1,CASES
1923,11,CARRICK,PA,US,CITY,1,CASES
1923,21,CARRICK,PA,US,CITY,1,CASES
1923,28,CARRICK,PA,US,CITY,1,CASES
1923,36,CARRICK,PA,US,CITY,1,CASES
1923,39,CARRICK,PA,US,CITY,1,CASES
1923,42,CARRICK,PA,US,CITY,1,CASES
1923,50,CARRICK,PA,US,CITY,1,CASES
1923,52,CARRICK,PA,US,CITY,1,CASES
