year,week,loc,state,country,loc_type,number,event
1919,22,CHAMBERSBURG,PA,US,CITY,3,CASES
1919,23,CHAMBERSBURG,PA,US,CITY,1,CASES
1919,25,CHAMBERSBURG,PA,US,CITY,1,CASES
1919,27,CHAMBERSBURG,PA,US,CITY,10,CASES
1919,28,CHAMBERSBURG,PA,US,CITY,2,CASES
1919,29,CHAMBERSBURG,PA,US,CITY,1,CASES
1919,52,CHAMBERSBURG,PA,US,CITY,1,CASES
1919,53,CHAMBERSBURG,PA,US,CITY,2,CASES
1920,2,CHAMBERSBURG,PA,US,CITY,13,CASES
1920,4,CHAMBERSBURG,PA,US,CITY,11,CASES
1920,5,CHAMBERSBURG,PA,US,CITY,15,CASES
1920,7,CHAMBERSBURG,PA,US,CITY,18,CASES
1920,13,CHAMBERSBURG,PA,US,CITY,5,CASES
1920,14,CHAMBERSBURG,PA,US,CITY,14,CASES
1920,15,CHAMBERSBURG,PA,US,CITY,10,CASES
1920,16,CHAMBERSBURG,PA,US,CITY,9,CASES
1920,21,CHAMBERSBURG,PA,US,CITY,4,CASES
1920,22,CHAMBERSBURG,PA,US,CITY,1,CASES
1920,24,CHAMBERSBURG,PA,US,CITY,1,CASES
1920,25,CHAMBERSBURG,PA,US,CITY,4,CASES
1920,36,CHAMBERSBURG,PA,US,CITY,1,CASES
1920,47,CHAMBERSBURG,PA,US,CITY,1,CASES
1920,49,CHAMBERSBURG,PA,US,CITY,1,CASES
1921,2,CHAMBERSBURG,PA,US,CITY,1,CASES
1921,3,CHAMBERSBURG,PA,US,CITY,1,CASES
1921,4,CHAMBERSBURG,PA,US,CITY,6,CASES
1921,5,CHAMBERSBURG,PA,US,CITY,1,CASES
1921,9,CHAMBERSBURG,PA,US,CITY,2,CASES
1921,10,CHAMBERSBURG,PA,US,CITY,2,CASES
1921,12,CHAMBERSBURG,PA,US,CITY,1,CASES
1921,13,CHAMBERSBURG,PA,US,CITY,2,CASES
1921,14,CHAMBERSBURG,PA,US,CITY,1,CASES
1921,15,CHAMBERSBURG,PA,US,CITY,1,CASES
1922,11,CHAMBERSBURG,PA,US,CITY,1,CASES
1922,13,CHAMBERSBURG,PA,US,CITY,1,CASES
1922,14,CHAMBERSBURG,PA,US,CITY,9,CASES
1922,15,CHAMBERSBURG,PA,US,CITY,2,CASES
1922,16,CHAMBERSBURG,PA,US,CITY,1,CASES
1922,17,CHAMBERSBURG,PA,US,CITY,5,CASES
1922,18,CHAMBERSBURG,PA,US,CITY,1,CASES
1922,24,CHAMBERSBURG,PA,US,CITY,1,CASES
1922,25,CHAMBERSBURG,PA,US,CITY,4,CASES
1922,26,CHAMBERSBURG,PA,US,CITY,1,CASES
1922,49,CHAMBERSBURG,PA,US,CITY,3,CASES
1922,52,CHAMBERSBURG,PA,US,CITY,3,CASES
1923,1,CHAMBERSBURG,PA,US,CITY,7,CASES
1923,2,CHAMBERSBURG,PA,US,CITY,4,CASES
1923,3,CHAMBERSBURG,PA,US,CITY,7,CASES
1923,4,CHAMBERSBURG,PA,US,CITY,13,CASES
1923,5,CHAMBERSBURG,PA,US,CITY,1,CASES
1923,6,CHAMBERSBURG,PA,US,CITY,23,CASES
1923,7,CHAMBERSBURG,PA,US,CITY,8,CASES
1923,8,CHAMBERSBURG,PA,US,CITY,21,CASES
1923,9,CHAMBERSBURG,PA,US,CITY,9,CASES
1923,10,CHAMBERSBURG,PA,US,CITY,22,CASES
1923,11,CHAMBERSBURG,PA,US,CITY,20,CASES
1923,12,CHAMBERSBURG,PA,US,CITY,2,CASES
1923,13,CHAMBERSBURG,PA,US,CITY,14,CASES
1923,14,CHAMBERSBURG,PA,US,CITY,7,CASES
1923,15,CHAMBERSBURG,PA,US,CITY,12,CASES
1923,16,CHAMBERSBURG,PA,US,CITY,7,CASES
1923,17,CHAMBERSBURG,PA,US,CITY,6,CASES
1923,18,CHAMBERSBURG,PA,US,CITY,6,CASES
1923,19,CHAMBERSBURG,PA,US,CITY,5,CASES
1923,20,CHAMBERSBURG,PA,US,CITY,1,CASES
1923,21,CHAMBERSBURG,PA,US,CITY,12,CASES
1923,22,CHAMBERSBURG,PA,US,CITY,10,CASES
1923,23,CHAMBERSBURG,PA,US,CITY,4,CASES
1923,25,CHAMBERSBURG,PA,US,CITY,1,CASES
1923,41,CHAMBERSBURG,PA,US,CITY,1,CASES
1923,45,CHAMBERSBURG,PA,US,CITY,2,CASES
1923,48,CHAMBERSBURG,PA,US,CITY,1,CASES
