year,week,loc,state,country,loc_type,number,event
1921,45,CHAMPAIGN,IL,US,CITY,1,CASES
1922,1,CHAMPAIGN,IL,US,CITY,1,CASES
1922,8,CHAMPAIGN,IL,US,CITY,1,CASES
1922,9,CHAMPAIGN,IL,US,CITY,1,CASES
1922,11,CHAMPAIGN,IL,US,CITY,1,CASES
1922,16,CHAMPAIGN,IL,US,CITY,1,CASES
1922,23,CHAMPAIGN,IL,US,CITY,1,CASES
1922,37,CHAMPAIGN,IL,US,CITY,1,CASES
1922,41,CHAMPAIGN,IL,US,CITY,1,CASES
1923,2,CHAMPAIGN,IL,US,CITY,2,CASES
1923,4,CHAMPAIGN,IL,US,CITY,1,CASES
1923,6,CHAMPAIGN,IL,US,CITY,23,CASES
1923,7,CHAMPAIGN,IL,US,CITY,13,CASES
1923,8,CHAMPAIGN,IL,US,CITY,25,CASES
1923,9,CHAMPAIGN,IL,US,CITY,8,CASES
1923,10,CHAMPAIGN,IL,US,CITY,13,CASES
1923,11,CHAMPAIGN,IL,US,CITY,10,CASES
1923,13,CHAMPAIGN,IL,US,CITY,8,CASES
1923,14,CHAMPAIGN,IL,US,CITY,14,CASES
1923,15,CHAMPAIGN,IL,US,CITY,8,CASES
1923,16,CHAMPAIGN,IL,US,CITY,7,CASES
1923,17,CHAMPAIGN,IL,US,CITY,6,CASES
1923,18,CHAMPAIGN,IL,US,CITY,25,CASES
1923,19,CHAMPAIGN,IL,US,CITY,10,CASES
1923,20,CHAMPAIGN,IL,US,CITY,17,CASES
1923,21,CHAMPAIGN,IL,US,CITY,6,CASES
1923,22,CHAMPAIGN,IL,US,CITY,7,CASES
1923,24,CHAMPAIGN,IL,US,CITY,7,CASES
1923,28,CHAMPAIGN,IL,US,CITY,2,CASES
1923,29,CHAMPAIGN,IL,US,CITY,2,CASES
1923,39,CHAMPAIGN,IL,US,CITY,1,CASES
