year,week,loc,state,country,loc_type,number,event
1921,41,CHAMPAIGN,IL,US,CITY,2,CASES
1921,42,CHAMPAIGN,IL,US,CITY,2,CASES
1921,49,CHAMPAIGN,IL,US,CITY,2,CASES
1921,50,CHAMPAIGN,IL,US,CITY,1,CASES
1921,52,CHAMPAIGN,IL,US,CITY,2,CASES
1922,2,CHAMPAIGN,IL,US,CITY,1,CASES
1922,3,CHAMPAIGN,IL,US,CITY,1,CASES
1922,5,CHAMPAIGN,IL,US,CITY,1,CASES
1922,6,CHAMPAIGN,IL,US,CITY,3,CASES
1922,7,CHAMPAIGN,IL,US,CITY,2,CASES
1922,8,CHAMPAIGN,IL,US,CITY,1,CASES
1922,9,CHAMPAIGN,IL,US,CITY,7,CASES
1922,11,CHAMPAIGN,IL,US,CITY,2,CASES
1922,13,CHAMPAIGN,IL,US,CITY,1,CASES
1922,14,CHAMPAIGN,IL,US,CITY,1,CASES
1922,15,CHAMPAIGN,IL,US,CITY,1,CASES
1922,30,CHAMPAIGN,IL,US,CITY,1,CASES
1922,38,CHAMPAIGN,IL,US,CITY,2,CASES
1922,40,CHAMPAIGN,IL,US,CITY,3,CASES
1922,41,CHAMPAIGN,IL,US,CITY,1,CASES
1922,43,CHAMPAIGN,IL,US,CITY,3,CASES
1923,2,CHAMPAIGN,IL,US,CITY,1,CASES
1923,4,CHAMPAIGN,IL,US,CITY,1,CASES
1923,6,CHAMPAIGN,IL,US,CITY,2,CASES
1923,7,CHAMPAIGN,IL,US,CITY,5,CASES
1923,8,CHAMPAIGN,IL,US,CITY,1,CASES
1923,11,CHAMPAIGN,IL,US,CITY,3,CASES
1923,17,CHAMPAIGN,IL,US,CITY,1,CASES
1923,22,CHAMPAIGN,IL,US,CITY,1,CASES
1923,38,CHAMPAIGN,IL,US,CITY,3,CASES
1923,39,CHAMPAIGN,IL,US,CITY,1,CASES
1923,44,CHAMPAIGN,IL,US,CITY,1,CASES
1923,46,CHAMPAIGN,IL,US,CITY,1,CASES
1923,47,CHAMPAIGN,IL,US,CITY,2,CASES
