year,week,loc,state,country,loc_type,number,event
1917,19,CHELSEA,MA,US,CITY,1,CASES
1917,20,CHELSEA,MA,US,CITY,1,CASES
1917,21,CHELSEA,MA,US,CITY,7,CASES
1917,22,CHELSEA,MA,US,CITY,2,CASES
1917,23,CHELSEA,MA,US,CITY,1,CASES
1917,24,CHELSEA,MA,US,CITY,3,CASES
1917,25,CHELSEA,MA,US,CITY,3,CASES
1917,27,CHELSEA,MA,US,CITY,1,CASES
1917,29,CHELSEA,MA,US,CITY,1,CASES
1917,30,CHELSEA,MA,US,CITY,1,CASES
1917,31,CHELSEA,MA,US,CITY,1,CASES
1917,36,CHELSEA,MA,US,CITY,1,CASES
1917,38,CHELSEA,MA,US,CITY,2,CASES
1917,40,CHELSEA,MA,US,CITY,1,CASES
1917,42,CHELSEA,MA,US,CITY,1,CASES
1917,43,CHELSEA,MA,US,CITY,1,CASES
1917,44,CHELSEA,MA,US,CITY,3,CASES
1917,45,CHELSEA,MA,US,CITY,2,CASES
1917,46,CHELSEA,MA,US,CITY,1,CASES
1917,47,CHELSEA,MA,US,CITY,2,CASES
1917,48,CHELSEA,MA,US,CITY,1,CASES
1917,49,CHELSEA,MA,US,CITY,6,CASES
1917,50,CHELSEA,MA,US,CITY,4,CASES
1917,51,CHELSEA,MA,US,CITY,4,CASES
1917,52,CHELSEA,MA,US,CITY,9,CASES
1918,1,CHELSEA,MA,US,CITY,1,CASES
1918,2,CHELSEA,MA,US,CITY,3,CASES
1918,3,CHELSEA,MA,US,CITY,7,CASES
1918,4,CHELSEA,MA,US,CITY,9,CASES
1918,5,CHELSEA,MA,US,CITY,8,CASES
1918,6,CHELSEA,MA,US,CITY,9,CASES
1918,7,CHELSEA,MA,US,CITY,10,CASES
1918,8,CHELSEA,MA,US,CITY,13,CASES
1918,9,CHELSEA,MA,US,CITY,6,CASES
1918,10,CHELSEA,MA,US,CITY,3,CASES
1918,11,CHELSEA,MA,US,CITY,9,CASES
1918,12,CHELSEA,MA,US,CITY,12,CASES
1918,13,CHELSEA,MA,US,CITY,4,CASES
1918,14,CHELSEA,MA,US,CITY,12,CASES
1918,15,CHELSEA,MA,US,CITY,15,CASES
1918,16,CHELSEA,MA,US,CITY,2,CASES
1918,17,CHELSEA,MA,US,CITY,10,CASES
1918,18,CHELSEA,MA,US,CITY,4,CASES
1918,19,CHELSEA,MA,US,CITY,6,CASES
1918,20,CHELSEA,MA,US,CITY,2,CASES
1918,21,CHELSEA,MA,US,CITY,1,CASES
1918,22,CHELSEA,MA,US,CITY,2,CASES
1918,25,CHELSEA,MA,US,CITY,3,CASES
1918,26,CHELSEA,MA,US,CITY,1,CASES
1918,27,CHELSEA,MA,US,CITY,1,CASES
1918,28,CHELSEA,MA,US,CITY,1,CASES
1918,31,CHELSEA,MA,US,CITY,1,CASES
1918,35,CHELSEA,MA,US,CITY,1,CASES
1918,36,CHELSEA,MA,US,CITY,1,CASES
1918,38,CHELSEA,MA,US,CITY,10,CASES
1918,40,CHELSEA,MA,US,CITY,13,CASES
1918,41,CHELSEA,MA,US,CITY,3,CASES
1918,42,CHELSEA,MA,US,CITY,2,CASES
1918,43,CHELSEA,MA,US,CITY,2,CASES
