year,week,loc,state,country,loc_type,number,event
1919,45,CHICAGO HEIGHTS,IL,US,CITY,1,CASES
1919,46,CHICAGO HEIGHTS,IL,US,CITY,6,CASES
1919,48,CHICAGO HEIGHTS,IL,US,CITY,3,CASES
1919,49,CHICAGO HEIGHTS,IL,US,CITY,1,CASES
1919,50,CHICAGO HEIGHTS,IL,US,CITY,2,CASES
1919,53,CHICAGO HEIGHTS,IL,US,CITY,2,CASES
1920,1,CHICAGO HEIGHTS,IL,US,CITY,1,CASES
1920,3,CHICAGO HEIGHTS,IL,US,CITY,2,CASES
1920,9,CHICAGO HEIGHTS,IL,US,CITY,2,CASES
1920,24,CHICAGO HEIGHTS,IL,US,CITY,1,CASES
1920,27,CHICAGO HEIGHTS,IL,US,CITY,1,CASES
1920,35,CHICAGO HEIGHTS,IL,US,CITY,4,CASES
1920,40,CHICAGO HEIGHTS,IL,US,CITY,3,CASES
