year,week,loc,state,country,loc_type,number,event
1906,46,CHICOPEE,MA,US,CITY,1,CASES
1906,48,CHICOPEE,MA,US,CITY,2,CASES
1907,6,CHICOPEE,MA,US,CITY,1,CASES
1907,7,CHICOPEE,MA,US,CITY,1,CASES
1907,12,CHICOPEE,MA,US,CITY,4,CASES
1907,13,CHICOPEE,MA,US,CITY,13,CASES
1907,14,CHICOPEE,MA,US,CITY,32,CASES
1907,15,CHICOPEE,MA,US,CITY,14,CASES
1907,16,CHICOPEE,MA,US,CITY,22,CASES
1907,17,CHICOPEE,MA,US,CITY,8,CASES
1907,18,CHICOPEE,MA,US,CITY,20,CASES
1907,19,CHICOPEE,MA,US,CITY,11,CASES
1907,20,CHICOPEE,MA,US,CITY,19,CASES
1907,21,CHICOPEE,MA,US,CITY,11,CASES
1907,22,CHICOPEE,MA,US,CITY,7,CASES
1907,23,CHICOPEE,MA,US,CITY,9,CASES
1907,24,CHICOPEE,MA,US,CITY,4,CASES
1907,25,CHICOPEE,MA,US,CITY,9,CASES
1907,26,CHICOPEE,MA,US,CITY,6,CASES
1907,27,CHICOPEE,MA,US,CITY,2,CASES
1907,28,CHICOPEE,MA,US,CITY,4,CASES
1907,29,CHICOPEE,MA,US,CITY,2,CASES
1907,30,CHICOPEE,MA,US,CITY,1,CASES
1907,31,CHICOPEE,MA,US,CITY,3,CASES
1907,32,CHICOPEE,MA,US,CITY,1,CASES
1907,35,CHICOPEE,MA,US,CITY,1,CASES
1907,36,CHICOPEE,MA,US,CITY,2,CASES
1907,37,CHICOPEE,MA,US,CITY,1,CASES
1907,40,CHICOPEE,MA,US,CITY,2,CASES
1907,41,CHICOPEE,MA,US,CITY,1,CASES
1907,44,CHICOPEE,MA,US,CITY,1,CASES
1907,50,CHICOPEE,MA,US,CITY,21,CASES
1908,3,CHICOPEE,MA,US,CITY,2,CASES
1908,5,CHICOPEE,MA,US,CITY,3,CASES
1908,6,CHICOPEE,MA,US,CITY,1,CASES
1908,8,CHICOPEE,MA,US,CITY,1,CASES
1908,13,CHICOPEE,MA,US,CITY,1,CASES
1908,15,CHICOPEE,MA,US,CITY,1,CASES
1908,17,CHICOPEE,MA,US,CITY,1,CASES
1908,18,CHICOPEE,MA,US,CITY,1,CASES
1908,19,CHICOPEE,MA,US,CITY,1,CASES
1908,20,CHICOPEE,MA,US,CITY,1,CASES
1908,21,CHICOPEE,MA,US,CITY,1,CASES
1908,22,CHICOPEE,MA,US,CITY,1,CASES
1908,23,CHICOPEE,MA,US,CITY,5,CASES
1908,24,CHICOPEE,MA,US,CITY,2,CASES
1908,25,CHICOPEE,MA,US,CITY,3,CASES
1908,26,CHICOPEE,MA,US,CITY,1,CASES
1908,27,CHICOPEE,MA,US,CITY,3,CASES
1908,28,CHICOPEE,MA,US,CITY,1,CASES
1908,30,CHICOPEE,MA,US,CITY,2,CASES
1908,43,CHICOPEE,MA,US,CITY,1,CASES
1908,46,CHICOPEE,MA,US,CITY,8,CASES
1908,47,CHICOPEE,MA,US,CITY,5,CASES
1908,48,CHICOPEE,MA,US,CITY,5,CASES
1908,49,CHICOPEE,MA,US,CITY,2,CASES
1908,50,CHICOPEE,MA,US,CITY,1,CASES
1909,1,CHICOPEE,MA,US,CITY,1,CASES
1909,3,CHICOPEE,MA,US,CITY,1,CASES
1909,4,CHICOPEE,MA,US,CITY,1,CASES
1909,5,CHICOPEE,MA,US,CITY,2,CASES
1909,6,CHICOPEE,MA,US,CITY,2,CASES
1909,8,CHICOPEE,MA,US,CITY,1,CASES
1909,16,CHICOPEE,MA,US,CITY,2,CASES
1909,18,CHICOPEE,MA,US,CITY,3,CASES
1909,19,CHICOPEE,MA,US,CITY,1,CASES
1909,22,CHICOPEE,MA,US,CITY,1,CASES
1909,27,CHICOPEE,MA,US,CITY,2,CASES
1909,28,CHICOPEE,MA,US,CITY,1,CASES
1909,31,CHICOPEE,MA,US,CITY,1,CASES
1909,33,CHICOPEE,MA,US,CITY,1,CASES
1909,50,CHICOPEE,MA,US,CITY,1,CASES
1909,52,CHICOPEE,MA,US,CITY,1,CASES
1910,1,CHICOPEE,MA,US,CITY,3,CASES
1910,2,CHICOPEE,MA,US,CITY,2,CASES
1910,3,CHICOPEE,MA,US,CITY,4,CASES
1910,4,CHICOPEE,MA,US,CITY,8,CASES
1910,6,CHICOPEE,MA,US,CITY,14,CASES
1910,7,CHICOPEE,MA,US,CITY,16,CASES
1910,8,CHICOPEE,MA,US,CITY,11,CASES
1910,9,CHICOPEE,MA,US,CITY,10,CASES
1910,10,CHICOPEE,MA,US,CITY,3,CASES
1910,11,CHICOPEE,MA,US,CITY,4,CASES
1910,12,CHICOPEE,MA,US,CITY,5,CASES
1910,15,CHICOPEE,MA,US,CITY,3,CASES
1910,17,CHICOPEE,MA,US,CITY,6,CASES
1910,18,CHICOPEE,MA,US,CITY,8,CASES
