year,week,loc,state,country,loc_type,number,event
1906,40,CINCINNATI,OH,US,CITY,1,CASES
1906,41,CINCINNATI,OH,US,CITY,1,CASES
1906,42,CINCINNATI,OH,US,CITY,1,CASES
1906,43,CINCINNATI,OH,US,CITY,2,CASES
1906,44,CINCINNATI,OH,US,CITY,4,CASES
1906,45,CINCINNATI,OH,US,CITY,4,CASES
1906,47,CINCINNATI,OH,US,CITY,2,CASES
1906,49,CINCINNATI,OH,US,CITY,5,CASES
1906,50,CINCINNATI,OH,US,CITY,3,CASES
1906,51,CINCINNATI,OH,US,CITY,9,CASES
1906,52,CINCINNATI,OH,US,CITY,5,CASES
1907,1,CINCINNATI,OH,US,CITY,12,CASES
1907,2,CINCINNATI,OH,US,CITY,9,CASES
1907,3,CINCINNATI,OH,US,CITY,25,CASES
1907,4,CINCINNATI,OH,US,CITY,10,CASES
1907,5,CINCINNATI,OH,US,CITY,20,CASES
1907,6,CINCINNATI,OH,US,CITY,23,CASES
1907,7,CINCINNATI,OH,US,CITY,6,CASES
1907,8,CINCINNATI,OH,US,CITY,6,CASES
1907,9,CINCINNATI,OH,US,CITY,8,CASES
1907,10,CINCINNATI,OH,US,CITY,16,CASES
1907,11,CINCINNATI,OH,US,CITY,14,CASES
1907,12,CINCINNATI,OH,US,CITY,12,CASES
1907,13,CINCINNATI,OH,US,CITY,14,CASES
1907,14,CINCINNATI,OH,US,CITY,23,CASES
1907,15,CINCINNATI,OH,US,CITY,22,CASES
1907,16,CINCINNATI,OH,US,CITY,22,CASES
1907,17,CINCINNATI,OH,US,CITY,10,CASES
1907,18,CINCINNATI,OH,US,CITY,21,CASES
1907,19,CINCINNATI,OH,US,CITY,33,CASES
1907,20,CINCINNATI,OH,US,CITY,47,CASES
1907,21,CINCINNATI,OH,US,CITY,43,CASES
1907,22,CINCINNATI,OH,US,CITY,33,CASES
1907,23,CINCINNATI,OH,US,CITY,35,CASES
1907,24,CINCINNATI,OH,US,CITY,27,CASES
1907,25,CINCINNATI,OH,US,CITY,33,CASES
